Wavelength(A), Flux
4007.832898172324, 3.731877610358291
4023.498694516971, 3.7580164437378145
4046.997389033943, 3.758118548555703
4054.8302872062663, 3.6929756747426716
4062.6631853785902, 3.62783280092964
4078.328981723238, 3.5757593438063706
4101.827676240209, 3.588896830374725
4125.3263707571805, 3.562928171691682
4133.159268929504, 3.5238560613795817
4164.490861618799, 3.550062964637698
4195.822454308094, 3.5371637226444173
4227.154046997389, 3.4981937171502056
4258.485639686684, 3.47225909340646
4289.817232375979, 3.459359851413179
4313.31592689295, 3.4464265744806024
4336.8146214099215, 3.407422534047095
4360.313315926893, 3.4335954023659148
4375.9791122715405, 3.4727696174959037
4391.644908616188, 3.498908450875427
4415.14360313316, 3.5641874644456437
4438.642297650131, 3.642501859766326
4462.140992167102, 3.7077808733365423
4477.80678851175, 3.7730258519674624
4485.639686684073, 3.825201413908621
4501.305483028721, 3.8774110107890762
4532.637075718016, 3.9166532957976576
4556.135770234987, 3.955861545866943
4579.634464751958, 3.9168575054334354
4603.133159268929, 3.8648180832494616
4642.297650130548, 3.8780236396964085
4665.79634464752, 3.8259842175124352
4673.629242819843, 3.773876725449869
4689.295039164491, 3.6826971230752026
4720.626631853786, 3.6567624993314567
4744.125326370758, 3.6047230771474834
4759.7911227154045, 3.5396142382737477
4791.1227154047, 3.5397503780309325
4814.621409921671, 3.5268171010983558
4838.120104438643, 3.5138838241657795
4869.451697127937, 3.540090727423895
4900.783289817233, 3.566297630682011
4924.281984334204, 3.605505880751297
4963.446475195822, 3.6317468189487094
4994.778067885118, 3.5927768134544977
5033.942558746737, 3.6190177516519104
5049.608355091384, 3.6581919667818994
5080.939947780679, 3.6843988700400154
5112.271540469974, 3.697570391547666
5135.770234986945, 3.7498140233674166
5151.436031331593, 3.815059001998337
5182.7676240208875, 3.8412659052564537
5214.099216710183, 3.880508190265035
5261.096605744126, 3.867677018150347
5276.762402088772, 3.815603561027077
5300.261096605745, 3.7896349023440346
5339.425587467364, 3.7767696952900507
5362.924281984335, 3.8029425636088705
5402.088772845953, 3.764006593053955
5441.253263707572, 3.7381060042495053
5464.751958224543, 3.6991019638159974
5488.250652741514, 3.6470625416320237
5535.248041775457, 3.6211959877668707
5558.746736292429, 3.6212980925847593
5597.911227154047, 3.5953975037803096
5629.242819843342, 3.5824982617870287
5668.407310704961, 3.569633054733044
5715.404699738903, 3.5568018826183563
5746.736292428199, 3.5830087858764723
5770.23498694517, 3.6352524176962238
5801.566579634465, 3.66145932095434
5840.731070496084, 3.687700259151752
5895.56135770235, 3.7009738854772913
5934.725848563969, 3.6620379149223763
5973.890339425588, 3.623101944367461
6028.7206266318535, 3.636375570693
6083.55091383812, 3.6366138152680736
6122.715404699738, 3.5976778447131585
6177.545691906005, 3.597916089288232
6216.710182767623, 3.5980862639847135
6263.707571801567, 3.637396618871888
6287.206266318538, 3.676604868941173
6318.537859007833, 3.702811772199289
6357.702349869452, 3.6769111833948394
6404.699738903395, 3.690150774781082
6428.198433420365, 3.729359024850367
6451.697127937337, 3.7816026566701186
6498.69451697128, 3.781806866305896
6522.193211488251, 3.807979734624716
6561.357702349869, 3.8081499093211972
6600.522193211488, 3.795284702267213
6616.187989556136, 3.7432112451439434
6647.519582245431, 3.717276621400197
6655.352480417754, 3.75641680159089
6671.018276762403, 3.7564848714694823
6686.68407310705, 3.7826237048490063
6718.015665796345, 3.769724462855726
6733.681462140992, 3.7306863874829213
6749.347258485639, 3.691648312110117
6780.678851174935, 3.626607543114975
6827.676240208877, 3.6007409892498212
6882.506527415144, 3.5879438520744293
6929.503916449086, 3.5881480617102066
6984.334203655353, 3.5753509245348147
7023.498694516971, 3.627662626233159
7086.1618798955615, 3.6800764327493907
7117.493472584856, 3.7453894812589037
7180.156657963446, 3.78476790602467
7227.154046997389, 3.7328305886585853
7281.984334203655, 3.746104214984125
7321.148825065275, 3.798415916682468
7344.647519582245, 3.75941187624896
7383.812010443864, 3.6813697604426485
7399.477806788511, 3.616260921568913
7415.14360313316, 3.538116700944712
7438.642297650131, 3.486077278760739
7462.140992167101, 3.4210024748263
7477.806788511749, 3.3558936359525644
7501.305483028721, 3.2908188320181253
