Wavelength(A), Flux
4007.832898172324, -0.5306922220439443
4023.498694516971, -0.5697302974167489
4031.331592689295, -0.6348731712297804
4039.164490861619, -0.7130514267932782
4054.8302872062663, -0.7781602656670126
4054.8302872062663, -0.8303017926688749
4062.6631853785902, -0.9215154299828372
4078.328981723238, -0.9996596506070379
4093.9947780678854, -1.064768489480774
4101.827676240209, -1.2081236537965987
4117.493472584856, -1.2471617291694015
4140.992167101827, -1.260095006101979
4164.490861618799, -1.2860636647850212
4187.989556135771, -1.3250677052185287
4219.321148825065, -1.2988608019604122
4242.819843342037, -1.2987586971425236
4281.984334203656, -1.2985885224460416
4313.31592689295, -1.3245231461897884
4336.8146214099215, -1.3374564231223651
4375.9791122715405, -1.3503216301763512
4415.14360313316, -1.337116073729403
4430.809399477807, -1.284906476848949
4446.475195822454, -1.2457322617189597
4462.140992167102, -1.1674519013375733
4469.973890339425, -1.089205575895483
4485.639686684073, -0.9978898337636322
4493.472584856397, -0.9066081265710784
4532.637075718016, -0.7630487526194756
4563.968668407311, -0.6195234136071699
4603.133159268929, -0.5020348031564987
4642.297650130548, -0.6061476824637415
4657.963446475196, -0.7103626665888738
4704.960835509139, -0.8665830379586827
4744.125326370758, -0.9967666807668563
4791.1227154047, -1.074774761633872
4838.120104438643, -1.0354644067466978
4885.117493472585, -1.0091894336099898
4947.780678851175, -0.9046341000918963
4979.11227154047, -0.9827102508375027
5002.610966057441, -1.099926581773805
5033.942558746737, -1.204073496020344
5080.939947780679, -1.1647631411331698
5112.271540469974, -1.1124854743741235
5135.770234986945, -1.073277224304837
5190.600522193212, -1.086074361480228
5214.099216710183, -1.007759966159547
5237.597911227154, -0.9424809525893298
5284.595300261097, -0.8640644524507604
5315.926892950391, -0.8248221674421776
5347.258485639686, -0.8377214094354573
5386.422976501306, -0.8766573799903732
5433.4203655352485, -0.8764531703545959
5464.751958224543, -0.8241755035955487
5496.083550913838, -0.8761808908402253
5519.582245430809, -0.9412556947746644
5558.746736292429, -0.9801916653295804
5605.744125326371, -1.0190936009452
5644.9086161879895, -1.084100335001045
5676.240208877285, -1.1491411039961896
5707.57180156658, -1.2011464912408663
5754.569190600522, -1.1748715181041574
5778.0678851174935, -1.1226278862844064
5801.566579634465, -1.018242727462793
5832.898172323759, -0.9529296789532804
5856.396866840731, -0.9397921923849255
5887.728459530026, -0.9657268161286723
5919.060052219322, -0.9655906763714874
5934.725848563969, -0.9524872247424296
5958.22454308094, -0.9784558834254717
5981.723237597911, -1.0044245421085138
6005.221932114882, -1.0173578190410906
6028.7206266318535, -1.0302910959736673
6067.8851174934725, -1.0431563030276507
6130.548302872063, -1.0298486417628165
6169.712793733681, -1.042713848816799
6224.543080939948, -1.0815817494931226
6263.707571801567, -1.1205177200480385
6310.704960835509, -1.0942427469113305
6373.368146214099, -0.9766520316427698
6420.365535248042, -0.8982355315042003
6490.8616187989555, -0.8588230717991365
6569.190600522194, -0.8584827224061744
6631.853785900783, -0.9103519698936662
6702.349869451697, -0.9491518006913964
6772.84595300261, -1.0009870132395928
6859.007832898173, -1.0397187741587288
6929.503916449086, -1.039412459705063
7000, -1.0521415270018633
7046.997389033942, -1.0389019356156188
7101.827676240209, -1.0256283092900809
7140.992167101827, -1.0124227528431344
7219.321148825065, -0.9860116399492398
7305.483028720626, -0.9726018738665161
7352.480417754569, -0.9463269007298072
7399.477806788511, -0.985228836345426
7430.809399477806, -1.0763403688414996
7462.140992167101, -1.1283457560861772
7493.472584856397, -1.2064219068317854
