MJD,COLOR_OBS,DCOLOR_OBS,BAND1,BAND2,COL_NAME,INST,PHASE,COLOR_TEMP,DCOLOR_TEMP
58880.12,-2.114300000000002,0.6641317152801844,B,g,B-g,Siding Spring 1m,15.408590604027268,1.0389820469798638,0.017822517114093547
58882.09,0.6138000000000012,0.04401776501413946,B,g,B-g,Siding Spring 1m,15.728590604026977,1.0371820469798652,0.017515588926174372
58883.38,0.6113745486574231,0.01063014581273465,B,g,B-g,Swope,17.618590604026394,1.026532046979868,0.0157983120805373
58883.12,-1.1336999999999975,0.3713364186341544,B,g,B-g,Siding Spring 1m,18.66859060402203,1.0206820469798898,0.014929763422822597
58883.99,0.5562000000000005,0.08841474889932109,B,g,B-g,Siding Spring 1m,17.378590604021156,1.0279320469798943,0.016006240268461383
58630.42,-0.11179311405750525,1.5358359287371812,B,g,B-g,Sinistro,20.658590604027268,1.009178456375837,0.013468950671140635
58857.71,0.5289000000000001,0.0600276057764259,B,g,B-g,Siding Spring 1m,18.408590604027268,1.0220820469798637,0.015138091610737914
58857.35,-0.23430000000000106,0.06940510339232987,B,g,B-g,Siding Spring 1m,19.27859060402261,1.0172320469798868,0.01445880704698304
58862.36,0.29959999999999987,0.01761303182646304,B,g,B-g,Siding Spring 1m,-234.2914093959771,-11.006434729915963,0.609901554755927
58869.35,0.6070111065216963,0.006403124237432849,B,g,B-g,Swope,6.59859060402232,0.7491874614762892,0.012992968268453616
58869.36,0.6399000000000008,0.02041054765746378,B,g,B-g,Siding Spring 1m,7.64859060402523,0.8005118005368337,0.014033275597313304
58873.09,0.5964000000000009,0.032916676322040775,B,g,B-g,Siding Spring 1m,28.58859060402756,0.9615984563758412,0.00783865067114038
58875.38,0.6972136715821424,0.0161245154965971,B,g,B-g,Swope,30.71859060402494,0.9488184563758585,0.006326350671142227
58876.03,0.5380000000000003,0.021280809114317057,B,g,B-g,Siding Spring 1m,33.85859060402436,0.9299784563758643,0.004096950671142621
58878.06,-0.10805911731279849,1.5358359287371812,B,g,B-g,Sinistro,-219.4714093959774,-10.283238256220768,0.5727043590802108
58880.12,2.320400000000003,0.6718006288632067,g,r,g-r,Siding Spring 1m,39.628590604021156,0.8953584563758878,2.5067114485868847e-07
58881.28,0.7838999999999992,0.02506720903331681,g,r,g-r,Thacher,41.57859060402552,0.8836584563758632,-0.001384249328858252
58882.32,0.738773561023244,0.009899494936611665,g,r,g-r,Swope,43.60859060402436,0.8714784563758716,-0.002825549328857438
58883.01,0.8780999999999999,0.01625661665568823,g,r,g-r,Siding Spring 1m,44.65859060402727,0.8651784563758549,-0.0035710493288595123
58884.37,0.8423885368009021,0.01140175425099138,g,r,g-r,Swope,45.548590604026685,0.8598384563758591,-0.004202949328859104
58882.09,0.25229999999999997,0.030270180469234076,g,r,g-r,Siding Spring 1m,46.498590604023775,0.8541384563758773,-0.004877449328857041
58886.28,0.723399999999998,0.06897987239224208,g,r,g-r,Thacher,47.568590604023484,0.8477184563758797,-0.005637149328856842
58883.12,1.8838999999999988,0.37605441462751105,g,r,g-r,Siding Spring 1m,-212.51140939597826,-9.943599426469214,0.5552352307466779
58884.0,0.5230999999999995,0.029444339095060362,g,r,g-r,Siding Spring 1m,-207.69140939597855,-9.708389777129762,0.5431373573892592
58887.38,-0.5989999999999966,0.14024621207005913,g,r,g-r,Siding Spring 1m,11.318590604023484,0.979903221476346,0.02148611241609895
58890.28,0.3186,0.2268680537287919,g,r,g-r,Thacher,-203.33140939597797,-9.49562752171063,0.53219405285848
58891.96,0.7170000000000005,0.05608029957123981,g,r,g-r,Siding Spring 1m,56.548590604026685,0.7938384563758673,-0.012012949328859171
58893.29,0.5050847545060506,0.0116619037896906,g,r,g-r,Swope,58.57859060402552,0.7816584563758757,-0.013454249328858355
58894.31,0.5070083846723037,0.01081665382639197,g,r,g-r,Swope,-8.391409395975643,0.0171876322803175,0.04290786358558216
58896.29,0.5580662261940077,0.023259406699226014,g,r,g-r,Swope,-7.001409395976225,0.08501780086573724,0.03941905778334026
58893.25,0.4156999999999975,0.025021405598606963,g,r,g-r,Thacher,-7.261409395978262,0.07233014343238853,0.04007164016362111
58898.24,0.42460000000000164,0.031288001056155694,g,r,g-r,Thacher,-261.4714093959774,-12.332782918514884,0.6781215128170603
58900.34,0.5198999999999998,0.04934188998660266,g,r,g-r,Thacher,-261.46140939597535,-12.332294931690429,0.6780964134947369
58898.38,0.4540000000000006,0.12712198865656563,g,r,g-r,Siding Spring 1m,-5.861409395976807,0.14064829884226343,0.0365577350390558
58899.23,0.5427,0.048050386047356584,g,r,g-r,Thacher,-2.3514093959747697,0.31193167419122825,0.02774787290532826
58903.27,0.41170851886945314,0.02641968962724581,g,r,g-r,Swope,-4.331409395977971,0.2153102829686351,0.0327175387243592
58904.32,0.47432875925053963,0.01414213562373095,g,r,g-r,Swope,-3.461409395975352,0.25776513668771245,0.030533897682660745
58902.24,0.15193506439189974,1.5358359287371812,g,r,g-r,Sinistro,-3.3714093959788443,0.26215701810674374,0.030308003781804833
58903.29,0.23760000000000048,0.03864059714652454,g,r,g-r,Thacher,-250.83140939597797,-11.813564937400404,0.6514158338703933
58907.36,0.38504272810003215,0.013601470508735444,g,r,g-r,Swope,4.638590604023193,0.6533928005367341,0.013155621422821676
