MJD,logL,logLerr,Quality,ph
58856.0,41.728,0.08800000000000001,Bad,-9.0
58856.566,41.873000000000005,0.092,Great,-8.434000000001106
58857.130999999994,41.98,0.095,Bad,-7.869000000006054
58857.697,42.059,0.098,Great,-7.302999999999884
58858.263,42.123999999999995,0.099,Great,-6.7370000000009895
58858.828,42.181000000000004,0.10099999999999999,Great,-6.171999999998661
58859.394,42.231,0.102,Great,-5.605999999999767
58859.96,42.278999999999996,0.10300000000000001,Great,-5.040000000000873
58860.525,42.328,0.10400000000000001,Great,-4.474999999998545
58861.09099999999,42.37,0.105,Great,-3.9090000000069267
58861.657,42.403,0.106,Bad,-3.3430000000007567
58862.222,42.431999999999995,0.106,Great,-2.7779999999984284
58862.788,42.461000000000006,0.107,Bad,-2.2119999999995343
58863.35400000001,42.486999999999995,0.10800000000000001,Bad,-1.6459999999933643
58863.919,42.51,0.10800000000000001,Bad,-1.080999999998312
58864.485,42.53,0.109,Great,-0.5149999999994179
58865.051,42.541000000000004,0.109,Bad,0.05099999999947613
58865.615999999995,42.547,0.109,Great,0.6159999999945285
58866.182,42.542,0.10800000000000001,Great,1.1820000000006985
58866.747,42.532,0.107,Bad,1.7470000000030268
58867.312999999995,42.526,0.106,Great,2.312999999994645
58867.879,42.508,0.105,Bad,2.879000000000815
58868.444,42.481,0.10300000000000001,Bad,3.444000000003143
58869.01,42.445,0.1,Bad,4.010000000002037
58869.575999999994,42.42100000000001,0.098,Bad,4.575999999993655
58870.140999999996,42.391999999999996,0.095,Great,5.140999999995984
58870.707,42.358000000000004,0.092,Bad,5.707000000002154
58871.273,42.336000000000006,0.09,Great,6.273000000001048
58871.837999999996,42.31,0.08800000000000001,Bad,6.8379999999961
58872.404,42.282,0.086,Great,7.40400000000227
58872.97,42.248999999999995,0.084,Great,7.970000000001164
58873.535,42.226000000000006,0.08199999999999999,Great,8.535000000003492
58874.100999999995,42.198,0.081,Bad,9.10099999999511
58874.667,42.174,0.079,Bad,9.66700000000128
58875.232,42.148,0.078,Great,10.232000000003609
58875.797999999995,42.121,0.077,Bad,10.797999999995227
58876.364,42.093999999999994,0.075,Great,11.364000000001397
58876.929000000004,42.068000000000005,0.07400000000000001,Great,11.929000000003725
58877.495,42.041000000000004,0.073,Bad,12.49500000000262
58878.060999999994,42.006,0.07200000000000001,Great,13.060999999994237
58878.626,41.972,0.071,Bad,13.625999999996566
58879.192,41.946999999999996,0.07,Great,14.192000000002736
58879.758,41.925,0.069,Bad,14.75800000000163
58880.323,41.903999999999996,0.069,Great,15.322999999996682
58880.889,41.88399999999999,0.068,Bad,15.889000000002852
58881.455,41.864,0.068,Bad,16.455000000001746
58882.02,41.845,0.067,Great,17.0199999999968
58882.585999999996,41.826,0.067,Bad,17.585999999995693
58883.152,41.806999999999995,0.066,Great,18.152000000001863
58883.717000000004,41.79,0.066,Bad,18.71700000000419
58884.282999999996,41.775,0.066,Great,19.28299999999581
58884.848,41.762,0.066,Bad,19.847999999998137
58885.414000000004,41.748999999999995,0.066,Great,20.414000000004307
58885.98,41.735,0.066,Bad,20.9800000000032
58886.545,41.721000000000004,0.067,Bad,21.544999999998254
58887.111,41.708,0.067,Bad,22.110999999997148
58887.677,41.696000000000005,0.067,Great,22.677000000003318
58888.242,41.685,0.067,Bad,23.24199999999837
58888.808,41.675,0.068,Bad,23.807999999997264
58889.374,41.665,0.068,Bad,24.374000000003434
58889.939000000006,41.655,0.068,Bad,24.939000000005763
58890.505,41.644,0.069,Bad,25.50499999999738
58891.070999999996,41.635,0.069,Bad,26.070999999996275
58891.636,41.626999999999995,0.069,Bad,26.635999999998603
58892.202000000005,41.621,0.07,Great,27.202000000004773
58892.768,41.614,0.07,Bad,27.76799999999639
58893.333,41.608000000000004,0.071,Great,28.33299999999872
58893.899000000005,41.601000000000006,0.071,Bad,28.89900000000489
58894.465,41.595,0.071,Great,29.464999999996508
