# ph	Lobs	err	L+BB	err	

58879.19	5.40e+41	2.08e+40	8.86e+41	1.43e+41
58879.76	5.14e+41	1.98e+40	8.42e+41	1.34e+41
58880.32	4.91e+41	1.89e+40	8.02e+41	1.27e+41
58880.89	4.69e+41	1.80e+40	7.66e+41	1.20e+41
58881.45	4.50e+41	1.73e+40	7.32e+41	1.14e+41
58882.02	4.31e+41	1.65e+40	7.00e+41	1.08e+41
58882.59	4.13e+41	1.59e+40	6.70e+41	1.03e+41
58883.15	3.97e+41	1.53e+40	6.42e+41	9.83e+40
58883.72	3.83e+41	1.47e+40	6.17e+41	9.42e+40
58884.28	3.71e+41	1.43e+40	5.96e+41	9.09e+40
58884.85	3.61e+41	1.39e+40	5.78e+41	8.83e+40
58885.41	3.52e+41	1.35e+40	5.61e+41	8.57e+40
58885.98	3.42e+41	1.32e+40	5.43e+41	8.32e+40
58886.55	3.32e+41	1.28e+40	5.26e+41	8.07e+40
58887.11	3.23e+41	1.24e+40	5.10e+41	7.85e+40
58887.68	3.15e+41	1.21e+40	4.96e+41	7.66e+40
58888.24	3.08e+41	1.19e+40	4.84e+41	7.50e+40
58888.81	3.02e+41	1.17e+40	4.73e+41	7.37e+40
58889.37	2.96e+41	1.15e+40	4.62e+41	7.25e+40
58889.94	2.90e+41	1.12e+40	4.52e+41	7.12e+40
58890.51	2.84e+41	1.10e+40	4.41e+41	6.98e+40
58891.07	2.78e+41	1.08e+40	4.31e+41	6.86e+40
58891.64	2.74e+41	1.07e+40	4.24e+41	6.78e+40
58892.20	2.71e+41	1.05e+40	4.17e+41	6.72e+40
58892.77	2.67e+41	1.04e+40	4.11e+41	6.66e+40
58893.33	2.64e+41	1.03e+40	4.05e+41	6.60e+40
58893.90	2.61e+41	1.02e+40	3.99e+41	6.53e+40
58894.46	2.57e+41	1.01e+40	3.93e+41	6.47e+40
58895.03	2.54e+41	9.96e+39	3.88e+41	6.40e+40
58895.60	2.51e+41	9.85e+39	3.82e+41	6.33e+40
58896.16	2.48e+41	9.73e+39	3.77e+41	6.25e+40
58896.73	2.45e+41	9.61e+39	3.71e+41	6.17e+40
58897.29	2.42e+41	9.50e+39	3.66e+41	6.09e+40
58897.86	2.39e+41	9.39e+39	3.61e+41	6.01e+40
58898.42	2.36e+41	9.27e+39	3.56e+41	5.93e+40
58898.99	2.32e+41	9.14e+39	3.50e+41	5.83e+40
58899.56	2.29e+41	9.00e+39	3.44e+41	5.72e+40
58900.12	2.26e+41	8.89e+39	3.39e+41	5.63e+40
58900.69	2.24e+41	8.81e+39	3.36e+41	5.57e+40
58901.25	2.22e+41	8.72e+39	3.33e+41	5.50e+40
58901.82	2.20e+41	8.63e+39	3.29e+41	5.42e+40
58902.38	2.17e+41	8.51e+39	3.24e+41	5.33e+40
58902.95	2.14e+41	8.37e+39	3.19e+41	5.21e+40
58903.52	2.10e+41	8.22e+39	3.13e+41	5.09e+40
58904.08	2.07e+41	8.08e+39	3.08e+41	4.97e+40
58904.65	2.03e+41	7.94e+39	3.02e+41	4.86e+40
58905.21	2.00e+41	7.81e+39	2.97e+41	4.75e+40
58905.78	1.97e+41	7.66e+39	2.91e+41	4.63e+40
