58856.000	41.573	0.018
58856.566	41.720	0.018
58857.131	41.828	0.018
58857.697	41.908	0.018
58858.263	41.974	0.018
58858.828	42.030	0.018
58859.394	42.080	0.018
58859.960	42.128	0.018
58860.525	42.177	0.018
58861.091	42.218	0.018
58861.657	42.251	0.018
58862.222	42.278	0.018
58862.788	42.307	0.018
58863.354	42.331	0.018
58863.919	42.352	0.018
58864.485	42.371	0.018
58865.051	42.380	0.018
58865.616	42.383	0.018
58866.182	42.376	0.018
58866.747	42.362	0.018
58867.313	42.353	0.018
58867.879	42.331	0.017
58868.444	42.299	0.017
58869.010	42.259	0.017
58869.576	42.232	0.017
58870.141	42.199	0.017
58870.707	42.162	0.017
58871.273	42.137	0.017
58871.838	42.109	0.017
58872.404	42.079	0.017
58872.970	42.043	0.017
58873.535	42.019	0.017
58874.101	41.989	0.017
58874.667	41.963	0.017
58875.232	41.937	0.017
58875.798	41.909	0.017
58876.364	41.881	0.017
58876.929	41.854	0.017
58877.495	41.827	0.017
58878.061	41.791	0.017
58878.626	41.757	0.017
58879.192	41.733	0.017
58879.758	41.711	0.017
58880.323	41.691	0.017
58880.889	41.672	0.017
58881.455	41.653	0.017
58882.020	41.634	0.017
58882.586	41.616	0.017
58883.152	41.599	0.017
58883.717	41.583	0.017
58884.283	41.570	0.017
58884.848	41.558	0.017
58885.414	41.546	0.017
58885.980	41.534	0.017
58886.545	41.521	0.017
58887.111	41.509	0.017
58887.677	41.498	0.017
58888.242	41.489	0.017
58888.808	41.480	0.017
58889.374	41.472	0.017
58889.939	41.463	0.017
58890.505	41.453	0.017
58891.071	41.445	0.017
58891.636	41.438	0.017
58892.202	41.433	0.017
58892.768	41.427	0.017
58893.333	41.422	0.017
58893.899	41.416	0.017
58894.465	41.411	0.017
58895.030	41.405	0.017
58895.596	41.400	0.017
58896.162	41.394	0.017
58896.727	41.388	0.017
58897.293	41.383	0.017
58897.859	41.378	0.017
58898.424	41.372	0.017
58898.990	41.366	0.017
58899.556	41.359	0.017
58900.121	41.354	0.017
58900.687	41.350	0.017
58901.253	41.346	0.017
58901.818	41.342	0.017
58902.384	41.336	0.017
58902.949	41.330	0.017
58903.515	41.322	0.017
58904.081	41.315	0.017
58904.646	41.309	0.017
58905.212	41.301	0.017
58905.778	41.294	0.017
58906.343	41.286	0.017
58906.909	41.278	0.017
58907.475	41.269	0.017
58908.040	41.261	0.017
58908.606	41.252	0.017
58909.172	41.243	0.017
58909.737	41.234	0.017
58910.303	41.224	0.017
58910.869	41.214	0.017
58911.434	41.203	0.017
58912.000	41.191	0.017
