# ph	T_bb	err	R_bb	err	L_bb	err

58881.45	5.14e+03	2.74e+02	1.27e+15	1.94e+14	7.96e+41	2.97e+41
58882.02	5.16e+03	2.74e+02	1.23e+15	1.88e+14	7.62e+41	2.84e+41
58882.59	5.18e+03	2.75e+02	1.20e+15	1.82e+14	7.31e+41	2.71e+41
58883.15	5.20e+03	2.77e+02	1.16e+15	1.77e+14	7.01e+41	2.60e+41
58883.72	5.22e+03	2.79e+02	1.13e+15	1.72e+14	6.76e+41	2.51e+41
58884.28	5.24e+03	2.83e+02	1.10e+15	1.68e+14	6.54e+41	2.44e+41
58884.85	5.27e+03	2.87e+02	1.08e+15	1.64e+14	6.36e+41	2.39e+41
58885.41	5.30e+03	2.91e+02	1.05e+15	1.61e+14	6.18e+41	2.34e+41
58885.98	5.32e+03	2.95e+02	1.03e+15	1.58e+14	6.00e+41	2.28e+41
58886.55	5.34e+03	2.99e+02	1.00e+15	1.56e+14	5.82e+41	2.23e+41
58887.11	5.36e+03	3.03e+02	9.79e+14	1.53e+14	5.65e+41	2.18e+41
58887.68	5.39e+03	3.08e+02	9.58e+14	1.51e+14	5.50e+41	2.14e+41
58888.24	5.41e+03	3.12e+02	9.40e+14	1.49e+14	5.37e+41	2.11e+41
58888.81	5.43e+03	3.18e+02	9.22e+14	1.48e+14	5.26e+41	2.08e+41
58889.37	5.45e+03	3.23e+02	9.06e+14	1.46e+14	5.15e+41	2.06e+41
58889.94	5.46e+03	3.27e+02	8.90e+14	1.45e+14	5.04e+41	2.04e+41
58890.51	5.48e+03	3.32e+02	8.75e+14	1.44e+14	4.92e+41	2.01e+41
58891.07	5.49e+03	3.36e+02	8.61e+14	1.43e+14	4.81e+41	1.98e+41
58891.64	5.51e+03	3.41e+02	8.49e+14	1.42e+14	4.73e+41	1.96e+41
58892.20	5.52e+03	3.46e+02	8.38e+14	1.41e+14	4.66e+41	1.96e+41
58892.77	5.54e+03	3.50e+02	8.28e+14	1.41e+14	4.59e+41	1.95e+41
58893.33	5.55e+03	3.55e+02	8.18e+14	1.40e+14	4.52e+41	1.94e+41
58893.90	5.56e+03	3.59e+02	8.08e+14	1.40e+14	4.46e+41	1.92e+41
58894.46	5.57e+03	3.63e+02	7.99e+14	1.39e+14	4.39e+41	1.91e+41
58895.03	5.58e+03	3.67e+02	7.91e+14	1.38e+14	4.33e+41	1.90e+41
58895.60	5.59e+03	3.70e+02	7.82e+14	1.38e+14	4.27e+41	1.88e+41
58896.16	5.60e+03	3.73e+02	7.74e+14	1.37e+14	4.21e+41	1.86e+41
58896.73	5.61e+03	3.76e+02	7.65e+14	1.36e+14	4.14e+41	1.84e+41
58897.29	5.62e+03	3.78e+02	7.57e+14	1.35e+14	4.08e+41	1.82e+41
58897.86	5.63e+03	3.81e+02	7.49e+14	1.34e+14	4.03e+41	1.81e+41
58898.42	5.64e+03	3.83e+02	7.41e+14	1.33e+14	3.97e+41	1.79e+41
58898.99	5.65e+03	3.85e+02	7.33e+14	1.31e+14	3.91e+41	1.76e+41
58899.56	5.66e+03	3.86e+02	7.24e+14	1.30e+14	3.84e+41	1.73e+41
58900.12	5.68e+03	3.88e+02	7.16e+14	1.28e+14	3.80e+41	1.71e+41
58900.69	5.70e+03	3.91e+02	7.08e+14	1.27e+14	3.76e+41	1.70e+41
58901.25	5.71e+03	3.94e+02	7.00e+14	1.26e+14	3.73e+41	1.69e+41
58901.82	5.73e+03	3.96e+02	6.92e+14	1.25e+14	3.69e+41	1.67e+41
58902.38	5.75e+03	3.99e+02	6.83e+14	1.23e+14	3.64e+41	1.65e+41
58902.95	5.77e+03	4.00e+02	6.73e+14	1.21e+14	3.59e+41	1.63e+41
58903.52	5.79e+03	4.02e+02	6.63e+14	1.19e+14	3.53e+41	1.60e+41
58904.08	5.81e+03	4.04e+02	6.53e+14	1.17e+14	3.47e+41	1.57e+41
58904.65	5.84e+03	4.07e+02	6.42e+14	1.15e+14	3.42e+41	1.55e+41
58905.21	5.87e+03	4.10e+02	6.31e+14	1.12e+14	3.36e+41	1.52e+41
58905.78	5.89e+03	4.13e+02	6.20e+14	1.10e+14	3.30e+41	1.50e+41
58906.34	5.92e+03	4.17e+02	6.08e+14	1.08e+14	3.24e+41	1.47e+41
58906.91	5.95e+03	4.21e+02	5.96e+14	1.06e+14	3.19e+41	1.44e+41
58907.47	5.99e+03	4.25e+02	5.84e+14	1.04e+14	3.12e+41	1.42e+41
58908.04	6.02e+03	4.30e+02	5.72e+14	1.02e+14	3.06e+41	1.40e+41
58908.61	6.06e+03	4.35e+02	5.59e+14	9.94e+13	3.00e+41	1.37e+41
58909.17	6.09e+03	4.41e+02	5.47e+14	9.74e+13	2.94e+41	1.35e+41
58909.74	6.13e+03	4.47e+02	5.34e+14	9.54e+13	2.87e+41	1.33e+41
58910.30	6.17e+03	4.54e+02	5.22e+14	9.35e+13	2.81e+41	1.30e+41
58910.87	6.21e+03	4.61e+02	5.09e+14	9.15e+13	2.74e+41	1.28e+41
58911.43	6.24e+03	4.68e+02	4.97e+14	8.96e+13	2.67e+41	1.25e+41
58912.00	6.28e+03	4.75e+02	4.84e+14	8.76e+13	2.60e+41	1.23e+41

#KEY
# _bb = blackbody fit to all wavelengths, _opt = fit only data redwards of 3000A
# L_bb = luminosity from Stefan-Boltzman; L_opt = same but using T_opt and R_opt
# (in contrast, bol_2020oi_AUBgVriz.txt file contains trapezoidal integration over observed wavelengths)
