MJD MAG MAGERR FLT
58911.21199 16.861738270324935 0.01 V
58904.33529 16.80447827794631 0.01 V
58896.29452999999 19.010536974901303 0.11 u
58876.36138 14.820986698569223 0.005 r
58869.34554 14.0790513487104 0.005 r
58875.37485 14.662348270049035 0.004 r
58871.35001 14.121382495750687 0.003 r
58895.28749 16.844366923796436 0.009000000000000001 g
58908.32532 17.581479962833377 0.011000000000000001 B
58870.31588 14.213836225196244 0.006 i
58893.28775 16.30596567117911 0.006 r
58905.29418 19.288483465959164 0.068 u
58911.21479 17.654564955593273 0.016 B
58876.37175 16.469570120806857 0.005 B
58909.35927000001 17.13843892417616 0.01 g
58895.23958 16.884347859354374 0.255 r
58872.35487 16.748467683836616 0.0 u
58903.27644 19.18362441231222 0.095 u
58912.26859 16.764628031698752 0.019 i
58893.30286 17.4338046490238 0.011000000000000001 B
58906.29516 17.59927061707873 0.008 B
58903.26841 16.572757043082806 0.023 r
58906.29037 16.8323272582251 0.006 V
58906.29432000001 17.612660564293357 0.017 B
58907.36594 19.017493667284995 0.07400000000000001 u
58876.36301 14.863084430678894 0.006 i
58904.32081000001 16.52175139861533 0.01 r
58908.31993 16.788175922449867 0.01 V
58895.29795 16.51367829783936 0.01 V
58912.28181 16.983698125413188 0.011000000000000001 V
58871.35909 15.667306194175966 0.006 B
58912.27131 17.15689440918094 0.013999999999999999 g
58910.26117000001 17.562459962999945 0.016 B
58912.28457 17.669016895733492 0.016 B
58871.35719 14.524681641718551 0.003 V
58904.31957000001 16.649188061300432 0.021 r
58908.29688 16.783317863522488 0.012 r
58884.37589 17.07370775669093 0.008 B
58908.31859 16.808510823884934 0.015 V
58876.37045 15.316344354103329 0.004 V
58884.37432 16.027935423331286 0.008 V
58885.36833 17.15396701156975 0.009000000000000001 B
58905.29019 17.030727333664167 0.009000000000000001 g
58909.36149 19.23148879503404 0.066 u
58882.31831 15.620937314737143 0.008 i
58908.31056000001 19.282349100593105 0.1 u
58908.32294 17.558747207784116 0.017 B
58893.29096000001 16.81105042568516 0.01 g
58883.37537 16.474851725465122 0.006999999999999999 g
58897.30924 16.479192084418358 0.013999999999999999 r
58903.26971 16.48746773038844 0.01 r
58906.28275 19.405870371089208 0.077 u
58907.35806000001 16.67236396370803 0.008 r
58903.27202999999 16.48728672672834 0.018000000000000002 i
58883.3742 15.721728666086168 0.009000000000000001 i
58885.36622999999 16.12831110947164 0.009000000000000001 V
58882.31979 16.396392278549392 0.006999999999999999 g
58885.35638 16.559003946494666 0.011000000000000001 g
58895.28439 16.240063757904416 0.009000000000000001 r
58906.27355 16.568189044936926 0.006 r
58869.34682000001 13.9530233798902 0.003 r
58875.37718 15.659310769030805 0.008 g
58894.309 16.32071578397757 0.01 i
58870.31922000001 14.296333404338762 0.005 V
58893.29361 17.172733521345865 0.0 u
58871.35378 14.994658651631966 0.003 g
58875.38076 15.089198371386605 0.006 V
58875.38179 16.356524440612947 0.013999999999999999 B
58872.35992 15.83076710296885 0.004 B
58876.36475 15.7786475678642 0.006999999999999999 g
58905.30594 17.56411830218294 0.008 B
58876.36632000001 18.100894267050702 0.031 u
58909.36900000001 16.90713111476415 0.009000000000000001 V
58909.35704 16.835158846192314 0.016 i
58904.33742 17.579642927296867 0.013999999999999999 B
58907.37604 17.554355320442408 0.016 B
58907.36338 17.057406691808062 0.011000000000000001 g
58907.37341 16.789142770028292 0.01 V
58882.33179 17.03549859174598 0.006 B
58884.37103 16.488827196744687 0.009000000000000001 g
58908.30123 16.780627022607664 0.018000000000000002 i
58904.32282 16.539784856516626 0.019 i
58911.19852000001 16.746027855617626 0.02 i
58882.33001000001 15.964680670673097 0.005 V
58885.35848 18.754025590537342 0.069 u
58911.19578 16.740117080821506 0.008 r
58894.31054 16.820771283434702 0.009000000000000001 g
58883.38041000001 17.086226274122545 0.008 B
58883.37883 16.074790812052342 0.006 V
58875.37604 14.70159992201199 0.005 i
58872.35361000001 15.210488370398155 0.004 g
58895.28938 19.182007106331177 0.085 u
58871.35235 14.269532222789627 0.005 i
58896.29249 16.861346345649544 0.021 g
58908.30252999999 16.789031934309453 0.015 i
58909.35484 16.698882360284713 0.008 r
58893.3013 16.522624561931668 0.009000000000000001 V
58905.28134 16.67005270860553 0.013000000000000001 r
58855.542 17.28 0.055999999999999994 r-ZTF
58859.481 14.769 0.033 r-ZTF
58859.522000000004 14.915999999999999 0.027999999999999997 g-ZTF
58867.44 14.3 0.03 g-ZTF
58867.482 13.86 0.02 r-ZTF
58871.443 15.03 0.024 g-ZTF
58871.502 14.17 0.035 r-ZTF
58875.457 15.675999999999998 0.025 g-ZTF
58875.52099999999 14.677 0.025 r-ZTF
58878.361 15.057 0.023 r-ZTF
58878.487 16.039 0.024 g-ZTF
58881.460999999996 16.326 0.026000000000000002 g-ZTF
58881.539000000004 15.390999999999998 0.033 r-ZTF
58884.442 16.491 0.033 g-ZTF
58884.515999999996 15.63 0.027000000000000003 r-ZTF
58887.426 16.608 0.043 g-ZTF
58887.515999999996 15.835999999999999 0.028999999999999998 r-ZTF
58892.317 16.089000000000002 0.032 r-ZTF
58892.380999999994 16.766 0.035 g-ZTF
58895.38400000001 16.816 0.027999999999999997 g-ZTF
58895.442 16.182000000000002 0.034 r-ZTF
58898.374 16.301 0.035 r-ZTF
58898.419 16.893 0.036000000000000004 g-ZTF
58899.4 16.916 0.037000000000000005 g-ZTF
58899.441 16.38 0.032 r-ZTF
58900.437999999995 16.393 0.049 r-ZTF
58901.419 16.428 0.055999999999999994 r-ZTF
58903.357 16.925 0.036000000000000004 g-ZTF
58904.459 16.972 0.049 g-ZTF
58904.471 16.497 0.027999999999999997 r-ZTF
58905.307 16.962 0.043 g-ZTF
58908.34099999999 17.035 0.049 g-ZTF
58908.45 16.637999999999998 0.042 r-ZTF
58911.39900000001 17.165 0.044000000000000004 g-ZTF
58911.445999999996 16.721 0.039 r-ZTF
58912.447 16.809 0.046 r-ZTF
58913.331 17.102 0.042 g-ZTF
58913.445 16.824 0.046 r-ZTF
58914.425 17.244 0.046 g-ZTF
58855.542 17.28 0.055999999999999994 r-ZTF
58856.304000000004 15.880999999999998 1.0859999999999999 up
58856.307 17.008 1.0859999999999999 gp
58856.308 16.843 1.0859999999999999 rp
58856.309 16.919 1.0859999999999999 ip
58856.349 17.565 1.0859999999999999 gp
58856.367 15.187999999999999 1.0859999999999999 up
58856.367999999995 16.615 1.0859999999999999 gp
58856.36900000001 16.113 1.0859999999999999 rp
58856.37 16.208 1.0859999999999999 ip
58856.40900000001 15.498 1.0859999999999999 up
58856.41 16.515 1.0859999999999999 gp
58856.41099999999 16.773 1.0859999999999999 rp
58856.412000000004 16.879 1.0859999999999999 ip
58856.698 16.201 1.0859999999999999 rp
58856.699 14.922 1.0859999999999999 ip
58857.301 16.043 0.09 up
58857.302 15.478 0.027000000000000003 gp
58857.303 17.172 1.0859999999999999 rp
58857.304000000004 17.171 1.0859999999999999 ip
58857.316 15.557 1.0859999999999999 up
58857.317 17.218 1.0859999999999999 gp
58857.318 17.359 1.0859999999999999 rp
58857.319 17.273 1.0859999999999999 ip
58857.345 16.029 1.0859999999999999 up
58857.347 17.438 1.0859999999999999 gp
58857.348 17.56 1.0859999999999999 rp
58857.349 17.314 1.0859999999999999 ip
58858.297999999995 15.85 0.06 up
58858.3 17.345 1.0859999999999999 gp
58858.301 15.2 0.028999999999999998 rp
58858.309 17.214000000000002 1.0859999999999999 ip
58858.337999999996 15.073 0.013000000000000001 gp
58858.34 16.779 1.0859999999999999 rp
58858.34099999999 16.577 1.0859999999999999 ip
58859.049000000006 16.104 1.0859999999999999 up
58859.051 14.863 0.013000000000000001 gp
58859.052 17.699 1.0859999999999999 rp
58859.053 14.994000000000002 0.009000000000000001 ip
58859.297 14.831 0.013000000000000001 gp
58859.297999999995 14.734000000000002 0.011000000000000001 rp
58859.3 16.726 1.0859999999999999 ip
58859.68900000001 14.839 0.027000000000000003 gp
58859.69 16.266 1.0859999999999999 rp
58859.691 16.414 1.0859999999999999 ip
58860.047 15.795 1.0859999999999999 up
58860.047999999995 17.026 1.0859999999999999 gp
58860.049000000006 16.84 1.0859999999999999 rp
58860.051 16.842 1.0859999999999999 ip
58861.049000000006 15.360999999999999 1.0859999999999999 up
58861.05 14.195 0.013999999999999999 gp
58861.052 14.27 0.012 rp
58861.053 14.360999999999999 0.017 ip
58861.292 16.804000000000002 1.0859999999999999 gp
58861.293 14.277000000000001 0.01 rp
58861.294 14.434000000000001 0.016 ip
58861.683 16.125 1.0859999999999999 gp
58861.685 14.140999999999998 0.013000000000000001 rp
58861.685999999994 16.09 1.0859999999999999 ip
58864.31 13.248 1.0859999999999999 rp
58864.31200000001 13.802999999999999 1.0859999999999999 ip
58864.752 14.754000000000001 0.027999999999999997 up
58864.754 13.966 0.013000000000000001 gp
58864.755 13.873 0.011000000000000001 rp
58864.755999999994 14.022 0.011000000000000001 ip
58866.302 14.886 1.0859999999999999 up
58866.304000000004 16.387999999999998 1.0859999999999999 gp
58866.305 16.127 1.0859999999999999 rp
58866.306 15.913 1.0859999999999999 ip
58867.3 15.459000000000001 0.031 up
58867.301 14.208 0.015 gp
58867.302 13.831 0.006999999999999999 rp
58867.304000000004 13.991 0.009000000000000001 ip
58868.27099999999 14.969000000000001 1.0859999999999999 up
58868.27099999999 14.969000000000001 1.0859999999999999 up
58868.273 14.29 0.019 gp
58868.27400000001 13.828 0.008 rp
58868.275 17.046 1.0859999999999999 ip
58869.269 15.388 1.0859999999999999 up
58869.27 14.422 0.011000000000000001 gp
58869.27099999999 17.289 1.0859999999999999 rp
58869.273 14.17 0.02 ip
58870.265999999996 15.209000000000001 1.0859999999999999 up
58870.267 17.143 1.0859999999999999 gp
58870.268 17.033 1.0859999999999999 rp
58870.27 17.088 1.0859999999999999 ip
58871.264 14.995 1.0859999999999999 up
58871.265 17.041 1.0859999999999999 gp
58871.265999999996 16.82 1.0859999999999999 rp
58871.268 16.635 1.0859999999999999 ip
58872.28599999999 16.237000000000002 1.0859999999999999 up
58872.287000000004 17.507 1.0859999999999999 gp
58872.289000000004 14.292 0.02 rp
58872.29 14.304 0.011000000000000001 ip
58873.087 17.426 1.0859999999999999 up
58873.087999999996 15.045 0.015 gp
58873.08900000001 14.277999999999999 0.006999999999999999 rp
58873.09099999999 14.378 0.006999999999999999 ip
58874.280999999995 15.725999999999999 1.0859999999999999 up
58874.282 17.077 1.0859999999999999 gp
58874.28400000001 17.952 1.0859999999999999 rp
58874.285 16.855999999999998 1.0859999999999999 ip
58875.253 17.214000000000002 1.0859999999999999 up
58875.254 17.824 1.0859999999999999 gp
58875.255 17.62 1.0859999999999999 rp
58875.25700000001 14.630999999999998 0.008 ip
58876.32900000001 14.659 1.0859999999999999 up
58876.335 17.308 1.0859999999999999 gp
58876.335999999996 16.967 1.0859999999999999 rp
58876.337999999996 16.368 1.0859999999999999 ip
58877.258 16.96 1.0859999999999999 rp
58877.263 17.261 1.0859999999999999 gp
58877.265999999996 16.2 1.0859999999999999 ip
58878.33900000001 15.982999999999999 1.0859999999999999 up
58878.34 17.877 1.0859999999999999 gp
58878.34099999999 17.711 1.0859999999999999 rp
58878.343 18.886 1.0859999999999999 ip
58881.992999999995 16.545 1.0859999999999999 up
58881.99400000001 17.592 1.0859999999999999 gp
58881.996 17.619 1.0859999999999999 rp
58881.997 18.48 1.0859999999999999 ip
58884.367999999995 16.355999999999998 1.0859999999999999 up
58884.37 17.73 1.0859999999999999 gp
58884.371 18.531 1.0859999999999999 rp
58884.373 18.351 1.0859999999999999 ip
58887.38200000001 17.498 1.0859999999999999 up
58887.383 18.09 1.0859999999999999 gp
58887.385 18.064 1.0859999999999999 rp
58887.386 15.636 0.01 ip
58891.959 16.369 1.0859999999999999 up
58891.960999999996 17.482 1.0859999999999999 gp
58891.962 17.492 1.0859999999999999 rp
58891.962999999996 17.131 1.0859999999999999 ip
58895.288 16.077 1.0859999999999999 up
58895.291 17.04 1.0859999999999999 gp
58895.292 16.717 1.0859999999999999 rp
58895.293 16.437 1.0859999999999999 ip
58898.377 16.987000000000002 1.0859999999999999 up
58898.379 18.204 1.0859999999999999 gp
58898.38 18.049 1.0859999999999999 rp
58898.380999999994 18.06 1.0859999999999999 ip
58902.236 15.442 1.0859999999999999 up
58902.238 17.019000000000002 1.0859999999999999 gp
58902.239 16.867 1.0859999999999999 rp
58902.24 16.757 1.0859999999999999 ip
58906.099 16.261 1.0859999999999999 up
58906.1 17.333 1.0859999999999999 gp
58906.100999999995 17.279 1.0859999999999999 rp
58906.102 17.284000000000002 1.0859999999999999 ip
58910.155999999995 16.405 1.0859999999999999 up
58910.15900000001 17.695 1.0859999999999999 gp
58910.16 17.648 1.0859999999999999 rp
58910.16099999999 17.524 1.0859999999999999 ip
58914.263 16.882 1.0859999999999999 up
58914.267 17.439 1.0859999999999999 gp
58914.268 17.503 1.0859999999999999 rp
58914.269 17.292 1.0859999999999999 ip
58865.530999999995 14.239 0.10800000000000001 orange
58866.56400000001 14.0 0.01 i
58873.248 14.58 0.2 G
58866.56400000001 14.001 0.005 i
58866.567 14.093 0.004 g
58869.569 13.956 0.003 r
58869.572 14.575999999999999 0.005 g
58880.441 18.403 1.0859999999999999 r
58880.443 17.579 1.0859999999999999 i
58895.43 15.545 0.062 i
58900.38200000001 16.457 0.304 r
58856.304000000004 15.81 0.035 up
58856.307 15.741 0.019 gp
58856.309 15.825999999999999 0.018000000000000002 ip
58856.367 15.955 0.055999999999999994 up
58856.367999999995 15.511 0.015 gp
58856.40900000001 16.012999999999998 0.048 up
58856.41 15.352 0.055999999999999994 gp
58856.41099999999 16.945 0.28300000000000003 rp
58856.412000000004 15.832 0.049 ip
58856.698 15.209000000000001 0.015 rp
58856.699 15.352 0.04 ip
58857.301 16.043 0.09 up
58857.302 15.478 0.027000000000000003 gp
58857.303 15.524000000000001 0.013999999999999999 rp
58857.304000000004 15.825999999999999 0.047 ip
58857.316 16.174 0.153 up
58857.317 15.800999999999998 0.048 gp
58857.319 15.575 0.013000000000000001 ip
58857.345 15.936 0.039 up
58857.347 15.671 0.068 gp
58857.349 15.581 0.012 ip
58858.3 15.247 0.012 gp
58858.302 15.395 0.018000000000000002 ip
58858.305 15.783 0.057999999999999996 up
58858.308 15.075 0.01 rp
58858.337999999996 15.073 0.013000000000000001 gp
58858.34 15.06 0.012 rp
58858.34099999999 15.095 0.038 ip
58859.049000000006 15.536 0.032 up
58859.051 14.863 0.013000000000000001 gp
58859.052 14.876 0.015 rp
58859.053 14.994000000000002 0.009000000000000001 ip
58859.297 14.831 0.013000000000000001 gp
58859.297999999995 14.734000000000002 0.011000000000000001 rp
58859.3 14.970999999999998 0.043 ip
58859.68900000001 14.839 0.027000000000000003 gp
58859.69 15.452 0.095 rp
58859.691 15.322000000000001 0.076 ip
58860.047 15.164000000000001 0.027999999999999997 up
58860.047999999995 15.124 0.059000000000000004 gp
58860.049000000006 14.449000000000002 0.02 rp
58860.051 14.559000000000001 0.016 ip
58861.049000000006 14.738 0.031 up
58861.05 14.195 0.013999999999999999 gp
58861.052 14.27 0.012 rp
58861.053 14.360999999999999 0.017 ip
58861.292 14.29 0.015 gp
58861.293 14.277000000000001 0.01 rp
58861.294 14.434000000000001 0.016 ip
58861.683 14.357999999999999 0.025 gp
58861.685 14.140999999999998 0.013000000000000001 rp
58861.685999999994 14.239 0.012 ip
58864.31 13.841 0.043 rp
58864.31200000001 13.88 0.031 ip
58864.752 14.754000000000001 0.027999999999999997 up
58864.754 13.966 0.013000000000000001 gp
58864.755 13.873 0.011000000000000001 rp
58864.755999999994 14.022 0.011000000000000001 ip
58866.302 14.863 0.035 up
58866.304000000004 16.184 0.256 gp
58866.305 14.318 0.040999999999999995 rp
58866.306 14.800999999999998 0.08 ip
58867.3 15.459000000000001 0.031 up
58867.301 14.208 0.015 gp
58867.302 13.831 0.006999999999999999 rp
58867.304000000004 13.991 0.009000000000000001 ip
58868.273 14.29 0.019 gp
58868.27400000001 13.828 0.008 rp
58869.27 14.422 0.011000000000000001 gp
58869.273 14.17 0.02 ip
58872.28599999999 16.691 0.052000000000000005 up
58872.287000000004 14.682 0.049 gp
58872.289000000004 14.292 0.02 rp
58872.29 14.304 0.011000000000000001 ip
58873.087 16.848 0.032 up
58873.087999999996 15.045 0.015 gp
58873.08900000001 14.277999999999999 0.006999999999999999 rp
58873.09099999999 14.378 0.006999999999999999 ip
58874.280999999995 16.738 0.066 up
58874.282 14.829 0.013000000000000001 gp
58874.28400000001 14.324000000000002 0.008 rp
58874.285 14.765999999999998 0.073 ip
58875.253 17.111 0.040999999999999995 up
58875.254 15.275 0.012 gp
58875.255 14.571 0.01 rp
58875.25700000001 14.630999999999998 0.008 ip
58876.335999999996 14.831 0.015 rp
58877.258 14.815 0.013999999999999999 rp
58878.33900000001 16.980999999999998 0.092 up
58878.34 15.9 0.065 gp
58878.34099999999 14.985999999999999 0.021 rp
58878.343 14.937999999999999 0.006999999999999999 ip
58881.992999999995 17.055999999999994 0.051 up
58881.99400000001 16.141 0.3 gp
58881.996 15.208 0.023 rp
58881.997 15.433 0.094 ip
58884.37 16.315 0.3 gp
58887.38200000001 17.163 0.038 up
58887.383 16.057000000000002 0.038 gp
58887.385 16.656 0.135 rp
58887.386 15.658 0.01 ip
58891.959 17.144000000000002 0.069 up
58891.960999999996 16.46 0.043 gp
58891.962 15.743 0.036000000000000004 rp
58891.962999999996 15.72 0.017 ip
58898.377 17.335 0.054000000000000006 up
58898.379 16.509 0.124 gp
58898.38 16.055 0.027999999999999997 rp
58898.380999999994 16.01 0.011000000000000001 ip
58906.1 16.027 0.016 gp
58906.100999999995 15.946 0.05 rp
58906.102 15.854000000000001 0.021 ip
58910.15900000001 16.182000000000002 0.023 gp
58910.16099999999 16.385 0.131 ip
58914.263 17.351 0.055999999999999994 up
58914.267 17.157 0.156 gp
58914.269 16.244 0.02 ip
58862.53199074 14.059000000000001 0.022649400000000004 g
58862.53376157 14.2607 0.020577599999999998 i
58862.53465278 14.2657 0.027463799999999997 z
58863.52743827 13.0437 0.017442199999999998 g
58864.3353626533 13.9919 0.0181177 g
58864.340625 14.0737 0.0145267 i
58864.33797068 13.9496 0.015189600000000001 r
58864.3432716033 14.0234 0.017269299999999998 z
58865.4546103433 14.0479 0.0176085 g
58865.45892361 13.999 0.042349300000000006 i
58865.4571913567 13.8869 0.018366999999999998 r
58866.3214544733 14.1006 0.013731499999999999 g
58866.3267476867 14.0247 0.0134541 i
58866.3240895067 13.902000000000001 0.0124715 r
58866.3293865733 13.975 0.033118699999999994 z
58867.3479089533 14.200999999999999 0.0148215 g
58867.35320216 14.061 0.015594 i
58867.3505439833 13.9024 0.013125799999999998 r
58867.3558526233 13.9645 0.0193563 z
58871.3340123433 14.899000000000001 0.013208000000000001 g
58871.3393209867 14.299000000000001 0.0117863 i
58871.3366512333 14.2089 0.0114479 r
58871.341967593304 14.1912 0.0199555 z
58872.3293711433 15.0731 0.013863499999999999 g
58872.33465278 14.3639 0.014479399999999996 i
58872.3320023133 14.3235 0.0137453 r
58872.3373109567 14.2471 0.0175929 z
58873.3982716033 15.3125 0.017144200000000002 g
58873.4035571 14.4816 0.011155799999999999 i
58873.4009104933 14.4219 0.0117644 r
58873.4061998467 14.2937 0.0160601 z
58874.2856520067 15.4139 0.0172801 g
58874.29089892 14.5781 0.015209 i
58874.28824074 14.5844 0.0166415 r
58874.2935416667 14.4215 0.020774900000000002 z
58876.28513503 15.6351 0.034795 g
58876.29037037 14.6309 0.024928 i
58876.2877237667 14.7813 0.0234703 r
58876.2930015467 14.5382 0.038435000000000004 z
58878.2872530833 15.0067 0.0212384 i
58878.2846026233 14.9257 0.022624099999999998 r
58878.28990355 14.6351 0.0463719 z
58880.2831790133 16.1482 0.0225077 g
58880.28847994 15.3037 0.016576 i
58880.2858179033 15.3563 0.016197 r
58880.2911226867 14.950999999999999 0.0229662 z
58881.2794135833 16.2231 0.020878599999999997 g
58881.2846913567 15.4031 0.015305100000000004 i
58881.28204861 15.4392 0.0138726 r
58881.2873379633 15.0057 0.0216623 z
58885.3655092567 16.472 0.023378299999999998 g
58886.27953318 16.5571 0.064915 g
58886.28480324 15.8054 0.0236242 i
58886.2821604933 15.8337 0.0233295 r
58886.2874537033 15.227 0.0324589 z
58890.2784259267 16.2544 0.219817 g
58890.28364583 15.8637 0.0482545 i
58890.2810300933 15.9358 0.056121300000000006 r
58890.28629244 15.4857 0.0534952 z
58892.26337577 16.6863 0.0421457 g
58892.26888889 16.1301 0.027638999999999997 i
58892.2660763867 16.1826 0.0238815 r
58892.27167438 15.4144 0.0342536 z
58893.2465007733 16.6362 0.0180023 g
58893.25179784 16.1414 0.0177362 i
58893.24913194 16.2205 0.0173778 r
58893.2544483 15.4997 0.0385576 z
58894.25404321 16.7564 0.019768599999999997 g
58894.25934028 16.2668 0.0209181 i
58894.25668403 16.3302 0.014856799999999996 r
58894.2619791667 15.4296 0.0260803 z
58898.23909722 16.919 0.025289700000000002 g
58898.24441358 16.254 0.0221466 i
58898.2417476867 16.4944 0.018422 r
58898.2470486133 15.5188 0.031970599999999995 z
58899.2317168233 16.922 0.0391309 g
58899.23702932 16.477 0.0348392 i
58899.23435957 16.3793 0.027885700000000003 r
58899.2396836433 15.5345 0.035188300000000006 z
58900.3418518533 16.9539 0.0458701 g
58900.34714119999 16.2961 0.0184106 i
58900.3444868833 16.434 0.0181812 r
58900.3497878067 15.5076 0.03007 z
58902.2646604933 16.3587 0.046432 i
58902.2620023133 16.3429 0.0246391 r
58903.2894868833 16.8103 0.0294872 g
58903.29476852 16.3345 0.0295317 i
58903.29211034 16.5727 0.024972 r
58903.2974074067 15.773 0.0456793 z
58905.5698726833 16.4053 0.102383 g
58905.575050153304 16.4908 0.153632 i
58905.5724498467 16.6041 0.061176999999999995 r
58905.5776350333 15.5918 0.14870999999999998 z
