MJD MAG MAGERR FLT
58859.97 16.164 0.341 UVW1
58860.38 16.349 0.32799999999999996 UVW1
58861.24 15.550999999999998 0.19899999999999998 UVW1
58877.19 16.527 0.35200000000000004 UVW1
58856.45 15.682 0.195 U
58856.79 15.695 0.212 U
58857.45 16.090999999999998 0.249 U
58858.85 15.600999999999999 0.185 U
58859.49 15.321 0.18600000000000003 U
58860.38 14.855 0.127 U
58861.25 14.442 0.111 U
58856.45 16.695999999999998 0.25 B
58856.79 16.927 0.307 B
58857.45 16.848 0.27699999999999997 B
58858.85 16.018 0.16399999999999998 B
58859.49 15.842 0.17 B
58860.38 15.447000000000001 0.12300000000000001 B
58861.25 15.017000000000001 0.105 B
58887.69 16.509 0.317 B
58898.57 16.537 0.243 B
58907.26 16.707 0.251 B
58856.46 16.279 0.318 V
58856.8 16.285999999999998 0.32799999999999996 V
58857.45 15.819 0.22899999999999998 V
58858.85 15.225999999999999 0.158 V
58860.38 14.661 0.11800000000000001 V
58861.25 14.339 0.10400000000000001 V
58877.19 15.210999999999999 0.165 V
58887.68 15.554 0.193 V
58898.57 15.808 0.22899999999999998 V
58907.25 15.975999999999999 0.255 V
58906.27664 16.730494141827556 0.013999999999999999 i
58910.24767 17.14805982087199 0.013000000000000001 g
58895.28589 16.247953079378856 0.013999999999999999 i
58910.25847000001 16.855081371752686 0.011000000000000001 V
58872.3515 14.388135232080069 0.002 r
58883.37303 15.7283945370561 0.005 r
58896.28917999999 16.303280119455536 0.01 r
58905.28259 16.556495850943197 0.006 r
58882.32175 18.626433574697344 0.040999999999999995 u
58904.32738 19.240153906561037 0.066 u
58911.20413 19.18915662264564 0.08900000000000001 u
58885.35286 15.758670985612474 0.006 r
58884.36852 15.646438659943785 0.006999999999999999 r
58885.35471 15.772636437508064 0.011000000000000001 i
58870.31992 15.415019282010936 0.006999999999999999 B
58869.34905 14.65371551684156 0.004 g
58903.28685 17.426973919126578 0.016 B
58894.3075 16.3137628987624 0.006 r
58869.35182 14.199171458562507 0.003 V
58905.30181 16.806077233554927 0.006 V
58905.28652 16.65034035327092 0.015 i
58893.28932 16.20798664155253 0.01 i
58870.31492 14.014625307756464 0.004 r
58896.30244 16.482499337564796 0.013999999999999999 V
58882.31522999999 15.657618717526148 0.006999999999999999 r
58903.2847 16.667567014844348 0.013000000000000001 V
58912.27400000001 19.432731264789105 0.111 u
58869.35282000001 15.260726623363256 0.005 B
58910.24226 16.721532283676346 0.011000000000000001 r
58872.358620000006 14.698345136806171 0.002 V
58903.27425 16.98446556195226 0.013000000000000001 g
58907.36082 16.62538888163994 0.012 i
58894.32053 16.570757756100498 0.009000000000000001 V
58874.3739 14.60689150758381 0.004 r
58906.27954 17.03963414330292 0.01 g
58908.30726 17.046131097992337 0.015 g
58909.37156 17.648505194484798 0.011000000000000001 B
58882.31679 15.635627398649213 0.005 r
58872.35262000001 14.519635535662339 0.004 i
58910.25045 19.223635334530808 0.092 u
58908.30547000001 17.07018642476615 0.013999999999999999 g
58908.29822999999 16.738641013136785 0.008 r
58911.20107999999 17.149784569680392 0.013999999999999999 g
58904.32487999999 16.99608015786587 0.01 g
