MJD,MAG,MAGERR,FLT,TELESCOPE,INSTRUMENT,ULIM
58870.5,15.173611821804911,0.3793452622101357,g,Synthetic,Synthetic,0.0
58872.4,15.328164318443374,0.3832090741129513,g,Synthetic,Synthetic,0.0
58875.0,15.50110258781618,0.3875325139348824,g,Synthetic,Synthetic,0.0
58876.7,16.131917932697263,0.4033027110337772,g,Synthetic,Synthetic,0.0
58879.4,15.44824908110785,0.3862111830311526,g,Synthetic,Synthetic,0.0
58880.3,16.340588518330026,0.4085193853054314,g,Synthetic,Synthetic,0.0
58880.4,15.729157714612466,0.3932337950878793,g,Synthetic,Synthetic,0.0
58892.0,17.536503995245138,0.438416477490367,g,Synthetic,Synthetic,0.0
58895.0,17.168158222540875,0.4292076943892629,g,Synthetic,Synthetic,0.0
58995.6,17.0816452531656,0.4271285176584185,g,Synthetic,Synthetic,0.0
58857.3,15.722981970529446,0.0079876876581284,r,Synthetic,Synthetic,0.0
58864.6,13.873169754105396,0.0090856928759811,r,Synthetic,Synthetic,0.0
58868.6,13.982023459562017,0.0076088674908125,r,Synthetic,Synthetic,0.0
58870.5,14.146191821804912,0.0071922579255002,r,Synthetic,Synthetic,0.0
58872.4,14.347720318443374,0.0072405253226292,r,Synthetic,Synthetic,0.0
58875.0,14.66881958781618,0.0075592291809811,r,Synthetic,Synthetic,0.0
58876.7,14.89613793269726,0.0080234897481391,r,Synthetic,Synthetic,0.0
58879.4,15.24647608110785,0.0086401678211851,r,Synthetic,Synthetic,0.0
58880.3,15.351676518330027,0.0085561314612923,r,Synthetic,Synthetic,0.0
58880.4,15.362859714612464,0.0085371548957775,r,Synthetic,Synthetic,0.0
58892.0,16.15631399524514,0.0143273027542555,r,Synthetic,Synthetic,0.0
58895.0,16.284344222540874,0.0113926427904795,r,Synthetic,Synthetic,0.0
58995.6,16.5436662531656,0.0399035375388624,r,Synthetic,Synthetic,0.0
58857.3,15.793468970529446,0.3949728749068472,i,Synthetic,Synthetic,0.0
58864.6,14.031082754105396,0.3509277325219772,i,Synthetic,Synthetic,0.0
58868.6,14.075679959562017,0.3520158542452584,i,Synthetic,Synthetic,0.0
58870.5,14.144530521804912,0.3537227503135505,i,Synthetic,Synthetic,0.0
58872.4,14.032727318443374,0.3509276111271728,i,Synthetic,Synthetic,0.0
58875.0,14.49206158781618,0.3624123388343981,i,Synthetic,Synthetic,0.0
58876.7,14.275093932697262,0.3570004627100023,i,Synthetic,Synthetic,0.0
58879.4,15.20816508110785,0.3803454823370493,i,Synthetic,Synthetic,0.0
58880.3,15.229342518330029,0.3808760117293056,i,Synthetic,Synthetic,0.0
58880.4,15.373367314612466,0.3844750666245342,i,Synthetic,Synthetic,0.0
58892.0,15.48736699524514,0.3876558623565641,i,Synthetic,Synthetic,0.0
58895.0,16.161254222540872,0.404315260003258,i,Synthetic,Synthetic,0.0
58995.6,16.4725517531656,0.5145475193220824,i,Synthetic,Synthetic,0.0
58857.3,15.742930970529446,0.4028146828791658,z,Synthetic,Synthetic,0.0
58864.6,14.009779754105397,0.3504278101872683,z,Synthetic,Synthetic,0.0
58868.6,14.014947159562016,0.3505586034704588,z,Synthetic,Synthetic,0.0
58870.5,14.003961821804912,0.3502461462425956,z,Synthetic,Synthetic,0.0
58880.4,14.926648714612464,0.3733478460065271,z,Synthetic,Synthetic,0.0
58906.27664,16.730494141827556,0.014,i,Swope,,0.0
58910.24767000001,17.14805982087199,0.013,g,Swope,,0.0
58895.28589,16.247953079378856,0.014,i,Swope,,0.0
58910.25847000003,16.855081371752686,0.011,V,Swope,,0.0
58872.3515,14.388135232080067,0.002,r,Swope,,0.0
58883.37303000001,15.7283945370561,0.005,r,Swope,,0.0
58896.28917999999,16.303280119455536,0.01,r,Swope,,0.0
58905.28259000001,16.556495850943197,0.006,r,Swope,,0.0
58882.32175000001,18.626433574697344,0.041,u,Swope,,0.0
58904.32738,19.24015390656104,0.066,u,Swope,,0.0
58911.20412999999,19.18915662264564,0.089,u,Swope,,0.0
58885.35286,15.758670985612474,0.006,r,Swope,,0.0
58884.36852,15.646438659943785,0.0069999999999999,r,Swope,,0.0
58885.35471000001,15.772636437508064,0.011,i,Swope,,0.0
58870.31992,15.415019282010936,0.0069999999999999,B,Swope,,0.0
58869.34904999999,14.65371551684156,0.004,g,Swope,,0.0
58903.28684999999,17.426973919126578,0.016,B,Swope,,0.0
58894.3075,16.3137628987624,0.006,r,Swope,,0.0
58869.35182,14.199171458562509,0.003,V,Swope,,0.0
58905.30180999999,16.806077233554927,0.006,V,Swope,,0.0
58905.28652,16.65034035327092,0.015,i,Swope,,0.0
58893.28932,16.20798664155253,0.01,i,Swope,,0.0
58870.31492,14.014625307756464,0.004,r,Swope,,0.0
58896.30244,16.482499337564796,0.014,V,Swope,,0.0
58882.31522999997,15.657618717526148,0.0069999999999999,r,Swope,,0.0
58903.2847,16.667567014844348,0.013,V,Swope,,0.0
58912.27400000001,19.432731264789105,0.111,u,Swope,,0.0
58869.35282000001,15.260726623363256,0.005,B,Swope,,0.0
58910.24226,16.721532283676346,0.011,r,Swope,,0.0
58872.358620000006,14.698345136806171,0.002,V,Swope,,0.0
58903.27424999999,16.98446556195226,0.013,g,Swope,,0.0
58907.36082,16.62538888163994,0.012,i,Swope,,0.0
58894.32052999999,16.570757756100498,0.009,V,Swope,,0.0
58874.3739,14.60689150758381,0.004,r,Swope,,0.0
58906.27954,17.03963414330292,0.01,g,Swope,,0.0
58908.30726,17.046131097992337,0.015,g,Swope,,0.0
58909.37156,17.648505194484798,0.011,B,Swope,,0.0
58882.31679000001,15.635627398649213,0.005,r,Swope,,0.0
58872.35262000001,14.51963553566234,0.004,i,Swope,,0.0
58910.25044999999,19.223635334530808,0.092,u,Swope,,0.0
58908.30547000003,17.07018642476615,0.014,g,Swope,,0.0
58908.29822999997,16.738641013136785,0.008,r,Swope,,0.0
58911.20107999999,17.149784569680392,0.014,g,Swope,,0.0
58904.32487999999,16.99608015786587,0.01,g,Swope,,0.0
58911.21199000001,16.861738270324935,0.01,V,Swope,,0.0
58904.33528999999,16.80447827794631,0.01,V,Swope,,0.0
58896.29452999997,19.010536974901303,0.11,u,Swope,,0.0
58876.36138,14.820986698569223,0.005,r,Swope,,0.0
58869.34554,14.0790513487104,0.005,r,Swope,,0.0
58875.37484999999,14.662348270049035,0.004,r,Swope,,0.0
58871.35000999999,14.121382495750687,0.003,r,Swope,,0.0
58895.28748999999,16.844366923796436,0.009,g,Swope,,0.0
58908.32532,17.581479962833377,0.011,B,Swope,,0.0
58870.31588,14.213836225196244,0.006,i,Swope,,0.0
58893.28775000001,16.30596567117911,0.006,r,Swope,,0.0
58905.29418,19.288483465959164,0.068,u,Swope,,0.0
58911.21479000001,17.654564955593273,0.016,B,Swope,,0.0
58876.37175000001,16.469570120806857,0.005,B,Swope,,0.0
58909.35927000003,17.13843892417616,0.01,g,Swope,,0.0
58895.23958,16.884347859354374,0.255,r,Swope,,0.0
58872.35487000001,16.748467683836616,0.0,u,Swope,,0.0
58903.27644,19.18362441231222,0.095,u,Swope,,0.0
58912.26859000001,16.764628031698752,0.019,i,Swope,,0.0
58893.30286,17.4338046490238,0.011,B,Swope,,0.0
58906.29516,17.59927061707873,0.008,B,Swope,,0.0
58903.26840999999,16.572757043082806,0.023,r,Swope,,0.0
58906.29036999999,16.8323272582251,0.006,V,Swope,,0.0
58906.29432000001,17.612660564293357,0.017,B,Swope,,0.0
58907.36594,19.017493667284995,0.074,u,Swope,,0.0
58876.36301,14.863084430678894,0.006,i,Swope,,0.0
58904.32081000003,16.52175139861533,0.01,r,Swope,,0.0
58908.31992999999,16.788175922449867,0.01,V,Swope,,0.0
58895.29795000001,16.51367829783936,0.01,V,Swope,,0.0
58912.28180999999,16.983698125413188,0.011,V,Swope,,0.0
58871.35908999999,15.667306194175966,0.006,B,Swope,,0.0
58912.27131000001,17.15689440918094,0.014,g,Swope,,0.0
58910.26117000003,17.562459962999945,0.016,B,Swope,,0.0
58912.28456999999,17.669016895733492,0.016,B,Swope,,0.0
58871.35719000001,14.524681641718551,0.003,V,Swope,,0.0
58904.31957000003,16.649188061300432,0.021,r,Swope,,0.0
58908.29688,16.783317863522488,0.012,r,Swope,,0.0
58884.37588999999,17.07370775669093,0.008,B,Swope,,0.0
58908.31859000001,16.808510823884934,0.015,V,Swope,,0.0
58876.37044999999,15.316344354103329,0.004,V,Swope,,0.0
58884.37432,16.027935423331286,0.008,V,Swope,,0.0
58885.36832999999,17.15396701156975,0.009,B,Swope,,0.0
58905.29019000001,17.030727333664167,0.009,g,Swope,,0.0
58909.36148999999,19.23148879503404,0.066,u,Swope,,0.0
58882.31831000001,15.620937314737144,0.008,i,Swope,,0.0
58908.31056000001,19.282349100593105,0.1,u,Swope,,0.0
58908.32294,17.558747207784116,0.017,B,Swope,,0.0
58893.29096000001,16.81105042568516,0.01,g,Swope,,0.0
58883.37536999999,16.474851725465122,0.0069999999999999,g,Swope,,0.0
58897.30924,16.479192084418358,0.014,r,Swope,,0.0
58903.26971000001,16.48746773038844,0.01,r,Swope,,0.0
58906.28275000001,19.405870371089208,0.077,u,Swope,,0.0
58907.35806000001,16.67236396370803,0.008,r,Swope,,0.0
58903.27202999997,16.48728672672834,0.018,i,Swope,,0.0
58883.3742,15.721728666086168,0.009,i,Swope,,0.0
58885.36622999997,16.12831110947164,0.009,V,Swope,,0.0
58882.31979000001,16.396392278549392,0.0069999999999999,g,Swope,,0.0
58885.35638,16.559003946494666,0.011,g,Swope,,0.0
58895.28439000001,16.240063757904416,0.009,r,Swope,,0.0
58906.27355000001,16.568189044936926,0.006,r,Swope,,0.0
58869.34682000001,13.9530233798902,0.003,r,Swope,,0.0
58875.37718,15.659310769030805,0.008,g,Swope,,0.0
58894.309,16.32071578397757,0.01,i,Swope,,0.0
58870.31922000001,14.296333404338762,0.005,V,Swope,,0.0
58893.29360999999,17.172733521345865,0.0,u,Swope,,0.0
58871.35378,14.994658651631966,0.003,g,Swope,,0.0
58875.38076,15.089198371386605,0.006,V,Swope,,0.0
58875.38179000001,16.356524440612947,0.014,B,Swope,,0.0
58872.35992,15.83076710296885,0.004,B,Swope,,0.0
58876.36475000001,15.7786475678642,0.0069999999999999,g,Swope,,0.0
58905.30594,17.56411830218294,0.008,B,Swope,,0.0
58876.36632000001,18.100894267050705,0.031,u,Swope,,0.0
58909.36900000001,16.90713111476415,0.009,V,Swope,,0.0
58909.35704,16.835158846192314,0.016,i,Swope,,0.0
58904.33742,17.579642927296867,0.014,B,Swope,,0.0
58907.37604,17.554355320442408,0.016,B,Swope,,0.0
58907.36338,17.057406691808062,0.011,g,Swope,,0.0
58907.37340999999,16.789142770028292,0.01,V,Swope,,0.0
58882.33179000001,17.03549859174598,0.006,B,Swope,,0.0
58884.37103000001,16.488827196744687,0.009,g,Swope,,0.0
58908.30123000001,16.780627022607664,0.018,i,Swope,,0.0
58904.32282,16.539784856516626,0.019,i,Swope,,0.0
58911.19852000001,16.746027855617626,0.02,i,Swope,,0.0
58882.33001000003,15.964680670673095,0.005,V,Swope,,0.0
58885.35848,18.754025590537346,0.069,u,Swope,,0.0
58911.19578,16.740117080821506,0.008,r,Swope,,0.0
58894.31054,16.820771283434702,0.009,g,Swope,,0.0
58883.38041000003,17.086226274122545,0.008,B,Swope,,0.0
58883.37883000001,16.074790812052342,0.006,V,Swope,,0.0
58875.37604,14.70159992201199,0.005,i,Swope,,0.0
58872.35361000003,15.210488370398156,0.004,g,Swope,,0.0
58895.28938,19.182007106331177,0.085,u,Swope,,0.0
58871.35235000001,14.269532222789628,0.005,i,Swope,,0.0
58896.29248999999,16.861346345649544,0.021,g,Swope,,0.0
58908.30252999997,16.789031934309453,0.015,i,Swope,,0.0
58909.35484,16.698882360284713,0.008,r,Swope,,0.0
58893.3013,16.522624561931668,0.009,V,Swope,,0.0
58905.28134,16.67005270860553,0.013,r,Swope,,0.0
58865.531,14.239,0.108,orange,ATLAS,HKO,0.0
58873.248,14.58,0.2,G,Gaia,Gaia-Photometric,0.0
58866.56400000001,14.001,0.005,i,Pan-STARRS1,GPC1,0.0
58866.567,14.093,0.004,g,Pan-STARRS1,GPC1,0.0
58869.569,13.956,0.003,r,Pan-STARRS1,GPC1,0.0
58869.572,14.576,0.005,g,Pan-STARRS1,GPC1,0.0
58895.43,15.545,0.062,i,Nickel,Direct/2Kx2K,0.0
58900.38200000001,16.457,0.304,r,Nickel,Direct/2Kx2K,0.0
58862.53199073999,14.059,0.0226494,g,Thacher,,0.0
58862.53376157,14.2607,0.0205776,i,Thacher,,0.0
58862.53465278001,14.2657,0.0274638,z,Thacher,,0.0
58863.52743827,13.0437,0.0174421999999999,g,Thacher,,0.0
58864.3353626533,13.9919,0.0181177,g,Thacher,,0.0
58864.340625,14.0737,0.0145267,i,Thacher,,0.0
58864.33797068,13.9496,0.0151896,r,Thacher,,0.0
58864.3432716033,14.0234,0.0172692999999999,z,Thacher,,0.0
58865.4546103433,14.0479,0.0176085,g,Thacher,,0.0
58865.45892361,13.999,0.0423493,i,Thacher,,0.0
58865.4571913567,13.8869,0.018367,r,Thacher,,0.0
58866.3214544733,14.1006,0.0137315,g,Thacher,,0.0
58866.3267476867,14.0247,0.0134541,i,Thacher,,0.0
58866.3240895067,13.902,0.0124715,r,Thacher,,0.0
58866.3293865733,13.975,0.0331186999999999,z,Thacher,,0.0
58867.3479089533,14.201,0.0148215,g,Thacher,,0.0
58867.35320216001,14.061,0.015594,i,Thacher,,0.0
58867.3505439833,13.9024,0.0131257999999999,r,Thacher,,0.0
58867.3558526233,13.9645,0.0193563,z,Thacher,,0.0
58871.3340123433,14.899,0.013208,g,Thacher,,0.0
58871.3393209867,14.299,0.0117863,i,Thacher,,0.0
58871.3366512333,14.2089,0.0114479,r,Thacher,,0.0
58871.34196759329,14.1912,0.0199555,z,Thacher,,0.0
58872.32937114329,15.0731,0.0138635,g,Thacher,,0.0
58872.33465278001,14.3639,0.0144793999999999,i,Thacher,,0.0
58872.3320023133,14.3235,0.0137453,r,Thacher,,0.0
58872.3373109567,14.2471,0.0175929,z,Thacher,,0.0
58873.3982716033,15.3125,0.0171442,g,Thacher,,0.0
58873.40355710001,14.4816,0.0111558,i,Thacher,,0.0
58873.4009104933,14.4219,0.0117644,r,Thacher,,0.0
58873.4061998467,14.2937,0.0160601,z,Thacher,,0.0
58874.2856520067,15.4139,0.0172801,g,Thacher,,0.0
58874.29089892,14.5781,0.015209,i,Thacher,,0.0
58874.28824073999,14.5844,0.0166415,r,Thacher,,0.0
58874.2935416667,14.4215,0.0207749,z,Thacher,,0.0
58876.28513503001,15.6351,0.034795,g,Thacher,,0.0
58876.29037037,14.6309,0.024928,i,Thacher,,0.0
58876.28772376669,14.7813,0.0234703,r,Thacher,,0.0
58876.2930015467,14.5382,0.038435,z,Thacher,,0.0
58878.28725308329,15.0067,0.0212384,i,Thacher,,0.0
58878.2846026233,14.9257,0.0226241,r,Thacher,,0.0
58878.28990355,14.6351,0.0463719,z,Thacher,,0.0
58880.2831790133,16.1482,0.0225077,g,Thacher,,0.0
58880.28847993999,15.3037,0.016576,i,Thacher,,0.0
58880.2858179033,15.3563,0.016197,r,Thacher,,0.0
58880.29112268669,14.951,0.0229662,z,Thacher,,0.0
58881.2794135833,16.2231,0.0208786,g,Thacher,,0.0
58881.2846913567,15.4031,0.0153051,i,Thacher,,0.0
58881.28204861,15.4392,0.0138726,r,Thacher,,0.0
58881.2873379633,15.0057,0.0216623,z,Thacher,,0.0
58885.3655092567,16.472,0.0233783,g,Thacher,,0.0
58886.27953318001,16.5571,0.064915,g,Thacher,,0.0
58886.28480324,15.8054,0.0236242,i,Thacher,,0.0
58886.2821604933,15.8337,0.0233295,r,Thacher,,0.0
58886.28745370329,15.227,0.0324589,z,Thacher,,0.0
58890.2784259267,16.2544,0.219817,g,Thacher,,0.0
58890.28364583,15.8637,0.0482545,i,Thacher,,0.0
58890.2810300933,15.9358,0.0561213,r,Thacher,,0.0
58890.28629244,15.4857,0.0534952,z,Thacher,,0.0
58892.26337577,16.6863,0.0421457,g,Thacher,,0.0
58892.26888889,16.1301,0.027639,i,Thacher,,0.0
58892.2660763867,16.1826,0.0238815,r,Thacher,,0.0
58892.27167438,15.4144,0.0342536,z,Thacher,,0.0
58893.2465007733,16.6362,0.0180023,g,Thacher,,0.0
58893.25179784,16.1414,0.0177362,i,Thacher,,0.0
58893.24913193999,16.2205,0.0173778,r,Thacher,,0.0
58893.25444830001,15.4997,0.0385576,z,Thacher,,0.0
58894.25404320999,16.7564,0.0197686,g,Thacher,,0.0
58894.25934028,16.2668,0.0209181,i,Thacher,,0.0
58894.25668403,16.3302,0.0148567999999999,r,Thacher,,0.0
58894.26197916671,15.4296,0.0260803,z,Thacher,,0.0
58898.23909722,16.919,0.0252897,g,Thacher,,0.0
58898.24441358,16.254,0.0221466,i,Thacher,,0.0
58898.2417476867,16.4944,0.018422,r,Thacher,,0.0
58898.2470486133,15.5188,0.0319705999999999,z,Thacher,,0.0
58899.2317168233,16.922,0.0391309,g,Thacher,,0.0
58899.23702932,16.477,0.0348392,i,Thacher,,0.0
58899.23435957,16.3793,0.0278857,r,Thacher,,0.0
58899.23968364329,15.5345,0.0351883,z,Thacher,,0.0
58900.3418518533,16.9539,0.0458701,g,Thacher,,0.0
58900.34714119997,16.2961,0.0184106,i,Thacher,,0.0
58900.3444868833,16.434,0.0181812,r,Thacher,,0.0
58900.3497878067,15.5076,0.03007,z,Thacher,,0.0
58902.2646604933,16.3587,0.046432,i,Thacher,,0.0
58902.2620023133,16.3429,0.0246391,r,Thacher,,0.0
58903.2894868833,16.8103,0.0294872,g,Thacher,,0.0
58903.29476852,16.3345,0.0295317,i,Thacher,,0.0
58903.29211033999,16.5727,0.024972,r,Thacher,,0.0
58903.2974074067,15.773,0.0456793,z,Thacher,,0.0
58905.5698726833,16.4053,0.102383,g,Thacher,,0.0
58905.57505015329,16.4908,0.153632,i,Thacher,,0.0
58905.5724498467,16.6041,0.061177,r,Thacher,,0.0
58905.5776350333,15.5918,0.1487099999999999,z,Thacher,,0.0
58856.4111962963,16.772951403208403,1.086,rp,Sinistro,,0.0
58856.69851079861,14.9223302561783,1.086,ip,Sinistro,,0.0
58857.301418298615,16.0426,0.0898033406950989,up,Sinistro,,0.0
58857.30337739582,17.1717275098459,1.086,rp,Sinistro,,0.0
58858.30139189815,15.2002,0.0293281959213314,rp,Sinistro,,0.0
58860.04794810185,17.026270672383802,1.086,gp,Sinistro,,0.0
58861.04904650463,15.361211128922,1.086,up,Sinistro,,0.0
58861.68584540508,16.0902372762179,1.086,ip,Sinistro,,0.0
58864.754942997686,13.8735,0.0112378334210826,rp,Sinistro,,0.0
58867.3008770949,14.2082,0.0152491586981053,gp,Sinistro,,0.0
58868.27386299769,13.8276,0.0077746491239155,rp,Sinistro,,0.0
58872.289974201376,14.3043,0.0112290349095548,ip,Sinistro,,0.0
58874.2850725,16.8560030121094,1.086,ip,Sinistro,,0.0
58884.37010370369,17.7300701814051,1.086,gp,Sinistro,,0.0
58881.996881898136,18.4797035195132,1.086,ip,Sinistro,,0.0
58906.10186420138,17.284140077303697,1.086,ip,Sinistro,,0.0
58919.14211700232,16.851017248484194,1.086,gp,Sinistro,,0.0
58929.49872810185,17.5183360974227,1.086,gp,Sinistro,,0.0
58929.4969775,16.9241011135926,1.086,up,Sinistro,,0.0
58929.50071060184,16.9654351048624,1.086,ip,Sinistro,,0.0
58929.49972540508,17.3439950829843,1.086,rp,Sinistro,,0.0
58935.6176117014,15.5195901251518,1.086,up,Sinistro,,0.0
58935.64023049769,16.846848150964302,1.086,rp,Sinistro,,0.0
58935.63823969906,15.6337161708339,1.086,up,Sinistro,,0.0
58935.641231400456,16.7569221227106,1.086,ip,Sinistro,,0.0
58935.639228298605,17.2005213083442,1.086,gp,Sinistro,,0.0
58943.45874420138,15.3048822012832,1.086,up,Sinistro,,0.0
58943.46005349537,17.1372880784929,1.086,gp,Sinistro,,0.0
58943.46105379631,16.4902519314404,1.086,rp,Sinistro,,0.0
58943.46206930556,15.9826416646684,1.086,ip,Sinistro,,0.0
58895.29063650463,17.0402960540235,1.086,gp,Sinistro,,0.0
58876.328744201375,14.6589855194681,1.086,up,Sinistro,,0.0
58895.29333049768,16.4366508662455,1.086,ip,Sinistro,,0.0
58902.2362787963,15.4415807634591,1.086,up,Sinistro,,0.0
58884.37146019676,18.5313163497397,1.086,rp,Sinistro,,0.0
58919.14316930557,16.7355587423005,1.086,rp,Sinistro,,0.0
58902.23997680556,16.7567115733438,1.086,ip,Sinistro,,0.0
58919.14422640047,16.6115687976085,1.086,ip,Sinistro,,0.0
58902.23789010418,17.0191075670881,1.086,gp,Sinistro,,0.0
58910.1600095949,17.6478650952906,1.086,rp,Sinistro,,0.0
58952.44129510416,16.7092850000905,1.086,up,Sinistro,,0.0
58923.14096680557,17.5429783462326,1.086,gp,Sinistro,,0.0
58919.139339097215,16.445584879909898,1.086,up,Sinistro,,0.0
58895.28822439815,16.0770469246157,1.086,up,Sinistro,,0.0
58923.14202349538,17.5682279182981,1.086,rp,Sinistro,,0.0
58952.4443129051,17.939956596321398,1.086,ip,Sinistro,,0.0
58923.14308599537,17.495886580975803,1.086,ip,Sinistro,,0.0
58902.23893349538,16.8671725026962,1.086,rp,Sinistro,,0.0
58914.26766090276,17.5033128507574,1.086,rp,Sinistro,,0.0
58952.44330900464,18.0763400744165,1.086,rp,Sinistro,,0.0
58910.15639540509,16.404600061304702,1.086,up,Sinistro,,0.0
58895.29198379631,16.7167762300203,1.086,rp,Sinistro,,0.0
58952.44229099537,18.1852179787847,1.086,gp,Sinistro,,0.0
58906.09869439816,16.2608803456238,1.086,up,Sinistro,,0.0
58923.137844097226,16.6400561078277,1.086,up,Sinistro,,0.0
58884.36816700232,16.3557743629602,1.086,up,Sinistro,,0.0
58857.31849260418,17.3587560829792,1.086,rp,Sinistro,,0.0
58857.34790329861,17.5595386871444,1.086,rp,Sinistro,,0.0
58856.30783010418,16.8429318042692,1.086,rp,Sinistro,,0.0
58856.36973799767,16.2077577002458,1.086,ip,Sinistro,,0.0
58860.42249140046,-13.050520649279196,1.086,rp,Sinistro,,0.0
58860.41980019676,-11.1562102279801,1.086,up,Sinistro,,0.0
58959.339341898136,17.8530742647669,1.086,gp,Sinistro,,0.0
58959.34036769675,17.860222301807198,1.086,rp,Sinistro,,0.0
58959.34145760418,17.754473979966,1.086,ip,Sinistro,,0.0
58966.352328298606,16.728817332146598,1.086,ip,Sinistro,,0.0
58966.35133510416,16.9148940318044,1.086,rp,Sinistro,,0.0
58966.346135,16.9613960464727,1.086,up,Sinistro,,0.0
58966.35034700232,16.8111166935868,1.086,gp,Sinistro,,0.0
58974.11143359952,17.1674637898025,1.086,gp,Sinistro,,0.0
58974.11242700232,17.1586811154169,1.086,rp,Sinistro,,0.0
58974.11341239582,16.862032641406,1.086,ip,Sinistro,,0.0
58974.1101612037,16.2724401133356,1.086,up,Sinistro,,0.0
58980.7621129051,17.2868258767276,1.086,gp,Sinistro,,0.0
58980.763103194426,17.1858924487427,1.086,rp,Sinistro,,0.0
58980.75848819444,17.510686405029194,1.086,up,Sinistro,,0.0
58980.76410310184,16.8623596548672,1.086,ip,Sinistro,,0.0
58988.31710269675,16.9399546104549,1.086,ip,Sinistro,,0.0
58988.316112303255,17.240786509844902,1.086,rp,Sinistro,,0.0
58988.31293120369,16.6776286623887,1.086,up,Sinistro,,0.0
58988.31512849537,17.3907303707569,1.086,gp,Sinistro,,0.0
58996.502666805565,17.502915392762002,1.086,gp,Sinistro,,0.0
58996.500455196765,17.330354219017803,1.086,up,Sinistro,,0.0
58996.50466760418,17.4920167260725,1.086,ip,Sinistro,,0.0
58996.503663101845,17.5105072317808,1.086,rp,Sinistro,,0.0
59002.74630390047,18.86773381459361,1.086,rp,Sinistro,,0.0
59002.7472995949,18.6948001739413,1.086,ip,Sinistro,,0.0
59002.74310659723,18.819995591200303,1.086,up,Sinistro,,0.0
59002.74530769675,18.899957798764,1.086,gp,Sinistro,,0.0
59007.71042579861,18.827031733334803,1.086,rp,Sinistro,,0.0
59007.70939599536,18.616193293435604,1.086,gp,Sinistro,,0.0
59007.704254305565,19.4216139804921,1.086,up,Sinistro,,0.0
59007.71141280093,18.6508646425633,1.086,ip,Sinistro,,0.0
59014.79912700233,19.206392372477698,1.086,gp,Sinistro,,0.0
59014.80113019678,18.7291622980794,1.086,ip,Sinistro,,0.0
59014.79388209488,19.6520761664339,1.086,up,Sinistro,,0.0
59014.80013549769,19.0621466189853,1.086,rp,Sinistro,,0.0
59026.3471257986,17.5784056090679,1.086,ip,Sinistro,,0.0
59026.345095196775,17.310044534629,1.086,gp,Sinistro,,0.0
59026.33888719908,18.542635424804896,1.086,up,Sinistro,,0.0
59032.34242989582,20.3510119644632,1.086,gp,Sinistro,,0.0
59032.34444609952,20.1976929099499,1.086,ip,Sinistro,,0.0
59032.34021680556,19.9305497156457,1.086,up,Sinistro,,0.0
59032.3434425,20.36449462993161,1.086,rp,Sinistro,,0.0
59038.71726640048,19.6694151369467,1.086,rp,Sinistro,,0.0
59038.715121597226,19.7247543096614,1.086,gp,Sinistro,,0.0
59038.719573101866,19.8230174692298,1.086,ip,Sinistro,,0.0
59202.094513101845,18.5945892217895,1.086,gp,Sinistro,,0.0
59202.09650780094,18.4546180674636,1.086,ip,Sinistro,,0.0
59202.09216739582,18.4626669060354,1.086,up,Sinistro,,0.0
