MJD,MAG,MAGERR,FLT,TELESCOPE,INSTRUMENT,ULIM
58857.3,16.195597970529445,0.4054450838677042,B,Synthetic,Synthetic,0.0
58864.6,14.838915754105397,0.3711793380038825,B,Synthetic,Synthetic,0.0
58868.6,15.163563459562017,0.3792008162260978,B,Synthetic,Synthetic,0.0
58870.5,15.558631821804912,0.3890522886767223,B,Synthetic,Synthetic,0.0
58872.4,15.677620318443374,0.3920132370146648,B,Synthetic,Synthetic,0.0
58875.0,15.75044958781618,0.3938267518034773,B,Synthetic,Synthetic,0.0
58876.7,16.63740793269726,0.4159975670649503,B,Synthetic,Synthetic,0.0
58880.3,16.63879651833003,0.4160397199700957,B,Synthetic,Synthetic,0.0
58880.4,15.889590714612464,0.3973131555298083,B,Synthetic,Synthetic,0.0
58892.0,18.130343995245138,0.4533379078108955,B,Synthetic,Synthetic,0.0
58895.0,17.509734222540875,0.4378192564446476,B,Synthetic,Synthetic,0.0
58995.6,17.3195412531656,0.451853241373523,B,Synthetic,Synthetic,0.0
58857.3,15.694247770529444,0.3945350980013479,V,Synthetic,Synthetic,0.0
58864.6,13.972500654105396,0.3498867977098761,V,Synthetic,Synthetic,0.0
58868.6,14.181495459562017,0.3548729615193458,V,Synthetic,Synthetic,0.0
58870.5,14.420899821804912,0.3608024060239,V,Synthetic,Synthetic,0.0
58872.4,14.706313318443376,0.3679081693264019,V,Synthetic,Synthetic,0.0
58875.0,15.03284458781618,0.3760642550546099,V,Synthetic,Synthetic,0.0
58876.7,15.37202093269726,0.384549810789511,V,Synthetic,Synthetic,0.0
58879.4,15.27131358110785,0.3820607582080517,V,Synthetic,Synthetic,0.0
58880.3,15.710720518330028,0.3930470689297724,V,Synthetic,Synthetic,0.0
58880.4,15.498018714612463,0.3877343219830952,V,Synthetic,Synthetic,0.0
58892.0,16.71943999524514,0.4183033531439994,V,Synthetic,Synthetic,0.0
58895.0,16.518939222540872,0.4133083825890717,V,Synthetic,Synthetic,0.0
58995.6,16.722299253165602,0.8526139865200972,V,Synthetic,Synthetic,0.0
58857.3,16.009092970529444,0.4002312305005045,g,Synthetic,Synthetic,0.0
58864.6,14.572893754105396,0.3643272337684576,g,Synthetic,Synthetic,0.0
58868.6,14.850270459562015,0.3712617667209942,g,Synthetic,Synthetic,0.0
