MJD,MAG,MAGERR,FLT,TELESCOPE,INSTRUMENT,ULIM,FLUXCAL,FLUXCALERR,MAGSYS,SHIFTMAG,flux_zero_point,photometry,flux_err,flux,diffim
58857.3,16.104434770529444,0.4054451331962066,B,Synthetic,Synthetic,0.0,,,,,,,,,
58864.6,14.747752554105396,0.37117939188618815,B,Synthetic,Synthetic,0.0,,,,,,,,,
58868.6,15.072400259562016,0.37920086896859667,B,Synthetic,Synthetic,0.0,,,,,,,,,
58870.5,15.467468621804912,0.38905234008369066,B,Synthetic,Synthetic,0.0,,,,,,,,,
58872.4,15.586457118443374,0.39201328803334684,B,Synthetic,Synthetic,0.0,,,,,,,,,
58875.0,15.659286387816179,0.3938268025872258,B,Synthetic,Synthetic,0.0,,,,,,,,,
58876.7,16.54624473269726,0.4159976151421518,B,Synthetic,Synthetic,0.0,,,,,,,,,
58880.3,16.54763331833003,0.41603976804242604,B,Synthetic,Synthetic,0.0,,,,,,,,,
58880.4,15.798427514612463,0.3973132058679319,B,Synthetic,Synthetic,0.0,,,,,,,,,
58892.0,18.039180795245137,0.45333795192809523,B,Synthetic,Synthetic,0.0,,,,,,,,,
58895.0,17.418571022540874,0.4378193021255962,B,Synthetic,Synthetic,0.0,,,,,,,,,
58995.6,17.2283780531656,0.45185328563567984,B,Synthetic,Synthetic,0.0,,,,,,,,,
58870.31992,15.323856082010936,0.007002856560004538,B,Swope,,0.0,,,,,,,,,
58903.28684999999,17.335810719126577,0.01600124995117569,B,Swope,,0.0,,,,,,,,,
58869.35282000001,15.169563423363256,0.005003998401278721,B,Swope,,0.0,,,,,,,,,
58909.37156,17.557341994484798,0.011001818031580053,B,Swope,,0.0,,,,,,,,,
58908.32532,17.490316762833377,0.011001818031580053,B,Swope,,0.0,,,,,,,,,
58911.21479000001,17.563401755593272,0.01600124995117569,B,Swope,,0.0,,,,,,,,,
58876.37175000001,16.378406920806857,0.005003998401278721,B,Swope,,0.0,,,,,,,,,
58893.30286,17.342641449023798,0.011001818031580053,B,Swope,,0.0,,,,,,,,,
58906.29516,17.50810741707873,0.008002499609497022,B,Swope,,0.0,,,,,,,,,
58906.29432000001,17.521497364293356,0.017001176429882726,B,Swope,,0.0,,,,,,,,,
58871.35908999999,15.576142994175965,0.006003332407921454,B,Swope,,0.0,,,,,,,,,
58910.26117000003,17.471296762999945,0.01600124995117569,B,Swope,,0.0,,,,,,,,,
58912.28456999999,17.57785369573349,0.01600124995117569,B,Swope,,0.0,,,,,,,,,
58884.37588999999,16.98254455669093,0.008002499609497022,B,Swope,,0.0,,,,,,,,,
58885.36832999999,17.06280381156975,0.009002221947941518,B,Swope,,0.0,,,,,,,,,
58908.32294,17.467584007784115,0.017001176429882726,B,Swope,,0.0,,,,,,,,,
58875.38179000001,16.265361240612947,0.014001428498549712,B,Swope,,0.0,,,,,,,,,
58872.35992,15.739603902968849,0.004004996878900157,B,Swope,,0.0,,,,,,,,,
58905.30594,17.47295510218294,0.008002499609497022,B,Swope,,0.0,,,,,,,,,
58904.33742,17.488479727296866,0.014001428498549712,B,Swope,,0.0,,,,,,,,,
58907.37604,17.463192120442407,0.01600124995117569,B,Swope,,0.0,,,,,,,,,
58882.33179000001,16.94433539174598,0.006003332407921454,B,Swope,,0.0,,,,,,,,,
58883.38041000003,16.995063074122545,0.008002499609497022,B,Swope,,0.0,,,,,,,,,
58883.00615950232,17.9868372401052,1.0860000184162062,B,Sinistro,,0.0,,,,,27.5,UCSC - Siding Spring 1m,5872.186279410799,5872.186279410799,False
58879.07363840278,16.377395634586,1.0860000184162062,B,Sinistro,,0.0,,,,,27.5,UCSC - Siding Spring 1m,25856.9006155464,25856.9006155464,False
58878.058871805566,16.696114124596,1.0860000184162062,B,Sinistro,,0.0,,,,,27.5,UCSC - Siding Spring 1m,19279.2027295123,19279.2027295123,False
58873.08990239582,18.5324103956458,1.0860000184162062,B,Sinistro,,0.0,,,,,27.5,UCSC - Siding Spring 1m,3552.79837676858,3552.79837676858,False
58869.35282000001,15.0210368,0.012257389607905893,B,Direct/4Kx4K,,0.0,,,,,27.5,UCSC - Swope,1017.7982810969,90188.5422801009,False
58894.32212,16.8981368,0.0542167538681541,B,Direct/4Kx4K,,0.0,,,,,27.5,UCSC - Swope,799.188326199951,16008.4174298515,False
58897.32598,16.7834368,0.01216591451556353,B,Direct/4Kx4K,,0.0,,,,,27.5,UCSC - Swope,199.233199314784,17787.113089821898,False
58921.2622,17.2409368,0.09455199627718072,B,Direct/4Kx4K,,0.0,,,,,27.5,UCSC - Swope,1016.34538337955,11673.5087468964,False
58923.28922000001,17.1481368,0.02281640990603039,B,Direct/4Kx4K,,0.0,,,,,27.5,UCSC - Swope,267.207853016883,12718.8667569588,False
58954.155393402776,18.7552779574353,1.0860000184162062,B,Direct/2Kx2K,,0.0,,,,,27.5,UCSC - Nickel,2893.50033530055,2893.50033530055,False
58880.43696956018,18.7377831977953,1.0860000184162062,B,Direct/2Kx2K,,0.0,,,,,27.5,UCSC - Nickel,2940.50174105732,2940.50174105732,False
58963.19397152778,18.2628160898302,1.0860000184162062,B,Direct/2Kx2K,,0.0,,,,,27.5,UCSC - Nickel,4554.159995564621,4554.159995564621,False
58895.43348865741,19.0400489307669,1.0860000184162062,B,Direct/2Kx2K,,0.0,,,,,27.5,UCSC - Nickel,2225.9486819751,2225.9486819751,False
58856.45,16.3718368,0.2030000985221436,B,Swift,,0.0,,,,,,,,,
58856.79,16.4978368,0.22800008771928137,B,Swift,,0.0,,,,,,,,,
58857.45,16.4508368,0.21300009389669292,B,Swift,,0.0,,,,,,,,,
58858.85,15.7318368,0.14300013986007146,B,Swift,,0.0,,,,,,,,,
58859.49,15.595836799999999,0.15100013245027302,B,Swift,,0.0,,,,,,,,,
58860.38,15.2068368,0.11300017699101184,B,Swift,,0.0,,,,,,,,,
58861.25,14.7828368,0.0990002020199959,B,Swift,,0.0,,,,,,,,,
58887.69,15.9758368,0.23500008510636755,B,Swift,,0.0,,,,,,,,,
58898.57,16.1938368,0.20200009900987675,B,Swift,,0.0,,,,,,,,,
58907.26,16.2438368,0.18800010638294862,B,Swift,,0.0,,,,,,,,,
58873.248,14.5296968,0.200000099999975,G,Gaia,Gaia-Photometric,0.0,147231.25,27120.999,None,17.58,,,,,
58856.45,16.564311200000002,0.18200010989007673,U,Swift,,0.0,,,,,,,,,
58856.79,16.5693112,0.19800010101007526,U,Swift,,0.0,,,,,,,,,
58857.45,16.961311200000008,0.2290000873362279,U,Swift,,0.0,,,,,,,,,
