U_LC,U_std,B_LC,B_std,V_LC,V_std,gp_LC,gp_std,rp_LC,rp_std,i_LC,i_std,z_LC,z_std,MJD
,0.19603681364065517,,0.14335688640864333,,0.10384721124564646,,0.010063106187671868,,0.030355452101914916,,0.04749197116895836,,0.17168256321604097,58855.0
,0.19198564084059844,,0.14211345192191585,,0.10242876982143709,,0.009975216469430342,,0.029445700169001252,,0.046478663879203366,,0.169349447438686,58855.12865731463
,0.18799076962106567,,0.14088255711100722,,0.10102662390293499,,0.009887997854944403,,0.02854933407252757,,0.04546507668127868,,0.16697498088104187,58855.257314629256
,0.18405630557171276,,0.1396642866999922,,0.09964094716444168,,0.009801453919278199,17.664003827809974,0.02766822326189493,,0.044453490196532816,,0.16456121938870147,58855.385971943884
,0.18018638188354533,,0.13845872423769107,,0.09827190399111185,,0.009715588293839558,17.372205092499403,0.026804280018106006,,0.04344623241602723,,0.16211024504203375,58855.51462925852
,0.17638515328780768,,0.13726595203475261,,0.09691964926793185,,0.00963040466611854,17.51703148439415,0.025959458652955604,,0.042445675866974585,,0.15962416374580574,58855.64328657315
,0.17265678860446834,,0.1360860510977196,,0.09558432816956315,,0.009545906779436888,17.39109151859595,0.0251357534055719,,0.041454234148781695,,0.15710510280951287,58855.771943887776
17,0.16900546170468675,,0.13491910106137847,,0.09426607595330733,,0.009462098433283606,17.05437453640893,0.024335194586087634,,0.040474357664463896,,0.15455520852594706,58855.900601202404
16.06213814310446,0.16543534067578922,,0.1337651801183885,,0.09296501775476304,,0.00937898348219517,16.70124258142823,0.023559842431300285,,0.039508528342861816,,0.15197664375105396,58856.02925851703
15.841327171589004,0.16195057497903467,,0.13262436494659324,,0.09168126838737234,,0.009296565836122081,16.427383700365702,0.02281177806374524,,0.03855925311837827,,0.14937158549097895,58856.15791583166
15.907907737016476,0.1585552803932181,16.599426328632322,0.13149673063391135,,0.09041493214660488,17.381890049923527,0.009214849459724374,16.252145049525538,0.0220930908858634,,0.03762905590804203,,0.14674222250135832,58856.286573146295
16.08262782242867,0.15525352155251554,16.301123055740476,0.13038235060116185,16.47497214519442,0.08916610262007034,16.028965786006477,0.009133838371670765,16.152395201559646,0.021405861719385227,16.212646916960868,0.036720467805702324,,0.14409075290523504,58856.41523046092
16.256594811310233,0.15204929190871763,16.27109955755355,0.12928129652194004,16.059492914430415,0.08793486250344684,15.925321200980529,0.009053536643843845,16.094805046905247,0.02075214103535246,15.88951982447883,0.03583601519997033,16.331234665384425,0.14141938183298097,58856.54388777555
16.37605326542776,0.14894649099439145,16.381560438283156,0.12819363824085464,16.144141532640404,0.08672128342474472,16.007657909506385,0.00897394840107677,16.05402463076842,0.020133921742558226,15.963221123033895,0.03497820552912118,15.975392127069071,0.13873031909300457,58856.67254509018
16.427162702677336,0.14594889891301047,16.46970239786485,0.1271194436892015,16.18759008142107,0.08552542577682926,16.027121573615982,0.00889507781961391,16.013944736580005,0.019553106234116695,16.021408131329682,0.03414951041001897,16.019555569463833,0.13602577687704118,58856.80120240481
16.42077537493427,0.14306014806036477,16.526836740197076,0.12605877879852095,16.149850173743253,0.08434733855980295,15.998105723674932,0.008816929126325037,15.96599382506543,0.019011467762942318,16.027144286010135,0.03335234593260629,16.09173837013197,0.13330796750713825,58856.929859719436
16.377316491043707,0.14028369217358816,16.555620236637324,0.12501170741201795,16.07654161495279,0.08318705923431631,15.947945012063276,0.008739506597527424,15.907412066650751,0.01851060673119977,16.004724020002975,0.03258905000162447,16.090074053675604,0.13057910123036812,58857.05851703407
16.31481536631572,0.1376227729180791,16.55978259205923,0.12397829119426644,15.994313566436595,0.0820446135874461,15.891006631921291,0.008662814557417735,15.83952537374306,0.018051903128950445,15.96898334314469,0.03186185673665055,16.0497715962034,0.12784138406900633,58857.1871743487
16.245801566905254,0.13508038434964265,16.543540238427234,0.12295858953840368,15.914489320026442,0.08092001561130212,15.832905712590435,0.008586857376821251,15.766019432826592,0.01763646708489154,15.926981620809222,0.03117286811682023,15.995587719969706,0.125097015730603,58857.31583166333
