Filter MJD[days] Mag MagErr 3SigMagLim 0.98SatLim[mag] Rate[c/s] RateErr[c/s] Ap[arcsec] Frametime[s] Exp[s] Telapse[s]
UVW2     55204.5770    NULL    NULL  19.445  11.094   0.010   0.050  3.0  0.0110     353.88    5999.64
UVW2     55205.6984    NULL    NULL  19.782  11.094   0.003   0.041  3.0  0.0110     768.78   17608.67
UVM2     55204.5801    NULL    NULL  19.415  10.560   0.032   0.032  3.0  0.0110     522.65    6085.00
UVM2     55205.7024    NULL    NULL  19.764  10.560  -0.007   0.024  3.0  0.0110    1144.34   17704.28
UVW1     55204.5743    NULL    NULL  19.130  11.156   0.000   0.065  3.0  0.0110     212.13    5927.68
UVW1     55205.6950    NULL    NULL  19.490  11.156  -0.003   0.051  3.0  0.0110     460.67   17535.80
U        55204.5752    NULL    NULL  18.909  12.074   0.475   0.202  3.0  0.0110      70.40    5855.63
U        55205.6961    NULL    NULL  19.268  12.074   0.415   0.154  3.0  0.0110     152.61   17435.00
B        55204.5757  18.391   0.173  19.495  12.863   1.939   0.309  3.0  0.0110      70.43    5855.74
B        55205.6967  18.588   0.155  19.835  12.863   1.618   0.231  3.0  0.0110     152.68   17430.78
V        55204.5783  17.457   0.178  18.519  11.622   1.490   0.244  3.0  0.0110      70.35    5854.82
V        55205.7001  17.712   0.160  18.885  11.623   1.178   0.174  3.0  0.0110     152.76   17410.72
