Filter MJD[days] Mag MagErr 3SigMagLim 0.98SatLim[mag] Rate[c/s] RateErr[c/s] Ap[arcsec] Frametime[s] Exp[s] Telapse[s]
UVW2     54914.0968    NULL    NULL  19.020  11.115   0.090   0.108  3.0  0.0110     629.48    6105.21
UVW2     54927.6882    NULL    NULL  19.022  11.114  -0.099   0.097  3.0  0.0110     629.47    5611.62
UVM2     54914.1044    NULL    NULL  19.237  10.573   0.057   0.056  3.0  0.0110    2464.41    6597.07
UVM2     54927.7018    NULL    NULL  19.275  10.573  -0.059   0.049  3.0  0.0110    3160.00    7142.45
UVW1     54914.0920    NULL    NULL  18.686  11.183   0.212   0.135  3.0  0.0110     314.51    5946.83
UVW1     54927.7169    NULL    NULL  18.818  11.183   0.143   0.124  3.0  0.0110     471.73   11233.70
UVW1     54931.6778    NULL    NULL  19.177  11.183   0.105   0.105  3.0  0.0110    6640.34   24845.21
UVW1     54943.6559    NULL    NULL  19.170  11.183   0.100   0.105  3.0  0.0110    5604.38   59336.40
U        54914.0935  17.957   0.289  18.549  12.149   1.423   0.379  3.0  0.0110     157.02    5866.64
U        54927.7183  18.508   0.422  18.662  12.149   0.857   0.333  3.0  0.0110     235.50   11153.59
U        54936.4275    NULL    NULL  18.957  12.150   0.424   0.274  3.0  0.0110    6828.22   71809.34
B        54914.0944  17.858   0.165  19.180  12.952   3.167   0.480  3.0  0.0110     157.03    5866.28
B        54927.7190  17.731   0.148  19.233  12.952   3.562   0.484  3.0  0.0110     193.96   11111.37
V        54914.0992  17.282   0.177  18.398  11.666   1.751   0.285  3.0  0.0110     157.03    5865.22
V        54927.6906  16.359   0.104  18.382  11.665   4.097   0.392  3.0  0.0110     157.04    5371.68
