wavelength,flux
3501,-3.106e-17
3504,-7.92e-17
3506,-9.456e-18
3509,-1.765e-17
3512,1.876e-17
3515,1.645e-17
3518,-1.024e-16
3521,-7.645e-17
3523,3.651e-17
3526,-3.007e-17
3529,-3.821e-17
3532,4.792e-17
3535,2.98e-17
3538,3.472e-17
3540,-1.275e-17
3543,1.729e-17
3546,9.508e-18
3549,4.157e-17
3552,1.949e-17
3555,-4.346e-17
3558,-7.323e-18
3560,-3.588e-17
3563,2.158e-18
3566,-1.568e-17
3569,-8.692e-18
3572,-1.538e-17
3575,-2.687e-18
3577,6.935e-18
3580,3.858e-17
3583,-6.224e-17
3586,-3.28e-17
3589,-1.816e-17
3592,-3.695e-17
3595,4.395e-18
3597,-4.69e-17
3600,-1.01e-17
3603,-3.697e-17
3606,-6.955e-17
3609,-1.004e-17
3612,-1.861e-17
3614,-6.926e-17
3617,-4.618e-17
3620,-5.891e-17
3623,-3.634e-17
3626,-3.896e-17
3629,7.143e-18
3632,-4.284e-17
3634,-3.461e-17
3637,-7.395e-18
3640,-4.402e-17
3643,-3.851e-17
3646,-2.63e-17
3649,-3.844e-17
3651,-4.796e-18
3654,-2.549e-17
3657,-3.611e-17
3660,1.07e-17
3663,-4.786e-17
3666,-1.188e-17
3669,1.006e-17
3671,-5.265e-19
3674,6.929e-18
3677,-1.129e-17
3680,-4.143e-17
3683,-4.344e-17
3686,3.316e-17
3688,1.935e-17
3691,-5.905e-19
3694,3.979e-17
3697,-3.057e-18
3700,2.653e-17
3703,-3.462e-17
3706,-1.755e-17
3708,1.26e-17
3711,-9.657e-17
3714,8.154e-18
3717,-1.595e-17
3720,3.604e-18
3723,2.742e-18
3725,8.704e-18
3728,-2.515e-17
3731,9.684e-18
3734,-9.306e-18
3737,8.646e-18
3740,4.511e-18
3742,-2.002e-17
3745,-2.356e-17
3748,2.184e-18
3751,3.541e-17
3754,1.191e-17
3757,2.524e-17
3760,7.341e-18
3762,1.083e-17
3765,3.864e-18
3768,5.384e-17
3771,-1.469e-17
3774,3.063e-17
3777,-9.908e-20
3779,2.313e-17
3782,-4.105e-18
3785,3.566e-17
3788,3.357e-18
3791,-2.168e-17
3794,2.861e-17
3797,1.754e-17
3799,3.413e-17
3802,1.508e-18
3805,-9.558e-18
3808,2.272e-17
3811,-9.965e-18
3814,4.779e-17
3816,1.204e-17
