wavelength,flux,e_flux
3497.206935,1.2618556,1.2618556
3500.709491,1.2584606,1.2584606
3504.212046,1.2562478,1.2562478
3507.714602,1.2558974,1.2558974
3511.217426,1.2656788,1.2656788
3514.730972,1.2646720,1.2646720
3518.244519,1.2645037,1.2645037
3521.769056,1.2577096,1.2577096
3525.282602,1.2574388,1.2574388
3528.807407,1.2566319,1.2566319
3532.342935,1.2617410,1.2617410
3535.867472,1.2651980,1.2651980
3539.413991,1.2674379,1.2674379
3542.949519,1.2661065,1.2661065
3546.496037,1.2613639,1.2613639
3550.042556,1.2692312,1.2692312
3553.589074,1.2679741,1.2679741
3557.146583,1.2673893,1.2673893
3560.704093,1.2713125,1.2713125
3564.261602,1.2716407,1.2716407
3567.830102,1.2703389,1.2703389
3571.398602,1.2689767,1.2689767
3574.967102,1.2647312,1.2647312
3578.535602,1.2570226,1.2570226
3582.115093,1.2537624,1.2537624
3585.705574,1.2485631,1.2485631
3589.285065,1.2398555,1.2398555
3592.875546,1.2368729,1.2368729
3596.466028,1.2301809,1.2301809
3600.0675,1.2279129,1.2279129
3603.668972,1.2242032,1.2242032
3607.270444,1.2189614,1.2189614
3610.882907,1.2161263,1.2161263
3614.484111,1.2150795,1.2150795
3618.107565,1.2146028,1.2146028
3621.720028,1.2114522,1.2114522
3625.343481,1.2048442,1.2048442
3628.966935,1.1899316,1.1899316
3632.601111,1.1817710,1.1817710
3636.235556,1.1897219,1.1897219
3639.87,1.1978269,1.1978269
3643.504444,1.1985258,1.1985258
3647.149611,1.1926088,1.1926088
3650.795046,1.1946315,1.1946315
3654.451472,1.2003777,1.2003777
3658.107898,1.2134566,1.2134566
3661.764056,1.2078346,1.2078346
3665.420481,1.2197906,1.2197906
3669.087898,1.2219617,1.2219617
3672.755046,1.2368993,1.2368993
3676.433454,1.2431414,1.2431414
3680.111593,1.2632142,1.2632142
3683.79,1.2641505,1.2641505
3687.468407,1.2642384,1.2642384
3691.157537,1.2668654,1.2668654
3694.846935,1.2604735,1.2604735
3698.547056,1.2570794,1.2570794
3702.247444,1.2557991,1.2557991
3705.947565,1.2525026,1.2525026
3709.658944,1.2407500,1.2407500
3713.370056,1.2265871,1.2265871
3717.081435,1.2192194,1.2192194
