wavelength,flux
4101,4.148e-17
4103,5.413e-17
4105,4.873e-17
4108,4.934e-17
4110,4.505e-17
4113,4.13e-17
4115,4.756e-17
4118,4.559e-17
4120,4.498e-17
4122,3.994e-17
4125,4.587e-17
4127,3.879e-17
4130,4.897e-17
4132,4.215e-17
4135,4.3e-17
4137,4.146e-17
4139,4.626e-17
4142,4.598e-17
4144,4.633e-17
4147,3.906e-17
4149,4.104e-17
4152,4.278e-17
4154,4.978e-17
4156,4.905e-17
4159,4.687e-17
4161,4.394e-17
4164,4.367e-17
4166,4.206e-17
4169,4.783e-17
4171,4.677e-17
4174,4.625e-17
4176,4.97e-17
4178,4.184e-17
4181,4.646e-17
4183,4.591e-17
4186,4.439e-17
4188,3.898e-17
4191,4.623e-17
4193,4.567e-17
4195,5.231e-17
4198,4.395e-17
4200,4.375e-17
4203,4.251e-17
4205,4.744e-17
4208,4.143e-17
4210,4.532e-17
4212,4.319e-17
4215,4.497e-17
4217,4.084e-17
4220,4.016e-17
4222,5.041e-17
4225,5.177e-17
4227,4.083e-17
4229,4.961e-17
4232,4.55e-17
4234,4.622e-17
4237,4.007e-17
4239,4.582e-17
4242,4.286e-17
4244,4.132e-17
4246,4.873e-17
4249,4.346e-17
4251,4.273e-17
4254,4.985e-17
4256,5.131e-17
4259,4.783e-17
4261,5.166e-17
4263,4.837e-17
4266,4.662e-17
4268,4.889e-17
4271,4.709e-17
4273,5.185e-17
4276,5.414e-17
4278,5.537e-17
4280,5.075e-17
4283,4.32e-17
4285,4.293e-17
4288,4.807e-17
4290,4.771e-17
4293,5.116e-17
4295,5.257e-17
4297,5.05e-17
4300,5.025e-17
4302,5.254e-17
4305,5.712e-17
4307,5.627e-17
4310,5.158e-17
4312,4.658e-17
4314,5.297e-17
4317,5.199e-17
4319,5.122e-17
4322,4.342e-17
4324,5.472e-17
4327,5.721e-17
4329,5.439e-17
4331,4.804e-17
4334,5.422e-17
4336,5.243e-17
4339,5.08e-17
4341,5.093e-17
4344,5.77e-17
4346,5.69e-17
4348,5.503e-17
4351,5.685e-17
4353,5.347e-17
4356,5.026e-17
4358,5.296e-17
4361,5.42e-17
4363,5.855e-17
4365,5.279e-17
4368,4.885e-17
4370,5.259e-17
4373,5.176e-17
4375,4.452e-17
4378,5.508e-17
4380,5.741e-17
4383,5.174e-17
4385,5.547e-17
4387,5.065e-17
4390,5.741e-17
4392,6.178e-17
4395,4.915e-17
4397,5.603e-17
4400,5.584e-17
4402,4.946e-17
4404,5.256e-17
4407,5.868e-17
4409,5.051e-17
4412,5.908e-17
4414,5.291e-17
4417,4.145e-17
4419,4.944e-17
4421,5.477e-17
4424,5.467e-17
4426,5.06e-17
4429,6.604e-17
4431,4.574e-17
4434,5.424e-17
4436,5.646e-17
4438,5.869e-17
4441,4.941e-17
4443,6.564e-17
4446,6.491e-17
4448,5.347e-17
4451,6.2e-17
4453,5.109e-17
4455,5.083e-17
4458,5.541e-17
4460,5.114e-17
4463,5.191e-17
4465,5.825e-17
4468,5.435e-17
4470,5.208e-17
4472,5.428e-17
4475,5.954e-17
4477,5.556e-17
4480,4.846e-17
4482,5.474e-17
4485,5.064e-17
4487,4.782e-17
4489,5.258e-17
4492,5.89e-17
4494,5.527e-17
4497,5.038e-17
4499,4.485e-17
4502,4.605e-17
4504,5.107e-17
4506,5.063e-17
4509,4.408e-17
4511,5.449e-17
4514,4.832e-17
4516,4.213e-17
4519,4.822e-17
4521,5.035e-17
4523,4.036e-17
4526,5.205e-17
4528,4.691e-17
4531,5.514e-17
4533,4.646e-17
