wavelength,flux
3502,-2.489e-17
3504,2.482e-17
3506,6.355e-17
3509,6.645e-17
3511,8.426e-17
3514,1.38e-17
3516,4.91e-17
3518,5.062e-17
3521,7.661e-17
3523,5.321e-17
3525,5.964e-17
3528,8.328e-17
3530,3.893e-17
3532,6.301e-17
3535,5.363e-17
3537,6.87e-17
3540,5.754e-17
3542,5.563e-17
3544,5.31e-17
3547,8.881e-17
3549,8.987e-17
3551,8.763e-17
3554,6.891e-17
3556,5.416e-17
3558,2.711e-18
3561,6.566e-17
3563,7.321e-17
3566,8.376e-17
3568,5.058e-17
3570,3.108e-17
3573,6.871e-17
3575,4.345e-17
3577,7.31e-17
3580,8.426e-17
3582,5.809e-17
3584,5.489e-17
3587,6.462e-17
3589,6.757e-17
3592,3.404e-17
3594,5.962e-17
3596,4.161e-17
3599,2.701e-17
3601,3.137e-17
3603,-1.189e-18
3606,4.122e-18
3608,5.159e-17
3610,5.7e-17
3613,5.025e-17
3617,5.024e-17
3627,5.023e-17
3639,5.022e-17
3648,5.021e-17
3658,5.02e-17
3665,3.668e-17
3667,2.4e-17
3669,5.22e-17
3672,4.984e-17
3674,3.687e-17
3677,5.632e-17
3679,5.949e-17
3681,4.539e-17
3684,7.85e-17
3686,5.162e-17
3688,7.657e-17
3691,5.973e-17
3693,4.04e-17
3695,3.925e-17
3698,6.787e-17
3700,4.934e-17
3703,5.137e-17
3705,6.281e-17
3707,5.687e-17
3710,4.335e-17
3712,3.579e-17
3714,3.663e-17
3717,3.629e-17
3719,3.496e-17
3721,6.148e-17
3724,3.748e-17
3726,3.02e-17
3729,5.038e-17
3731,7.153e-17
3733,7.456e-17
3736,4.911e-17
3738,4.932e-17
3740,5.179e-17
3743,6.335e-17
3745,6.428e-17
3747,3.502e-17
3750,7.271e-17
3752,4.43e-17
3755,3.887e-17
3757,4.849e-17
3759,4.071e-17
3762,3.992e-17
3764,5.691e-17
3766,3.837e-17
3769,4.092e-17
3771,4.674e-17
3773,5.83e-17
3776,6.66e-17
3778,4.585e-17
3781,4.086e-17
3783,5.29e-17
3785,6.256e-17
3788,2.924e-17
3790,4.537e-17
3792,6.884e-17
3795,3.986e-17
3797,4.864e-17
3799,2.302e-17
3802,3.838e-17
3804,4.279e-17
3807,5.077e-17
3809,4.201e-17
3811,5.38e-17
3814,5.469e-17
3816,6.252e-17
3818,4.851e-17
3821,7.046e-17
3823,5.429e-17
3825,5.353e-17
3828,7.027e-17
3830,6.414e-17
3833,4.418e-17
3835,5.888e-17
3837,5.567e-17
3840,5.408e-17
3842,5.315e-17
3844,4.679e-17
3847,6.656e-17
3849,4.944e-17
3851,3.936e-17
3854,6.533e-17
3856,3.981e-17
3858,6.637e-17
3861,5.013e-17
3863,4.521e-17
3866,6.27e-17
3868,6.114e-17
3870,4.687e-17
3873,6.565e-17
3875,4.701e-17
3877,5.023e-17
3880,4.735e-17
3882,5.284e-17
3884,4.41e-17
3887,4.863e-17
3889,5.604e-17
3892,5.059e-17
3894,5.922e-17
3896,5.204e-17
3899,4.022e-17
3901,3.906e-17
3903,4.735e-17
3906,6.083e-17
3908,3.616e-17
3910,4.354e-17
3913,5.911e-17
3915,6.211e-17
3918,7.77e-17
3920,6.884e-17
3922,3.427e-17
3925,5.155e-17
3927,3.163e-17
3929,4.064e-17
3932,6.597e-17
3934,7.043e-17
3936,4.882e-17
3939,4.87e-17
3941,4.707e-17
3944,6.112e-17
3946,5.968e-17
3948,5.024e-17
3951,3.497e-17
3953,7.29e-17
3955,4.551e-17
3958,6.463e-17
3960,5.123e-17
3962,2.385e-17
3965,5.687e-17
3967,5.002e-17
3970,4.385e-17
3972,5.216e-17
3974,5.805e-17
3977,4.163e-17
3979,2.202e-17
3981,3.093e-17
3984,4.958e-17
3986,2.022e-17
3988,3.617e-17
3991,5.218e-17
3993,3.431e-17
3996,4.55e-17
3998,3.385e-17
4000,2.947e-17
4003,3.461e-17
4005,2.986e-17
4007,3.478e-17
4010,5.222e-17
4012,2.655e-17
4014,4.213e-17
4017,5.685e-17
4019,2.629e-17
4022,4.402e-17
4024,2.3e-17
4026,3.336e-17
4029,5.226e-17
4031,3.771e-17
4033,4.559e-17
4036,5.994e-17
4038,4.474e-17
4040,4.735e-17
4043,4.003e-17
4045,3.247e-17
4048,4.617e-17
4050,3.998e-17
4052,2.812e-17
4055,3.069e-17
4057,4.941e-17
4059,4.794e-17
4062,4.129e-17
4064,3.555e-17
4066,3.338e-17
4069,4.046e-17
4071,4.007e-17
4074,3.253e-17
4076,4.491e-17
4078,3.823e-17
4081,5.085e-17
4083,2.647e-17
4085,3.005e-17
4088,5.288e-17
4090,3.383e-17
4092,3.487e-17
4095,2.172e-17
4097,2.429e-17
4099,3.681e-17
4102,4.547e-17
4104,3.982e-17
4107,2.756e-17
4109,3.111e-17
4111,4.243e-17
4114,3.467e-17
4116,3.91e-17
4118,4.488e-17
4121,2.477e-17
4123,3.306e-17
4125,2.891e-17
4128,3.074e-17
4130,2.472e-17
4133,4.224e-17
4135,3.444e-17
4137,2.947e-17
4140,3.212e-17
4142,2.851e-17
4144,4.607e-17
4147,6.129e-17
4149,3.416e-17
4151,2.29e-17
4154,3.79e-17
4156,4.8e-17
4159,3.392e-17
4161,3.733e-17
4163,3.944e-17
4166,3.818e-17
4168,3.485e-17
4170,3.646e-17
4173,3.269e-17
4175,1.808e-17
4177,2.877e-17
4180,3.401e-17
4182,3.846e-17
4185,3.504e-17
4187,4.665e-17
4189,3.451e-17
4192,2.839e-17
4194,5.246e-17
4196,3.358e-17
4199,3.245e-17
4201,4.006e-17
4203,3.52e-17
4206,2.688e-17
4208,3.015e-17
4211,4.055e-17
4213,4.37e-17
4215,3.96e-17
4218,4.335e-17
4220,3.713e-17
4222,3.279e-17
4225,3.066e-17
4227,2.987e-17
4229,2.903e-17
4232,3.369e-17
4234,3.759e-17
4237,4.474e-17
4239,3.227e-17
4241,3.54e-17
4244,2.332e-17
4246,2.71e-17
4248,3.818e-17
4251,3.769e-17
4253,4.046e-17
4255,3.558e-17
4258,3.349e-17
4260,2.8e-17
4263,2.679e-17
4265,3.382e-17
4267,3.814e-17
4270,3.209e-17
4272,4.582e-17
4274,3.277e-17
4277,2.384e-17
4279,3.089e-17
4281,3.219e-17
4284,2.57e-17
4286,2.511e-17
4289,2.989e-17
4291,2.197e-17
4293,3.057e-17
4296,2.871e-17
4298,3.16e-17
4300,3.551e-17
4303,3.18e-17
4305,2.555e-17
4307,2.899e-17
4310,2.477e-17
4312,2.87e-17
4315,3.134e-17
4317,3.452e-17
4319,3.083e-17
4322,2.988e-17
4324,3.164e-17
4326,3.195e-17
4329,3.469e-17
4331,2.815e-17
4333,3.208e-17
4336,3.013e-17
4338,2.389e-17
4340,3.777e-17
4343,2.388e-17
4345,2.685e-17
4348,3.343e-17
4350,2.55e-17
4352,2.693e-17
4355,2.741e-17
4357,2.779e-17
4359,2.676e-17
4362,2.674e-17
4364,2.741e-17
4366,3.079e-17
4369,3.115e-17
4371,3.47e-17
4374,2.939e-17
4376,2.505e-17
4378,4.032e-17
4381,3.047e-17
4383,2.772e-17
4385,3.119e-17
4388,2.88e-17
4390,3.083e-17
4392,4.093e-17
4395,3.295e-17
4397,3.324e-17
4400,3.427e-17
4402,3.395e-17
4404,4.553e-17
4407,3.299e-17
4409,4.075e-17
4411,4.549e-17
4414,3.096e-17
4416,3.65e-17
4418,3.53e-17
4421,3.252e-17
4423,3.664e-17
4426,3.241e-17
4428,3.812e-17
4430,5.046e-17
4433,3.992e-17
4435,3.503e-17
4437,3.769e-17
4440,3.554e-17
4442,3.25e-17
4444,4.015e-17
4447,4.685e-17
4449,3.565e-17
4452,3.749e-17
4454,4.209e-17
4456,3.581e-17
4459,3.559e-17
4461,4.502e-17
4463,4.308e-17
4466,3.782e-17
4468,4.105e-17
4470,4.15e-17
4473,3.311e-17
4475,3.417e-17
4478,3.71e-17
4480,3.327e-17
4482,3.956e-17
4485,3.634e-17
4487,3.307e-17
4489,4.076e-17
4492,3.596e-17
4494,3.63e-17
4496,3.722e-17
4499,3.11e-17
4501,3.247e-17
4504,3.194e-17
4506,3.379e-17
4508,4.162e-17
4511,3.368e-17
4513,3.015e-17
4515,3.804e-17
4518,3.281e-17
4520,3.703e-17
4522,3.518e-17
4525,3.989e-17
4527,3.166e-17
4530,3.486e-17
4532,3.565e-17
4534,3.289e-17
4537,3.788e-17
4539,2.661e-17
4541,3.874e-17
4544,3.972e-17
4546,3.242e-17
4548,3.468e-17
4551,3.361e-17
4553,2.768e-17
4556,3.383e-17
4558,3.8e-17
4560,2.315e-17
4563,3.024e-17
4565,3.208e-17
4567,2.882e-17
4570,2.78e-17
4572,3.284e-17
4574,2.981e-17
4577,2.371e-17
4579,2.877e-17
4581,2.027e-17
4584,3.566e-17
4586,3.501e-17
4589,2.738e-17
4591,3.207e-17
4593,3.22e-17
4596,3.171e-17
4598,3.995e-17
4600,3.214e-17
4603,3.546e-17
4605,3.052e-17
4607,3.448e-17
4610,2.599e-17
4612,3.031e-17
4615,2.402e-17
4617,2.783e-17
4619,2.879e-17
4622,1.81e-17
4624,3.145e-17
4626,2.735e-17
4629,3.695e-17
4631,2.899e-17
4633,2.594e-17
4636,2.884e-17
4638,2.986e-17
4641,2.563e-17
4643,4.157e-17
4645,3.259e-17
4648,2.864e-17
4650,2.366e-17
4652,3.064e-17
4655,3.566e-17
4657,2.625e-17
4659,3.673e-17
4662,3.01e-17
4664,2.719e-17
4667,3.672e-17
4669,3.265e-17
4671,3.283e-17
4674,3.661e-17
4676,3.013e-17
4678,2.819e-17
4681,3.035e-17
4683,2.338e-17
4685,3.862e-17
4688,3.728e-17
4690,2.891e-17
4693,3.882e-17
4695,3.268e-17
4697,2.657e-17
4700,3.41e-17
4702,2.754e-17
4704,2.663e-17
4707,3.09e-17
4709,3.227e-17
4711,2.949e-17
4714,3.071e-17
4716,2.193e-17
4719,2.019e-17
4721,3.198e-17
4723,3.108e-17
4726,2.488e-17
4728,2.844e-17
4730,2.955e-17
4733,2.358e-17
4735,3.322e-17
4737,3.305e-17
4740,2.983e-17
4742,2.387e-17
4745,2.599e-17
4747,2.875e-17
4749,2.614e-17
4752,2.913e-17
4754,2.423e-17
4756,2.098e-17
4759,3.282e-17
4761,3.124e-17
4763,2.83e-17
4766,2.813e-17
4768,3.774e-17
4771,3.339e-17
4773,2.784e-17
4775,2.925e-17
4778,2.955e-17
4780,2.494e-17
4782,2.776e-17
4785,3.078e-17
4787,2.178e-17
4789,2.858e-17
4792,3.281e-17
4794,1.843e-17
4797,2.804e-17
4799,2.759e-17
4801,2.42e-17
4804,2.43e-17
4806,2.802e-17
4808,2.792e-17
4811,2.851e-17
4813,3.233e-17
4815,2.421e-17
4818,2.785e-17
4820,2.895e-17
4822,3.249e-17
4825,3.203e-17
4827,2.295e-17
4830,2.125e-17
4832,2.151e-17
4834,2.04e-17
4837,2.354e-17
4839,2.803e-17
4841,3.203e-17
4844,2.46e-17
4846,2.99e-17
4851,2.623e-17
4853,2.282e-17
4856,2.647e-17
4858,2.491e-17
4860,2.564e-17
4863,2.366e-17
4865,2.548e-17
4867,2.543e-17
4870,2.537e-17
4872,2.531e-17
4874,2.525e-17
4877,2.52e-17
4879,2.514e-17
4882,2.508e-17
4884,2.242e-17
4886,2.545e-17
4889,2.693e-17
4891,2.69e-17
4893,2.34e-17
4896,2.643e-17
4898,2.689e-17
4900,2.189e-17
4903,2.77e-17
4905,2.559e-17
4908,2.518e-17
4910,2.322e-17
4912,2.418e-17
4915,1.706e-17
4917,2.553e-17
4919,1.958e-17
4922,2.523e-17
4924,2.474e-17
4926,1.977e-17
4929,2.311e-17
4931,2.901e-17
4934,3.168e-17
4936,2.038e-17
4938,2.356e-17
4941,2.741e-17
4943,2.54e-17
4945,2.007e-17
4948,3.094e-17
4950,2.424e-17
4952,2.945e-17
4955,3.079e-17
4957,2.227e-17
4960,3.199e-17
4962,2.696e-17
4964,2.72e-17
4967,3.667e-17
4969,3.254e-17
4971,2.468e-17
4974,3.328e-17
4976,2.753e-17
4978,2.454e-17
4981,2.843e-17
4983,2.795e-17
4986,2.729e-17
4988,2.954e-17
4990,2.635e-17
4993,2.909e-17
4995,3.061e-17
4997,2.734e-17
5000,3.235e-17
5002,3.119e-17
5004,2.812e-17
5007,2.843e-17
5009,3.164e-17
5012,3.587e-17
5014,4.094e-17
5016,3.865e-17
5019,3.054e-17
5021,3.229e-17
5023,3.199e-17
5026,2.657e-17
5028,2.852e-17
5030,2.769e-17
5033,3.099e-17
5035,3.152e-17
5038,4.389e-17
5040,3.536e-17
5042,3.331e-17
5045,2.237e-17
5047,2.86e-17
5049,3.313e-17
5052,3.528e-17
5054,3.126e-17
5056,3.266e-17
5059,3.126e-17
5061,3.748e-17
5063,3.088e-17
5066,3.568e-17
5068,3.703e-17
5071,2.973e-17
5073,2.745e-17
5075,3.919e-17
5078,3.105e-17
5080,3.274e-17
5082,3.46e-17
5085,3.774e-17
5087,3.115e-17
5089,4.032e-17
5092,3.688e-17
5094,3.544e-17
5097,3.776e-17
5099,3.589e-17
5101,3.711e-17
5104,3.982e-17
5106,3.643e-17
5108,3.715e-17
5111,4.469e-17
5113,3.891e-17
5115,3.673e-17
5118,4.156e-17
5120,3.995e-17
5123,3.514e-17
5125,3.815e-17
5127,3.758e-17
5130,3.588e-17
5132,3.88e-17
5134,3.133e-17
5137,3.575e-17
5139,4.415e-17
5141,3.176e-17
5144,3.706e-17
5146,2.848e-17
5149,3.425e-17
5151,4.289e-17
5153,4.478e-17
5156,3.952e-17
5158,3.904e-17
5160,4.885e-17
5163,3.818e-17
5165,3.875e-17
5167,3.048e-17
5170,3.538e-17
5172,3.266e-17
5175,3.576e-17
5177,3.429e-17
5179,3.786e-17
5182,3.787e-17
5184,3.751e-17
5186,3.649e-17
5189,3.617e-17
5191,3.994e-17
5193,4.289e-17
5196,3.746e-17
5198,3.718e-17
5201,3.75e-17
5203,3.663e-17
5205,3.662e-17
5208,3.896e-17
5210,3.662e-17
5212,3.426e-17
5215,3.821e-17
5217,4.01e-17
5219,4.309e-17
5222,4.205e-17
5224,4.464e-17
5227,3.999e-17
5229,3.823e-17
5231,3.734e-17
5234,3.751e-17
5236,3.508e-17
5238,4.133e-17
5241,4.046e-17
5243,3.94e-17
5245,4.147e-17
