wavelength,flux
3502,9.107e-18
3504,1.222e-17
3506,1.083e-17
3509,8.513e-18
3511,1.8e-17
3513,7.391e-18
3516,1.316e-17
3518,8.747e-18
3520,1.131e-17
3523,2.106e-17
3525,1.885e-17
3527,4.173e-18
3530,1.681e-17
3532,2.105e-17
3535,1.063e-17
3537,2.973e-17
3539,1.273e-17
3542,2.299e-17
3544,1.501e-17
3546,2.52e-17
3549,1.371e-17
3551,2.699e-17
3553,2.711e-17
3556,1.727e-17
3558,7.859e-18
3561,1.088e-17
3563,2.404e-18
3565,2.273e-17
3568,2.956e-17
3570,1.146e-17
3572,1.599e-17
3575,1.511e-17
3577,3.157e-17
3579,1.674e-17
3582,3.64e-17
3584,2.538e-17
3586,2.6e-17
3589,1.666e-17
3591,4.115e-17
3594,1.706e-17
3596,1.675e-17
3598,3.75e-17
3601,2.547e-17
3603,4.152e-17
3605,4.133e-17
3608,2.384e-17
3610,1.307e-17
3612,2.162e-17
3615,7.461e-18
3617,1.53e-17
3620,2.675e-17
3622,1.759e-17
3624,2.243e-17
3627,1.498e-17
3629,1.973e-17
3631,1.77e-17
3634,1.663e-17
3636,3.987e-17
3638,2.893e-17
3641,2.624e-17
3643,1.43e-17
3645,2.478e-17
3648,2.73e-17
3650,6.732e-18
3653,3.846e-17
3655,1.815e-17
3657,2.402e-17
3660,2.658e-18
3662,2.765e-17
3664,1.513e-17
3667,1.878e-17
3669,2.016e-17
3671,1.449e-17
3674,3.017e-17
3676,2.973e-17
3678,2.417e-17
3681,2.543e-17
3683,1.573e-17
3686,1.564e-17
3688,1.313e-17
3690,2.391e-17
3693,2.539e-17
3695,1.267e-17
3697,1.522e-17
3700,1.206e-17
3702,2.742e-17
3704,2.602e-17
3707,3.142e-17
3709,2.006e-17
3712,1.678e-17
3714,1.733e-17
3716,2.892e-17
3719,2.529e-17
3721,2.31e-17
3723,2.794e-17
3726,1.934e-17
3728,2.286e-17
3730,2.595e-17
3733,3.676e-17
3735,2.563e-17
3737,1.971e-17
3740,2.628e-17
3742,2.223e-17
3745,1.526e-17
3747,2.561e-17
3749,1.979e-17
3752,1.523e-17
3754,2.261e-17
3756,2.137e-17
3759,2.392e-17
3761,2.278e-17
3763,2.828e-17
3766,1.354e-17
3768,2.465e-17
3771,2.043e-17
3773,2.467e-17
3775,3.499e-17
3778,1.791e-17
3780,2.463e-17
3782,2.843e-17
3785,1.42e-17
3787,3.401e-17
3789,2.68e-17
3792,3.313e-17
3794,3.265e-17
3796,3.147e-17
3799,2.828e-17
3801,2.857e-17
3804,3.44e-17
3806,2.765e-17
3808,2.394e-17
3811,2.558e-17
3813,2.018e-17
3815,3.789e-17
3818,4.373e-17
3820,2.026e-17
3822,2.359e-17
3825,2.74e-17
3827,2.793e-17
3829,3.82e-17
3832,2.779e-17
3834,3.146e-17
3837,2.862e-17
3839,2.478e-17
3841,2.257e-17
3844,2.833e-17
3846,3.093e-17
3848,2.904e-17
3851,3.058e-17
3853,2.353e-17
3855,1.626e-17
3858,2.771e-17
3860,2.16e-17
3863,2.608e-17
3865,2.791e-17
3867,2.304e-17
3870,1.15e-17
3872,2.61e-17
3874,1.974e-17
3877,2.015e-17
3879,2.827e-17
3881,3.34e-17
3884,1.798e-17
3886,2.943e-17
3888,2.804e-17
3891,3.352e-17
3893,2.357e-17
3896,3.073e-17
3898,2.006e-17
3900,2.309e-17
3903,2.189e-17
3905,3.307e-17
3907,2.304e-17
3910,2.674e-17
3912,2.682e-17
3914,2.145e-17
3917,2.781e-17
3919,2.615e-17
3922,3.255e-17
3924,2.4e-17
3926,2.913e-17
3929,2.963e-17
3931,2.798e-17
3933,2.388e-17
3936,2.021e-17
3938,2.491e-17
3940,3.193e-17
3943,2.71e-17
3945,2.521e-17
3947,2.587e-17
3950,1.782e-17
3952,2.867e-17
3955,1.693e-17
3957,1.8e-17
3959,3.13e-17
3962,3.16e-17
3964,2.71e-17
3966,2.181e-17
3969,2.934e-17
3971,2.829e-17
3973,3.899e-17
3976,3.419e-17
3978,2.053e-17
3980,1.791e-17
3983,3.277e-17
3985,3.088e-17
3988,1.908e-17
3990,1.203e-17
3992,2.823e-17
3995,3.071e-17
3997,3.063e-17
3999,1.994e-17
4002,3.282e-17
4004,1.816e-17
4006,3.015e-17
4009,2.575e-17
4011,2.886e-17
4014,2.762e-17
4016,2.252e-17
4018,2.333e-17
4021,2.325e-17
4023,2.627e-17
4025,1.953e-17
4028,4.291e-17
4030,2.178e-17
4032,2.869e-17
4035,1.605e-17
4037,2.335e-17
4039,1.568e-17
4042,2.42e-17
4044,3.045e-17
4047,2.144e-17
4049,2.5e-17
4051,2.55e-17
4054,2.878e-17
4056,3.408e-17
4058,3.4e-17
4061,2.577e-17
4063,3.117e-17
4065,2.616e-17
4068,3.054e-17
4070,2.408e-17
4072,2.754e-17
4075,1.332e-17
4077,2.609e-17
4080,1.871e-17
4082,1.794e-17
4084,1.491e-17
4087,2.373e-17
4089,3e-17
4091,2.362e-17
4094,2.333e-17
4096,2.09e-17
4098,2.037e-17
4101,1.881e-17
4103,2.335e-17
4106,1.438e-17
4108,2.769e-17
4110,2.427e-17
4113,3.948e-17
4115,1.316e-17
4117,2.325e-17
4120,1.741e-17
4122,2.727e-17
4124,2.578e-17
