phase,log_lbol
-6.880369542191359,42.519923371647515
-6.523576948727,42.562835249042145
-6.217782746851828,42.60038314176246
-5.9626927150759075,42.62452107279694
-5.50145149268369,42.611111111111114
-5.244988427288061,42.59770114942529
-4.98862343572241,42.58697318007663
-4.425777725471733,42.595019157088124
-3.96532109371935,42.603065134099616
-3.4528853320779866,42.58965517241379
-2.9917421835157487,42.578927203065135
-2.377996155505862,42.595019157088124
-1.712761366756892,42.603065134099616
-1.0985249695971113,42.60574712643678
-0.5357773331764122,42.61647509578544
-0.0760072182338849,42.64329501915709
0.5384253265858572,42.64061302681993
1.1530540190655554,42.63256704980843
1.8187791769644193,42.627203065134104
2.4332117217841613,42.62452107279694
2.996645875014714,42.61647509578544
3.560080028245265,42.60842911877395
4.072221568396692,42.603065134099616
4.5331685692989705,42.59770114942529
5.096602722529523,42.58965517241379
5.660036875760072,42.5816091954023
6.1722764897414795,42.57356321839081
6.786905182221178,42.56551724137931
7.350339335451727,42.55747126436782
7.862578949433134,42.54942528735632
8.426209250323646,42.5360153256705
8.989643403554199,42.527969348659006
9.450688478286454,42.519923371647515
10.065415244596133,42.50919540229885
10.731336550154959,42.49846743295019
11.243674237966344,42.487739463601535
11.909693617355144,42.47432950191571
12.678396296732183,42.45287356321839
13.651975206935786,42.42873563218391
14.420677886312818,42.40727969348659
15.240477031109021,42.38850574712644
15.75310894041034,42.36973180076629
16.419226393629124,42.3536398467433
17.239123612255305,42.33218390804598
18.161409909379785,42.31072796934866
19.749715585893064,42.275862068965516
19.134890745753403,42.28927203065134
20.46692950453101,42.26245210727969
21.132948883919816,42.24904214559387
22.15762425954258,42.227586206896554
23.028519869757957,42.211494252873564
23.79692832764505,42.19808429118774
24.616433250951317,42.18735632183908
25.58971793966498,42.17126436781609
26.56290455454866,42.15785440613027
27.53628731709231,42.13908045977012
28.355890314228553,42.1256704980843
29.226785924443917,42.10957854406131
29.841610764583578,42.09616858237548

