phase,log_lbol
-6.972755090031774, 42.24636015325671
-6.717763132085833, 42.27318007662836
-6.514259934878976, 42.308045977011496
-6.310756737672118, 42.34291187739464
-6.107057392805302, 42.37241379310345
-5.9542583656976955, 42.39386973180077
-5.80008630497038, 42.37777777777778
-5.594719704993918, 42.36168582375479
-5.286865952689182, 42.34291187739464
-5.081303205052762, 42.32145593869732
-4.672139186379504, 42.33218390804598
-4.212074849947038, 42.35095785440613
-3.956592522851201, 42.364367816091956
-3.4448432780196914, 42.36973180076629
-2.7796084892707196, 42.37777777777778
-2.0635714565925216, 42.396551724137936
-1.5519202855909917, 42.40459770114943
-1.0911694323486714, 42.40459770114943
-0.5799105566670573, 42.42337164750958
-0.27362598564199025, 42.447509578544064
0.08424541995214163, 42.46091954022989
0.6475814993527127, 42.455555555555556
1.46708642265898, 42.4448275862069
2.184104193636971, 42.43678160919541
3.3109725000980745, 42.42068965517242
4.335647875720843, 42.399233716475095
5.360323251343614, 42.37777777777778
6.180024322309839, 42.36168582375479
7.409674002589151, 42.33486590038314
8.485740065121027, 42.308045977011496
9.613098740732026, 42.27854406130268
10.433192107018163, 42.251724137931035
11.50935624338002, 42.22222222222222
12.329449609666158, 42.195402298850574
13.457200580597076, 42.1551724137931
14.328488486132363, 42.128352490421456
15.097583460829314, 42.09616858237548
16.122651131772002, 42.063984674329504
17.301498568122085, 42.0264367816092
18.326566239064768, 41.99425287356322
19.556412067004047, 41.96206896551725
20.73496528186419, 41.93256704980843
21.811031344396056, 41.905747126436786
22.989388411596252, 41.8816091954023
24.219038091875568, 41.85478927203065
25.294908006747477, 41.833333333333336
26.370875995449374, 41.809195402298855
27.190478992585618, 41.79578544061303
28.16386175512926, 41.777011494252875
29.085951904593777, 41.760919540229885
29.90555490173002, 41.74750957854406
