filter UTdate, exptime, seeing, limitingmag, zp
r 2019-07-10 600.0 2.611680405 20.2089 29.9516
r 2019-07-24 600.0 2.081412795 22.4405 30.6575
r 2019-07-26 600.0 1.24855788 22.8811 30.5439
r 2019-08-01 600.0 2.09353929 22.2962 30.5442
r 2020-01-03 600.0 1.39441599 23.2811 30.547
r 2020-01-24 900.0 1.233771795 23.5591 30.8988
r 2020-02-15 900.0 1.274153715 20.8562 29.6377
u 2019-04-30 225.564 0.633657975 0 0
u 2019-04-30 240.0 0.766468695 22.1584 26.8097
u 2019-04-30 240.0 1.59237144 21.8751 27.4164
u 2019-05-05 450.0 1.251301425 22.8747 28.4222
u 2019-05-08 420.0 1.754699955 22.4069 28.0981
u 2019-05-12 480.0 1.878388725 22.0044 28.4875
u 2019-05-13 480.0 0.8958564 21.3979 27.4719
u 2019-05-28 360.0 0.680260395 0 0
u 2019-06-02 600.0 0.89677599 22.7439 27.9823
u 2019-06-08 600.0 0.64886775 0 0
u 2019-06-10 600.0 1.62583251 21.9813 28.7519
u 2019-06-24 600.0 1.625830335 22.9948 28.7152
u 2019-07-06 600.0 1.07632137 22.5833 28.037
