epoch,V-i
-8.677685950413235, -0.29696969696969644
-7.190082644628106, -0.2484848484848481
-5.702479338842977, -0.20000000000000018
-3.719008264462815, -0.1454545454545455
-0.7438016528925573, -0.07272727272727275
0.7438016528925573, -0.006060606060605878
3.223140495867753, 0.06666666666666687
5.206611570247929, 0.13333333333333375
8.429752066115697, 0.20606060606060606
10.90909090909092, 0.2787878787878788
14.628099173553721, 0.39393939393939403
16.859504132231407, 0.4363636363636365
19.338842975206617, 0.47878787878787876
22.31404958677686, 0.49696969696969684
26.776859504132233, 0.47878787878787876
30, 0.4545454545454546
36.69421487603307, 0.4121212121212121
39.17355371900827, 0.39393939393939403
33.719008264462815, 0.4363636363636365
