phase,log_lbol
-6.992271782197637, 42.78007662835249
-6.583794280334233, 42.8095785440613
-6.379996861637439, 42.83639846743295
-6.074006512102309, 42.86858237547893
-5.612863363540072, 42.85785440613027
-5.151524067317875, 42.84176245210728
-4.485896983248988, 42.839080459770116
-3.9740496645874996, 42.84176245210728
-3.6150994468635975, 42.82567049808429
-3.2560511553097147, 42.80689655172414
-2.948295476834959, 42.790804597701154
-2.385253618924324, 42.79348659003831
-1.7711152955945213, 42.798850574712645
-0.9521007414381515, 42.80153256704981
-0.03148169942332402, 42.82567049808429
1.0949943117178638, 42.82030651340996
2.016790239692444, 42.81226053639847
3.1944607900827773, 42.80689655172414
4.372229414303087, 42.798850574712645
5.3964144207759634, 42.790804597701154
6.369306814169709, 42.78544061302682
7.239810129065164, 42.78007662835249
8.110411517790597, 42.772030651341
9.083303911184343, 42.766666666666666
9.953905299909776, 42.758620689655174
10.824506688635205, 42.75057471264368
11.643913538111489, 42.742528735632185
12.51480914832686, 42.726436781609195
13.436801223961401, 42.71302681992337
14.154113216429332, 42.69693486590039
15.076301439723826, 42.67816091954023
15.998391589188342, 42.66206896551724
16.97177435173198, 42.64329501915709
17.945157114275624, 42.62452107279694
19.123416107645838, 42.603065134099616
20.352673492605227, 42.58697318007663
21.684516103722885, 42.56551724137931
23.067651327919663, 42.54137931034483
24.501784943705623, 42.522605363984674
25.6797497155859, 42.50919540229885
26.85781256129615, 42.49310344827586
27.728708171511514, 42.47701149425288
28.753089325644346, 42.463601532567054
29.572594248950608, 42.45287356321839
