event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2015bn,53743.440002,22.46196,0.251259,F,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,53743.480011,21.463831,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,53743.559998,21.447834,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,53797.47998,21.285023,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,53827.559998,21.487597,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,53875.440002,21.333654,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,53875.47998,21.434904,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,53875.52002,21.4244,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,53875.559998,21.441099,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,54147.440002,21.353149,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,54147.47998,21.320478,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,54147.52002,21.462317,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,54147.559998,21.245464,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,54172.440002,22.071455,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,54172.47998,22.109941,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,54172.52002,22.121517,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,54172.559998,21.903902,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,54210.440002,21.992258,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,54210.47998,21.912136,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,54210.559998,22.017302,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,54565.439941,21.460985,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,54565.47998,21.944128,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,54565.560059,22.003429,,T,C,,Catalina Schmidt,2009ApJ...696..870D
SN2015bn,54589.439941,22.032341,,T,C,,Catalina Schmidt,2009ApJ...696..870D
