Mej,Mstar,Z_str,Age(yr),DLog10(R2/Rsun),log(BinarySep/Rsun),Z
13.039549999999998,150.0,z001,2855352.0,1.4562,4.152951,0.001
13.995585,80.0,z001,3007701.0,0.90529,1.335423,0.001
13.111564999999999,100.0,z001,3302095.0,0.80965,1.805486,0.001
1.05869,10.0,z001,26988410.0,0.23717,0.9037595,0.001
13.155380000000001,120.0,z001,3082329.0,1.28883,3.680345,0.001
13.94696,120.0,z001,3080054.0,1.20887,3.523442,0.001
18.415860000000002,80.0,z001,3834139.0,0.69996,1.406351,0.001
13.76518,300.0,z001,2011069.0,1.2569,2.399694,0.001
16.747905000000003,60.0,z001,4924136.0,0.99338,1.581008,0.001
18.289255,70.0,z001,4528558.0,1.01588,1.603337,0.001
26.34843,60.0,z001,3866382.0,0.64561,1.669883,0.001
10.81461,30.0,z001,6511401.0,0.62154,1.277509,0.001
16.81599,70.0,z001,3906655.0,0.69267,1.713452,0.001
0.6292,8.5,z001,32101600.0,0.41553,1.122414,0.001
15.62698,80.0,z001,3680544.0,1.54111,2.393161,0.001
14.756705,200.0,z001,2370782.0,0.87277,2.901762,0.001
14.945464999999999,120.0,z001,3078383.0,1.3688,2.644203,0.001
11.106185,150.0,z001,2851341.0,1.54556,2.378863,0.001
24.602995,100.0,z001,3338493.0,0.80199,4.107133,0.001
18.13998,120.0,z001,2777286.0,1.19518,4.243903,0.001
18.5043,300.0,z001,2164795.0,1.27476,2.485603,0.001
13.039549999999998,150.0,z001,2855352.0,1.32976,4.280887,0.001
17.70565,300.0,z001,2169705.0,1.56766,3.266,0.001
18.13998,120.0,z001,2777286.0,0.98256,3.859499,0.001
15.91336,120.0,z001,2828325.0,0.86943,1.366013,0.001
13.039549999999998,150.0,z001,2855352.0,1.4562,4.019617,0.001
24.602995,100.0,z001,3338493.0,0.80199,3.9738,0.001
11.11425,150.0,z001,2855337.0,1.33077,3.586417,0.001
15.189029999999999,120.0,z001,3076734.0,1.37216,2.509921,0.001
12.353785,200.0,z001,2637946.0,1.51087,2.514245,0.001
13.556255,200.0,z001,2370946.0,0.87279,3.049072,0.001
19.65479,300.0,z001,2123965.0,0.8403,3.029797,0.001
0.69403,8.5,z001,32112670.0,0.40932,1.22686,0.001
17.56736,300.0,z001,2174175.0,1.26937,3.408054,0.001
19.152435,300.0,z001,2126649.0,1.07751,3.148245,0.001
14.76113,150.0,z001,2855119.0,0.57755,3.042914,0.001
10.65161,150.0,z001,2854198.0,1.53155,2.890568,0.001
15.84385,80.0,z001,3690491.0,0.59999,2.73418,0.001
13.17795,200.0,z001,2664141.0,1.57986,2.542328,0.001
11.580225,200.0,z001,2640531.0,1.08723,3.243786,0.001
17.374895000000002,120.0,z001,3077719.0,1.27458,2.475385,0.001
24.30525,70.0,z001,3545789.0,0.37133,1.817416,0.001
11.451145,300.0,z001,2190743.0,1.4729,2.296051,0.001
24.602995,100.0,z001,3338493.0,0.66389,3.990406,0.001
14.15631,150.0,z001,2889040.0,0.60207,1.745911,0.001
13.039549999999998,150.0,z001,2855352.0,1.39856,4.014293,0.001
