Mej,Mstar,Z_str,Age(yr),DLog10(R2/Rsun),log(BinarySep/Rsun),Z
13.00271,80.0,z001,3695999.0,0.41279,1.231628,0.001
0.70123,8.5,z001,32118840.0,0.19327,1.131922,0.001
14.901495,120.0,z001,3077558.0,0.71695,2.404649,0.001
18.13998,120.0,z001,2777286.0,1.09356,3.850309,0.001
0.857165,9.0,z001,32939060.0,0.12779,1.044919,0.001
15.027375,100.0,z001,3302752.0,0.46718,1.908957,0.001
17.92373,300.0,z001,2058949.0,1.05141,2.266821,0.001
17.074525,300.0,z001,2165412.0,1.53458,3.232294,0.001
14.96059,80.0,z001,3648179.0,0.73576,1.599719,0.001
13.82901,150.0,z001,2913137.0,0.58297,1.403922,0.001
18.02444,300.0,z001,2130474.0,0.84526,3.325927,0.001
24.602995,100.0,z001,3338493.0,0.66389,4.123739,0.001
13.143635,100.0,z001,3822082.0,1.03242,1.631568,0.001
13.913264999999999,150.0,z001,2853747.0,1.49474,2.337172,0.001
14.279725,120.0,z001,3078374.0,1.27023,2.612284,0.001
12.72504,200.0,z001,2641100.0,1.09316,3.10402,0.001
16.84181,300.0,z001,2164521.0,1.40779,2.820996,0.001
15.65621,80.0,z001,3679965.0,1.41456,2.356968,0.001
16.497329999999998,150.0,z001,2596673.0,1.0056,2.645665,0.001
13.35365,150.0,z001,2854827.0,0.57745,2.914263,0.001
18.02338,70.0,z001,3906193.0,0.56233,1.668908,0.001
18.84991,60.0,z001,3865503.0,0.51963,1.613315,0.001
18.161965000000002,70.0,z001,4551921.0,0.98313,1.581366,0.001
14.71936,300.0,z001,2110507.0,1.04569,2.115841,0.001
18.354435000000002,80.0,z001,3842150.0,0.6,1.334004,0.001
18.13998,120.0,z001,2777286.0,1.19518,3.71057,0.001
16.853585000000002,120.0,z001,3079090.0,1.45496,2.812688,0.001
17.301814999999998,80.0,z001,3682751.0,0.40709,2.338224,0.001
13.2625,100.0,z001,3302025.0,0.66361,1.740075,0.001
13.531345,150.0,z001,3066784.0,0.76846,1.514674,0.001
13.039549999999998,150.0,z001,2855352.0,1.39856,4.147626,0.001
14.243065,150.0,z001,2853212.0,1.41053,2.811456,0.001
16.69832,300.0,z001,2169941.0,1.56684,3.133138,0.001
20.052785,300.0,z001,2068154.0,0.83322,2.365542,0.001
18.13998,120.0,z001,2777286.0,0.98256,3.726166,0.001
9.93655,300.0,z001,2197747.0,1.54503,2.339441,0.001
16.305015,200.0,z001,2648366.0,1.42656,4.203812,0.001
17.367795,100.0,z001,3336548.0,1.53973,3.214696,0.001
15.127044999999999,150.0,z001,2854925.0,0.98769,3.102994,0.001
16.61334,80.0,z001,3683269.0,0.97456,2.448454,0.001
12.988595,200.0,z001,2641725.0,1.5156,2.38781,0.001
14.634425,120.0,z001,3078487.0,1.04572,2.560733,0.001
12.703,120.0,z001,3074958.0,1.12357,1.917327,0.001
13.571584999999999,200.0,z001,2642575.0,0.65696,2.960541,0.001
17.187105,300.0,z001,2137011.0,1.55768,2.237972,0.001
18.678425,300.0,z001,2167711.0,1.24414,3.591316,0.001
20.28517,100.0,z001,3337382.0,1.51988,3.352086,0.001
15.403485,100.0,z001,3302727.0,0.80875,1.955386,0.001
17.778635,150.0,z001,2448011.0,0.85407,1.520921,0.001
18.13998,120.0,z001,2777286.0,1.28847,3.840087,0.001
14.009695,150.0,z001,2857534.0,1.28569,2.044766,0.001
21.538435,300.0,z001,2451474.0,1.25198,2.138409,0.001
16.305015,200.0,z001,2648366.0,1.42656,4.070478,0.001
16.398829999999997,80.0,z001,4091681.0,0.72775,1.421384,0.001
18.022215000000003,70.0,z001,3037570.0,0.93183,1.465527,0.001
18.9055,60.0,z001,3213436.0,0.89694,1.443212,0.001
0.932075,9.0,z001,32795970.0,0.4211,1.358745,0.001
20.84279,70.0,z001,3545930.0,0.69293,1.856094,0.001
12.34381,300.0,z001,2498286.0,1.58841,2.134885,0.001
16.49176,200.0,z001,2394655.0,0.65718,3.053968,0.001
16.34556,80.0,z001,3677515.0,1.54522,2.268493,0.001
15.491965,120.0,z001,3076817.0,1.05076,2.417362,0.001
15.085695000000001,80.0,z001,3654539.0,1.28528,2.054642,0.001
0.64294,8.5,z001,36614190.0,0.19487,1.007474,0.001
15.571405,120.0,z001,3079055.0,1.26721,2.749021,0.001
15.405740000000002,150.0,z001,2855052.0,1.53941,2.501524,0.001
15.97616,150.0,z001,2857371.0,0.98263,3.263052,0.001
15.821459999999998,150.0,z001,2855098.0,1.48673,2.460892,0.001
11.141515,150.0,z001,2855094.0,0.78404,3.005527,0.001
18.087805,300.0,z001,2127371.0,0.84212,3.180488,0.001
12.76164,100.0,z001,2767463.0,0.98309,1.509334,0.001
24.042425,50.0,z001,4773244.0,0.28197,1.411305,0.001
17.85394,80.0,z001,2650212.0,0.96093,1.351524,0.001
16.276425,120.0,z001,3076756.0,1.16722,2.444774,0.001
13.039549999999998,150.0,z001,2855352.0,0.93157,4.315457,0.001
15.85692,80.0,z001,3315429.0,1.42187,2.232193,0.001
15.43893,300.0,z001,2483008.0,1.57006,2.090185,0.001
17.284485,120.0,z001,3082273.0,1.38282,3.540806,0.001
24.602995,100.0,z001,3338493.0,0.46717,4.01362,0.001
18.386735,70.0,z001,3924314.0,0.56245,1.806767,0.001
15.966024999999998,70.0,z001,3093108.0,0.90529,1.4577,0.001
16.26328,80.0,z001,3999096.0,0.60609,1.345951,0.001
16.305015,200.0,z001,2648366.0,1.47412,4.071988,0.001
18.13998,120.0,z001,2777286.0,1.37352,4.239215,0.001
18.13998,120.0,z001,2777286.0,1.19518,3.843903,0.001
16.358505,150.0,z001,2733629.0,0.75377,1.509334,0.001
17.385505000000002,300.0,z001,2173286.0,1.4131,3.478674,0.001
13.039549999999998,150.0,z001,2855352.0,0.93157,3.648791,0.001
18.098365,100.0,z001,3337214.0,1.42642,3.323214,0.001
13.798015,100.0,z001,3302462.0,0.66358,1.899819,0.001
18.82569,300.0,z001,2045750.0,0.82459,2.338234,0.001
16.93203,300.0,z001,2134713.0,1.52251,2.222225,0.001
15.715985,120.0,z001,3081134.0,0.71707,3.117735,0.001
18.470255,300.0,z001,2151893.0,0.99808,3.453611,0.001
24.602995,100.0,z001,3338493.0,0.46717,4.146953,0.001
15.2759,120.0,z001,3078406.0,1.1628,2.584417,0.001
13.039549999999998,150.0,z001,2855352.0,1.4562,4.286284,0.001
27.415945,80.0,z001,3003179.0,0.69641,1.296588,0.001
0.61931,8.5,z001,32222970.0,0.26703,0.9848014,0.001
13.502775,200.0,z001,2641606.0,1.56786,2.414485,0.001
25.18761,60.0,z001,3866350.0,0.33025,1.645388,0.001
15.282655,150.0,z001,2854780.0,0.78393,2.859764,0.001
18.884995,100.0,z001,3336476.0,1.4415,3.181304,0.001
10.582455,300.0,z001,2121853.0,0.77204,2.24007,0.001
14.624685,150.0,z001,2855337.0,1.45706,3.598732,0.001
18.13998,120.0,z001,2777286.0,0.71695,4.289684,0.001
15.877410000000001,80.0,z001,3799492.0,0.41446,1.237795,0.001
16.305015,200.0,z001,2648366.0,1.47412,4.205321,0.001
13.621849999999998,150.0,z001,2791672.0,0.5727,1.363405,0.001
18.13998,120.0,z001,2777286.0,1.09356,3.716976,0.001
10.106875,150.0,z001,2966956.0,0.58288,1.401844,0.001
13.465869999999999,100.0,z001,3302139.0,0.46719,1.779934,0.001
16.73053,300.0,z001,2169897.0,1.53691,3.100714,0.001
18.13998,120.0,z001,2777286.0,0.51654,3.780723,0.001
0.98525,10.0,z001,23688470.0,0.05261,0.6951521,0.001
15.659895,100.0,z001,2983643.0,1.11835,2.147858,0.001
16.78487,100.0,z001,3331585.0,1.22434,2.715685,0.001
12.377755,300.0,z001,2143681.0,1.40548,2.550332,0.001
18.691565,80.0,z001,3133137.0,0.82557,1.450637,0.001
14.216555,150.0,z001,2855659.0,1.32144,3.181758,0.001
12.95866,200.0,z001,2369099.0,0.65695,2.530115,0.001
20.72674,70.0,z001,3545503.0,0.9273,1.830918,0.001
23.612720000000003,60.0,z001,3866290.0,0.86864,1.796096,0.001
24.602995,100.0,z001,3338493.0,1.03948,4.086306,0.001
17.625790000000002,300.0,z001,2167024.0,1.46214,3.796288,0.001
18.146459999999998,40.0,z001,5077203.0,1.21279,1.763254,0.001
16.80408,120.0,z001,3077030.0,0.51658,2.312426,0.001
12.306875,200.0,z001,2642242.0,1.56963,2.289223,0.001
20.994955,50.0,z001,3577016.0,0.82557,1.675657,0.001
14.53705,200.0,z001,2642298.0,1.2135,3.144046,0.001
15.12245,120.0,z001,3082746.0,1.4837,2.041801,0.001
18.13998,120.0,z001,2777286.0,0.71695,3.889684,0.001
17.17536,300.0,z001,2169154.0,1.40778,2.692945,0.001
16.81568,100.0,z001,3306455.0,1.22293,2.318932,0.001
18.43828,80.0,z001,4234184.0,0.92684,1.549857,0.001
14.07423,100.0,z001,3302711.0,1.01028,1.972955,0.001
1.06298,10.0,z001,23698140.0,0.05243,0.8379765,0.001
13.256885,200.0,z001,2642925.0,1.19717,3.303455,0.001
10.49642,200.0,z001,2650638.0,1.14326,1.989119,0.001
11.904405,120.0,z001,3076363.0,0.51658,2.142796,0.001
20.57131,70.0,z001,3546070.0,1.04711,2.016122,0.001
17.872325,60.0,z001,4268979.0,1.12123,1.732629,0.001
24.602995,100.0,z001,3338493.0,1.03948,3.952973,0.001
17.547514999999997,300.0,z001,2173610.0,1.4136,3.610584,0.001
11.88457,150.0,z001,2855248.0,1.30137,3.346473,0.001
12.875905,120.0,z001,3079008.0,1.45267,2.946444,0.001
24.602995,100.0,z001,3338493.0,0.66389,4.257073,0.001
12.547225000000001,120.0,z001,3079083.0,1.52742,2.98098,0.001
12.39501,150.0,z001,2856111.0,1.36941,3.385689,0.001
17.070535,60.0,z001,3213998.0,0.89694,1.309878,0.001
17.779325,300.0,z001,2173374.0,1.3546,3.519848,0.001
24.602995,100.0,z001,3338493.0,0.9243,3.961724,0.001
16.97469,70.0,z001,3546065.0,1.17872,2.058466,0.001
16.305015,200.0,z001,2648366.0,1.23671,3.671284,0.001
13.871485,200.0,z001,2371240.0,1.27575,3.367978,0.001
10.909835000000001,80.0,z001,4247402.0,0.96658,1.578524,0.001
20.267580000000002,100.0,z001,3337895.0,0.66399,3.061307,0.001
0.832065,9.0,z001,32998060.0,0.54054,1.188608,0.001
0.6273,8.0,z001,40323280.0,0.17541,1.636237,0.001
16.82763,100.0,z001,3305686.0,1.33336,2.350531,0.001
17.328525,300.0,z001,2169061.0,1.35161,2.603377,0.001
16.305015,200.0,z001,2648366.0,1.23671,4.337951,0.001
13.7025,120.0,z001,3081473.0,1.55518,2.080709,0.001
18.13998,120.0,z001,2777286.0,0.85952,3.872195,0.001
16.840510000000002,50.0,z001,5575323.0,1.08034,1.666475,0.001
14.064605,200.0,z001,2640997.0,1.30794,3.183857,0.001
16.560074999999998,300.0,z001,2173956.0,1.50791,3.853461,0.001
24.602995,100.0,z001,3338493.0,0.9243,4.095058,0.001
23.65108,60.0,z001,3866238.0,0.75701,1.745817,0.001
10.98307,30.0,z001,6511118.0,0.70383,1.34708,0.001
13.86835,150.0,z001,2854720.0,1.40193,3.216342,0.001
24.602995,100.0,z001,3338493.0,1.36002,4.208449,0.001
18.812485,70.0,z001,3903917.0,0.37131,1.546725,0.001
14.378545,80.0,z001,3210151.0,0.77011,1.440649,0.001
15.72009,300.0,z001,2170748.0,1.34766,2.490708,0.001
0.893035,9.0,z001,32877740.0,0.53219,1.289243,0.001
18.04781,100.0,z001,3338258.0,1.38694,3.490977,0.001
15.127044999999999,100.0,z001,3304003.0,0.99948,2.115776,0.001
1.0218,10.0,z001,23690670.0,0.15539,0.8009505,0.001
17.8562,60.0,z001,3377653.0,0.83745,1.293777,0.001
18.13998,120.0,z001,2777286.0,0.71695,3.75635,0.001
12.640835,100.0,z001,3303388.0,1.23158,2.182299,0.001
16.78605,300.0,z001,2169026.0,1.46531,2.621938,0.001
15.8056,80.0,z001,3066743.0,0.86943,1.45998,0.001
20.43571,70.0,z001,3545530.0,1.04981,1.876595,0.001
18.560015,150.0,z001,2883455.0,1.24317,3.126881,0.001
14.245095,100.0,z001,2961741.0,0.82557,1.339619,0.001
18.22659,70.0,z001,3904948.0,0.92634,1.696276,0.001
24.602995,100.0,z001,3338493.0,1.15017,4.080154,0.001
17.447365,300.0,z001,2173968.0,1.41455,3.742438,0.001
10.997945,200.0,z001,2639442.0,1.43939,3.272829,0.001
12.614615,120.0,z001,3076775.0,0.71694,2.245582,0.001
15.161085,120.0,z001,3080915.0,1.45152,3.080619,0.001
10.178609999999999,200.0,z001,2638217.0,0.65696,3.234449,0.001
18.13998,120.0,z001,2777286.0,0.51654,3.914057,0.001
17.040215,300.0,z001,2169187.0,1.46033,2.752018,0.001
17.86352,100.0,z001,3305509.0,1.10809,2.290371,0.001
24.602995,100.0,z001,3338493.0,1.15017,4.213487,0.001
17.135565,80.0,z001,4193919.0,0.8764,1.513559,0.001
1.078385,10.0,z001,23700690.0,-0.04777,0.7890893,0.001
14.179765,120.0,z001,3075170.0,0.71692,2.077489,0.001
12.841255,200.0,z001,2640490.0,1.40345,3.43474,0.001
24.602995,100.0,z001,3338493.0,1.15017,3.94682,0.001
22.095545,70.0,z001,3546061.0,0.92614,1.975404,0.001
16.305015,200.0,z001,2648366.0,0.65698,4.410881,0.001
11.298459999999999,150.0,z001,2855251.0,1.21383,3.313207,0.001
16.85538,300.0,z001,2173675.0,1.46565,3.670972,0.001
27.227695,100.0,z001,3012938.0,1.18609,3.44695,0.001
16.98249,300.0,z001,2173422.0,1.50639,3.721327,0.001
15.29851,150.0,z001,2855262.0,1.10813,3.286327,0.001
16.99972,70.0,z001,3546036.0,0.81005,1.926181,0.001
24.602995,100.0,z001,3338493.0,1.25717,3.943007,0.001
17.02476,100.0,z001,3331817.0,1.44854,2.780887,0.001
18.750905000000003,200.0,z001,2671831.0,1.33245,3.468385,0.001
16.165865,120.0,z001,3076947.0,0.92107,2.392295,0.001
18.616120000000002,80.0,z001,4139171.0,0.8113,1.472339,0.001
18.282935000000002,100.0,z001,3305473.0,0.98868,2.265788,0.001
17.12705,300.0,z001,2167677.0,1.50057,2.798606,0.001
0.675565,8.0,z001,35817160.0,0.38115,1.84798,0.001
12.248825,200.0,z001,2642897.0,1.46553,2.227612,0.001
20.28772,60.0,z001,4251798.0,0.64526,1.528603,0.001
14.642875,120.0,z001,3078617.0,0.91541,2.539416,0.001
18.00555,120.0,z001,2777456.0,1.52568,3.114511,0.001
14.955490000000001,200.0,z001,2642203.0,1.38388,3.229555,0.001
17.98852,300.0,z001,2167835.0,1.33928,3.666796,0.001
24.602995,100.0,z001,3338493.0,1.25717,4.07634,0.001
16.08957,70.0,z001,3934255.0,1.24549,2.176164,0.001
10.43311,150.0,z001,2851682.0,1.11654,3.125826,0.001
13.15817,80.0,z001,3006722.0,0.90529,1.468756,0.001
10.96653,300.0,z001,2144964.0,1.49233,2.662857,0.001
15.13403,100.0,z001,3305676.0,1.34201,2.219779,0.001
18.13998,120.0,z001,2777286.0,0.85952,3.738862,0.001
14.47164,200.0,z001,2641257.0,1.31599,2.775129,0.001
12.21338,150.0,z001,2446809.0,0.79399,1.720014,0.001
12.168565000000001,300.0,z001,2440601.0,1.34255,2.179919,0.001
16.249155000000002,120.0,z001,3080591.0,1.26043,3.159989,0.001
14.721805,200.0,z001,2641247.0,1.10419,2.549556,0.001
10.415825,200.0,z001,2639004.0,1.55372,3.193401,0.001
17.082349999999998,80.0,z001,3673345.0,0.59997,1.986136,0.001
11.217275,150.0,z001,2854223.0,0.57744,2.319872,0.001
13.039549999999998,150.0,z001,2855352.0,0.5774,3.828243,0.001
16.86529,70.0,z001,4112933.0,0.56987,1.285153,0.001
28.38875,50.0,z001,3567526.0,0.82557,1.275657,0.001
10.971350000000001,300.0,z001,2147020.0,1.52873,2.574932,0.001
17.509684999999998,60.0,z001,4441347.0,0.5278,1.230784,0.001
18.317999999999998,100.0,z001,3334102.0,0.4672,2.667188,0.001
20.08588,300.0,z001,2114914.0,1.07401,2.849885,0.001
13.795770000000001,120.0,z001,3073604.0,1.54892,2.205842,0.001
14.14207,120.0,z001,3488335.0,0.95127,1.596905,0.001
0.7927649999999999,8.5,z001,32127260.0,0.32672,1.420263,0.001
14.74848,120.0,z001,3077763.0,0.51657,2.434572,0.001
15.99715,80.0,z001,3686785.0,1.4026,2.754798,0.001
0.735785,8.5,z001,36347580.0,0.40512,1.3452,0.001
16.305015,200.0,z001,2648366.0,1.02423,3.829273,0.001
0.83485,9.0,z001,34519550.0,0.6126,1.765345,0.001
14.811005000000002,150.0,z001,2855465.0,0.57745,2.146446,0.001
0.68157,8.0,z001,35822930.0,0.24299,1.859559,0.001
17.91955,80.0,z001,3677730.0,0.59996,2.163425,0.001
16.612565,300.0,z001,2164599.0,1.45916,2.879192,0.001
14.5319,200.0,z001,2641274.0,1.1091,2.408567,0.001
16.499835,120.0,z001,3081646.0,1.24908,3.31199,0.001
13.457775,150.0,z001,2853637.0,1.47642,2.983795,0.001
24.602995,100.0,z001,3338493.0,1.36002,3.808449,0.001
14.791625,150.0,z001,2857568.0,1.49764,2.21083,0.001
15.54837,100.0,z001,2790168.0,0.67329,1.508755,0.001
11.410055,150.0,z001,2863478.0,1.50189,2.088895,0.001
13.039549999999998,150.0,z001,2855352.0,0.7839,3.934717,0.001
1.018125,9.5,z001,29998400.0,0.44298,1.115537,0.001
21.017200000000003,100.0,z001,3331681.0,0.66389,2.493123,0.001
0.698455,8.5,z001,36177120.0,0.25985,1.485863,0.001
18.640015,80.0,z001,3317197.0,0.59997,2.311395,0.001
14.80146,35.0,z001,5635209.0,0.81333,1.531128,0.001
12.451305000000001,120.0,z001,3074494.0,0.99277,1.863653,0.001
20.46665,60.0,z001,3861210.0,0.51958,1.332151,0.001
20.252865,300.0,z001,2127073.0,1.07094,2.713662,0.001
0.69369,9.0,z001,29102550.0,0.21195,0.7851297,0.001
16.849384999999998,70.0,z001,3900933.0,0.56241,1.361769,0.001
0.6937549999999999,9.0,z001,29104360.0,0.28396,0.874734,0.001
16.532635,70.0,z001,3891612.0,0.80736,1.645796,0.001
19.778875,300.0,z001,2171532.0,1.26703,3.01424,0.001
20.258705,60.0,z001,3861454.0,0.64567,1.389287,0.001
16.305015,200.0,z001,2648366.0,0.65698,4.010881,0.001
14.53354,35.0,z001,5636166.0,0.70482,1.37581,0.001
16.618885,120.0,z001,2777687.0,1.11295,3.50481,0.001
15.812615000000001,80.0,z001,3210379.0,0.77011,1.307316,0.001
10.40227,150.0,z001,2858728.0,1.55354,2.129534,0.001
13.039549999999998,150.0,z001,2855352.0,0.93157,3.915457,0.001
18.13998,120.0,z001,2777286.0,1.09356,4.250309,0.001
24.602995,100.0,z001,3338493.0,1.45735,3.810512,0.001
14.274709999999999,100.0,z001,3306610.0,0.94676,1.756532,0.001
11.912665,150.0,z001,2855744.0,1.53144,3.022476,0.001
16.119415,120.0,z001,3081659.0,1.34347,3.33548,0.001
12.19166,200.0,z001,2369263.0,0.87274,2.158941,0.001
17.519955,300.0,z001,2166129.0,1.53641,3.62365,0.001
16.2982,80.0,z001,3677680.0,0.73525,2.202902,0.001
20.14839,50.0,z001,3661792.0,0.79259,1.400716,0.001
0.66838,9.0,z001,34900360.0,0.54233,1.677022,0.001
13.875025,200.0,z001,2671493.0,0.92204,3.274124,0.001
15.83165,120.0,z001,3451549.0,0.89699,1.563393,0.001
16.39909,300.0,z001,2420773.0,1.5716,2.621219,0.001
13.039549999999998,150.0,z001,2855352.0,1.05399,4.301482,0.001
18.138215000000002,300.0,z001,2173295.0,1.26774,3.144608,0.001
18.39888,60.0,z001,4265328.0,0.80431,1.557586,0.001
16.461075,70.0,z001,3194841.0,0.85054,1.571756,0.001
15.881734999999999,80.0,z001,3674151.0,0.73537,2.041146,0.001
20.917324999999998,300.0,z001,2122375.0,1.07533,2.980961,0.001
11.736975000000001,200.0,z001,2368668.0,0.87266,2.311571,0.001
14.786805000000001,200.0,z001,2641781.0,1.50128,3.169003,0.001
12.84113,120.0,z001,3080643.0,1.35853,3.186158,0.001
16.50177,40.0,z001,5173760.0,0.79687,1.447935,0.001
11.95102,150.0,z001,2853185.0,1.05575,3.582233,0.001
14.14718,100.0,z001,3368102.0,0.93994,1.632218,0.001
14.306335,100.0,z001,3353709.0,0.47211,1.22777,0.001
13.717445,300.0,z001,2168390.0,1.53557,4.012454,0.001
17.911074999999997,120.0,z001,3080639.0,1.15311,3.138749,0.001
11.12096,120.0,z001,2855172.0,0.79961,1.355285,0.001
21.36464,50.0,z001,4331233.0,0.46953,1.411476,0.001
17.83962,80.0,z001,3675805.0,0.4071,2.040039,0.001
17.14645,100.0,z001,3338460.0,1.36197,3.649686,0.001
13.494325,150.0,z001,2853303.0,0.78389,2.271419,0.001
10.91282,150.0,z001,2854240.0,1.47446,3.117191,0.001
19.568785,60.0,z001,3671745.0,0.3384,1.215433,0.001
20.065865000000002,100.0,z001,3005931.0,0.66391,2.631832,0.001
20.78009,300.0,z001,2116389.0,0.83863,2.88162,0.001
16.47804,100.0,z001,3329187.0,1.45009,2.648415,0.001
17.16408,300.0,z001,2172793.0,1.46539,3.539433,0.001
16.893214999999998,70.0,z001,3574573.0,0.37992,1.246362,0.001
13.039549999999998,150.0,z001,2855352.0,0.7839,3.801384,0.001
17.439855,200.0,z001,2131300.0,1.12567,1.884171,0.001
14.791635,80.0,z001,3642388.0,1.41916,1.966648,0.001
13.257255,150.0,z001,2854384.0,0.78393,2.109158,0.001
18.16983,80.0,z001,3317124.0,0.4071,2.216456,0.001
13.57265,200.0,z001,2641293.0,1.55577,3.061001,0.001
15.460080000000001,120.0,z001,3080798.0,1.14376,3.29378,0.001
15.10434,100.0,z001,3332633.0,0.48308,1.505134,0.001
16.991305,120.0,z001,3082126.0,0.5166,3.164092,0.001
9.710484999999998,300.0,z001,2147797.0,1.52694,2.454561,0.001
13.039549999999998,150.0,z001,2855352.0,0.5774,3.961576,0.001
0.963415,9.5,z001,30117440.0,0.22389,0.9061361,0.001
14.162230000000001,120.0,z001,2478894.0,0.92093,1.509334,0.001
13.761785,150.0,z001,2735728.0,0.75377,1.376001,0.001
13.894395,80.0,z001,4408141.0,1.20503,1.749001,0.001
12.74201,200.0,z001,2671827.0,1.58236,2.166307,0.001
14.93818,35.0,z001,5631617.0,0.9093,1.61247,0.001
16.305015,200.0,z001,2648366.0,1.02423,3.962606,0.001
18.13998,120.0,z001,2777286.0,0.51654,4.314057,0.001
17.25624,70.0,z001,3901239.0,0.37131,1.382947,0.001
0.762115,9.0,z001,29107170.0,0.43388,1.008087,0.001
21.404420000000002,60.0,z001,4248657.0,0.33023,1.332616,0.001
19.896230000000003,300.0,z001,2108001.0,0.83711,2.767952,0.001
0.7527699999999999,9.0,z001,33259740.0,0.35336,0.9552937,0.001
12.48813,200.0,z001,2674320.0,1.52174,2.140216,0.001
16.305015,200.0,z001,2648366.0,0.87307,3.982712,0.001
15.109665,35.0,z001,5628962.0,1.01699,1.6923,0.001
17.838985,80.0,z001,4588100.0,1.14545,1.727306,0.001
12.150015,120.0,z001,2802104.0,0.86943,1.499346,0.001
20.13409,300.0,z001,2063524.0,1.06736,2.323859,0.001
14.6434,300.0,z001,2166496.0,1.56396,2.479406,0.001
13.45102,150.0,z001,2853350.0,1.12373,2.709293,0.001
15.403855,300.0,z001,2326853.0,1.00963,1.704644,0.001
18.506585,200.0,z001,2324892.0,0.70492,2.007807,0.001
13.955655,120.0,z001,3073937.0,1.39935,2.11851,0.001
15.97909,120.0,z001,3081626.0,1.02824,3.281022,0.001
13.000710000000002,200.0,z001,2641322.0,1.50325,3.035829,0.001
16.65451,80.0,z001,3683625.0,1.09542,2.483672,0.001
13.474475,150.0,z001,2855231.0,1.00653,2.390806,0.001
17.105,300.0,z001,2169550.0,1.5361,2.968474,0.001
16.305015,200.0,z001,2648366.0,0.65698,3.877547,0.001
19.167285,80.0,z001,2946795.0,0.96093,1.884858,0.001
12.489754999999999,200.0,z001,2677891.0,1.5001,2.010975,0.001
0.6388400000000001,8.5,z001,36327050.0,0.19243,1.261565,0.001
13.29356,150.0,z001,2856905.0,1.36496,2.110049,0.001
13.039549999999998,150.0,z001,2855352.0,0.93157,3.782124,0.001
17.281570000000002,100.0,z001,3333432.0,0.80933,2.670334,0.001
16.84688,100.0,z001,3329440.0,1.54635,2.6853,0.001
14.55358,150.0,z001,2880838.0,1.00887,2.508032,0.001
11.211855,150.0,z001,2854241.0,1.52754,3.155278,0.001
18.302239999999998,120.0,z001,3079100.0,1.15951,2.723636,0.001
17.146525,100.0,z001,3338459.0,1.45917,3.655204,0.001
