Mej,Mstar,Z_str,Age(yr),Z
5.72865,72.0,z003,3817122.0,0.003
5.773035,88.0,z003,3475619.0,0.003
6.546355,150.0,z004,2576165.0,0.004
6.683225,86.0,z004,3510237.0,0.004
6.718515,72.0,z004,3807489.0,0.004
6.967835,75.0,z004,3733772.0,0.004
6.4673750000000005,81.0,z004,3605185.0,0.004
6.61356,88.0,z004,3475871.0,0.004
11.7654,300.0,z004,2438101.0,0.004
6.128165,89.0,z004,3460157.0,0.004
9.065660000000001,42.0,z004,5320589.0,0.004
6.4604800000000004,80.0,z004,3625334.0,0.004
6.66319,74.0,z004,3758026.0,0.004
6.69667,73.0,z004,3782390.0,0.004
6.2353749999999994,87.0,z004,3494002.0,0.004
5.812605,51.0,z004,4632895.0,0.004
5.925355,56.0,z004,4366521.0,0.004
6.784465,69.0,z004,3888127.0,0.004
5.887315,94.0,z004,3382442.0,0.004
6.05776,60.0,z004,4191425.0,0.004
7.044785,67.0,z004,3947350.0,0.004
5.900205,93.0,z004,3397223.0,0.004
6.690910000000001,58.0,z004,4275972.0,0.004
5.969525,92.0,z004,3412378.0,0.004
6.92296,66.0,z004,3978069.0,0.004
5.959289999999999,59.0,z004,4232443.0,0.004
6.447229999999999,61.0,z004,4152108.0,0.004
5.75978,95.0,z004,3367975.0,0.004
6.664595,57.0,z004,4320466.0,0.004
6.8123000000000005,68.0,z004,3917027.0,0.004
5.87258,50.0,z004,4693459.0,0.004
5.850725000000001,175.0,z004,2463544.0,0.004
8.260855,49.0,z004,4756863.0,0.004
5.671939999999999,100.0,z004,3299243.0,0.004
6.69891,76.0,z004,3711321.0,0.004
6.45166,82.0,z004,3585672.0,0.004
6.313015,85.0,z004,3529386.0,0.004
6.624409999999999,71.0,z004,3833404.0,0.004
6.54687,78.0,z004,3667138.0,0.004
5.773445000000001,47.0,z004,4892705.0,0.004
8.536435,41.0,z004,5414972.0,0.004
6.55184,79.0,z004,3645932.0,0.004
6.831615,70.0,z004,3860263.0,0.004
6.34425,84.0,z004,3547707.0,0.004
8.45523,48.0,z004,4823245.0,0.004
6.432645,83.0,z004,3566493.0,0.004
6.638965000000001,77.0,z004,3688925.0,0.004
5.769825,200.0,z004,2381108.0,0.004
8.6435,39.0,z004,5626176.0,0.004
5.920635000000001,55.0,z004,4415243.0,0.004
5.873415,52.0,z004,4574942.0,0.004
5.6095299999999995,99.0,z004,3312456.0,0.004
6.59594,64.0,z004,4043498.0,0.004
6.10106,90.0,z004,3443818.0,0.004
5.650465,97.0,z004,3339671.0,0.004
6.399265,63.0,z004,4078125.0,0.004
6.311745,62.0,z004,4114384.0,0.004
5.732675,96.0,z004,3353686.0,0.004
5.975835,91.0,z004,3424301.0,0.004
6.963475,65.0,z004,4010742.0,0.004
4.043085,125.0,z004,3038659.0,0.004
5.804565,53.0,z004,4519433.0,0.004
5.628259999999999,98.0,z004,3325928.0,0.004
6.564235,54.0,z004,4466659.0,0.004
3.665555,300.0,z006,2519414.0,0.006
7.15946,150.0,z006,2574393.0,0.006
8.067255,38.0,z006,5654440.0,0.006
6.1818349999999995,96.0,z006,3355718.0,0.006
8.187735,62.0,z006,4099223.0,0.006
6.589015,65.0,z006,4002194.0,0.006
6.39004,91.0,z006,3430275.0,0.006
6.146465,98.0,z006,3328025.0,0.006
6.70238,53.0,z006,4476106.0,0.006
3.676025,275.0,z006,2552848.0,0.006
7.474685,54.0,z006,4425284.0,0.006
6.498010000000001,37.0,z006,5774367.0,0.006
7.829645,39.0,z006,5541826.0,0.006
6.372624999999999,55.0,z006,4376981.0,0.006
6.55413,99.0,z006,2978166.0,0.006
6.776495,52.0,z006,4529408.0,0.006
6.4907,90.0,z006,3446219.0,0.006
6.469735,64.0,z006,4033523.0,0.006
8.511635,63.0,z006,4065836.0,0.006
6.150735,97.0,z006,3341732.0,0.006
7.551035000000001,41.0,z006,5335827.0,0.006
7.008565000000001,46.0,z006,4911101.0,0.006
6.94794,79.0,z006,3647816.0,0.006
6.69441,84.0,z006,3549710.0,0.006
7.2892399999999995,70.0,z006,3857811.0,0.006
6.686235,77.0,z006,3690615.0,0.006
6.658975,83.0,z006,3568410.0,0.006
6.9772099999999995,48.0,z006,4770599.0,0.006
6.982455,82.0,z006,3229806.0,0.006
6.67699,76.0,z006,3712753.0,0.006
6.042645,250.0,z006,2244399.0,0.006
6.787435,49.0,z006,4705554.0,0.006
7.090484999999999,71.0,z006,3832940.0,0.006
6.565495,85.0,z006,3531440.0,0.006
6.865105,47.0,z006,4839069.0,0.006
6.972295,78.0,z006,3668968.0,0.006
7.652645,40.0,z006,5435843.0,0.006
6.292434999999999,175.0,z006,2462008.0,0.006
6.03123,100.0,z006,3301438.0,0.006
8.148295000000001,59.0,z006,4207305.0,0.006
6.637665,66.0,z006,3971835.0,0.006
6.373,92.0,z006,3414685.0,0.006
6.24452,95.0,z006,3369989.0,0.006
8.261385,61.0,z006,4133873.0,0.006
6.668315,68.0,z006,3913830.0,0.006
6.310165,57.0,z006,4287715.0,0.006
6.974845,50.0,z006,4643869.0,0.006
7.7421050000000005,225.0,z006,2269534.0,0.006
7.12399,35.0,z006,6064658.0,0.006
6.717219999999999,51.0,z006,4585273.0,0.006
6.80184,69.0,z006,3886088.0,0.006
8.11956,56.0,z006,4331182.0,0.006
6.3891100000000005,60.0,z006,4169852.0,0.006
6.2594899999999996,94.0,z006,3384553.0,0.006
6.33447,58.0,z006,4246442.0,0.006
6.375005,93.0,z006,3399440.0,0.006
6.608165,67.0,z006,3942393.0,0.006
5.702375,33.0,z006,6374166.0,0.006
7.2738700000000005,34.0,z006,6210186.0,0.006
7.111409999999999,45.0,z006,4987028.0,0.006
7.62748,42.0,z006,5241335.0,0.006
6.880115,89.0,z006,3461475.0,0.006
6.90025,74.0,z006,3758755.0,0.006
6.8792,80.0,z006,3627187.0,0.006
6.567745,87.0,z006,3496213.0,0.006
6.819405,73.0,z006,3782762.0,0.006
5.95562,200.0,z006,2379136.0,0.006
6.993355,72.0,z006,3807495.0,0.006
6.5478000000000005,86.0,z006,3513614.0,0.006
6.681825,81.0,z006,3607132.0,0.006
7.06766,75.0,z006,3735465.0,0.006
7.259735,43.0,z006,5151884.0,0.006
6.547079999999999,88.0,z006,3479194.0,0.006
7.284325000000001,44.0,z006,5067190.0,0.006
7.50579,125.0,z006,2732983.0,0.006
6.8888,40.0,z008,5384637.0,0.008
7.014115,78.0,z008,3667272.0,0.008
6.316364999999999,47.0,z008,4794890.0,0.008
6.766325,85.0,z008,3530209.0,0.008
6.689455000000001,71.0,z008,3831281.0,0.008
9.96984,49.0,z008,4667976.0,0.008
6.84769,76.0,z008,3711161.0,0.008
6.72556,82.0,z008,3585964.0,0.008
8.0183,125.0,z008,2723869.0,0.008
6.29322,48.0,z008,4729402.0,0.008
6.723525,83.0,z008,3566964.0,0.008
7.07946,77.0,z008,3688937.0,0.008
6.83891,70.0,z008,3857294.0,0.008
6.943395000000001,84.0,z008,3548408.0,0.008
6.763695,79.0,z008,3646113.0,0.008
6.3786000000000005,46.0,z008,4866361.0,0.008
6.887705,41.0,z008,5286009.0,0.008
8.06705,200.0,z008,2382340.0,0.008
8.022955,225.0,z008,2193329.0,0.008
6.948595,39.0,z008,5489246.0,0.008
7.26177,37.0,z008,5720554.0,0.008
5.79322,97.0,z008,3339345.0,0.008
6.718065,63.0,z008,4063755.0,0.008
8.790475,64.0,z008,4031449.0,0.008
6.33118,90.0,z008,3443959.0,0.008
6.22852,52.0,z008,4503388.0,0.008
5.822365,99.0,z008,3312469.0,0.008
6.266185,55.0,z008,4365764.0,0.008
5.804085000000001,100.0,z008,3299413.0,0.008
7.355345,36.0,z008,5848707.0,0.008
7.185155,38.0,z008,5600947.0,0.008
6.24345,54.0,z008,4410204.0,0.008
6.27435,53.0,z008,4456448.0,0.008
5.780984999999999,98.0,z008,2983903.0,0.008
5.935445,91.0,z008,3427908.0,0.008
8.36041,65.0,z008,4000112.0,0.008
9.190835,62.0,z008,4096987.0,0.008
5.866820000000001,96.0,z008,3009193.0,0.008
6.54801,44.0,z008,5021079.0,0.008
6.9539,88.0,z008,3476743.0,0.008
6.7106449999999995,43.0,z008,5104730.0,0.008
7.937135,175.0,z008,2459027.0,0.008
6.913365,75.0,z008,3733974.0,0.008
6.97228,81.0,z008,3605465.0,0.008
6.9224,86.0,z008,3510832.0,0.008
6.791145,72.0,z008,3805960.0,0.008
6.86414,73.0,z008,3781314.0,0.008
6.595224999999999,87.0,z008,3494596.0,0.008
7.06722,80.0,z008,3625506.0,0.008
6.9901599999999995,74.0,z008,3757354.0,0.008
6.939325,89.0,z008,3460229.0,0.008
6.72862,42.0,z008,5192878.0,0.008
6.386699999999999,45.0,z008,4941737.0,0.008
6.59668,275.0,z008,2591350.0,0.008
6.834355,67.0,z008,3938845.0,0.008
5.89588,93.0,z008,3397354.0,0.008
8.078330000000001,58.0,z008,4316011.0,0.008
6.020255,94.0,z008,3380602.0,0.008
9.142595,60.0,z008,4166985.0,0.008
6.26135,56.0,z008,4323038.0,0.008
7.0907,69.0,z008,3882678.0,0.008
6.266445,51.0,z008,4555860.0,0.008
7.1814350000000005,34.0,z008,6133491.0,0.008
6.294225,50.0,z008,4610267.0,0.008
9.394445000000001,57.0,z008,4281854.0,0.008
6.847555,68.0,z008,3911768.0,0.008
6.528309999999999,61.0,z008,4131372.0,0.008
5.86013,95.0,z008,3367452.0,0.008
5.963335,92.0,z008,3063090.0,0.008
6.802695,66.0,z008,3969733.0,0.008
7.8429649999999995,150.0,z008,2566089.0,0.008
8.917069999999999,59.0,z008,4203890.0,0.008
7.309089999999999,35.0,z008,5986175.0,0.008
6.744009999999999,300.0,z008,2570689.0,0.008
6.003295,80.0,z010,3619880.0,0.01
6.7463049999999996,74.0,z010,3750748.0,0.01
7.081645,73.0,z010,3774619.0,0.01
5.939165,87.0,z010,3489909.0,0.01
6.420335,45.0,z010,4901064.0,0.01
8.51533,150.0,z010,2573322.0,0.01
6.53285,42.0,z010,5146485.0,0.01
5.872545000000001,89.0,z010,3456747.0,0.01
6.94385,300.0,z010,2257487.0,0.01
6.50769,43.0,z010,5060293.0,0.01
5.943225,88.0,z010,3473048.0,0.01
6.3704,44.0,z010,4978946.0,0.01
5.8774,86.0,z010,3507487.0,0.01
7.12302,72.0,z010,3799261.0,0.01
7.349584999999999,75.0,z010,3727580.0,0.01
6.03383,81.0,z010,3600102.0,0.01
6.870245000000001,275.0,z010,2280316.0,0.01
6.902225,250.0,z010,2729692.0,0.01
7.327999999999999,35.0,z010,5929242.0,0.01
6.06994,32.0,z010,6403804.0,0.01
6.728725,68.0,z010,3904892.0,0.01
6.350355,57.0,z010,4270691.0,0.01
6.41507,50.0,z010,4596679.0,0.01
6.47597,59.0,z010,4196277.0,0.01
8.016105,92.0,z010,3055422.0,0.01
6.77897,66.0,z010,3962518.0,0.01
6.5897950000000005,61.0,z010,4124018.0,0.01
8.0844,95.0,z010,3021181.0,0.01
6.70587,33.0,z010,6233836.0,0.01
7.160975,34.0,z010,6075797.0,0.01
7.944065,94.0,z010,3028292.0,0.01
6.62421,60.0,z010,4159601.0,0.01
6.37881,58.0,z010,3812931.0,0.01
8.08134,175.0,z010,2473237.0,0.01
6.858325,67.0,z010,3933245.0,0.01
8.005205,93.0,z010,3047595.0,0.01
6.39516,51.0,z010,4544849.0,0.01
6.710105,69.0,z010,3877343.0,0.01
7.389835,56.0,z010,4314645.0,0.01
8.293994999999999,100.0,z010,2953482.0,0.01
6.847955000000001,70.0,z010,3850595.0,0.01
5.926729999999999,84.0,z010,3177009.0,0.01
5.99819,83.0,z010,3561296.0,0.01
7.28681,77.0,z010,3682717.0,0.01
6.437595,48.0,z010,4707730.0,0.01
6.54269,41.0,z010,5237967.0,0.01
6.45166,46.0,z010,4833060.0,0.01
6.034855,79.0,z010,3640124.0,0.01
6.442155,47.0,z010,4768231.0,0.01
6.028325000000001,78.0,z010,3661020.0,0.01
6.667339999999999,40.0,z010,5335195.0,0.01
6.49235,76.0,z010,3704968.0,0.01
5.98995,82.0,z010,3580503.0,0.01
6.42361,49.0,z010,4650917.0,0.01
5.948005,85.0,z010,3525012.0,0.01
7.15149,71.0,z010,3824592.0,0.01
6.90264,225.0,z010,2761824.0,0.01
6.85826,200.0,z010,2808817.0,0.01
8.103964999999999,98.0,z010,2983348.0,0.01
6.353795,53.0,z010,4012411.0,0.01
6.3308,54.0,z010,4401454.0,0.01
6.72259,62.0,z010,4089543.0,0.01
8.208020000000001,96.0,z010,3008307.0,0.01
7.857285,91.0,z010,3073741.0,0.01
7.006495,65.0,z010,3992718.0,0.01
9.024225,31.0,z010,6440324.0,0.01
6.973555,36.0,z010,5793323.0,0.01
6.835884999999999,38.0,z010,5549271.0,0.01
6.667815,64.0,z010,4023927.0,0.01
5.89689,90.0,z010,3440791.0,0.01
8.061565,97.0,z010,2989716.0,0.01
6.70129,63.0,z010,4056195.0,0.01
6.305705,55.0,z010,4357244.0,0.01
8.223675,99.0,z010,2965300.0,0.01
6.366899999999999,52.0,z010,4495132.0,0.01
6.758665000000001,39.0,z010,5438823.0,0.01
6.93382,37.0,z010,5667129.0,0.01
8.220535000000002,125.0,z010,2719253.0,0.01
7.1962,44.0,z014,4981349.0,0.014
7.850695,43.0,z014,5137950.0,0.014
13.370265,88.0,z014,3183667.0,0.014
7.055845,81.0,z014,3662864.0,0.014
6.275535,75.0,z014,3744412.0,0.014
6.59065,72.0,z014,3816188.0,0.014
8.41506,86.0,z014,3523644.0,0.014
6.841305,275.0,z014,2822171.0,0.014
12.90352,87.0,z014,3189887.0,0.014
6.392745,73.0,z014,3791642.0,0.014
6.55575,74.0,z014,3763338.0,0.014
7.004255000000001,80.0,z014,3682446.0,0.014
7.151035,42.0,z014,5128895.0,0.014
14.713525,89.0,z014,3159456.0,0.014
7.207554999999999,45.0,z014,4913220.0,0.014
6.448315,29.0,z014,6966569.0,0.014
6.942394999999999,300.0,z014,2359384.0,0.014
6.8614,150.0,z014,3053942.0,0.014
6.575435000000001,175.0,z014,2529245.0,0.014
7.16564,34.0,z014,6035194.0,0.014
7.3379650000000005,33.0,z014,6190483.0,0.014
6.523625,58.0,z014,4253222.0,0.014
8.6292,93.0,z014,3053854.0,0.014
6.578245,67.0,z014,3950410.0,0.014
6.413785,60.0,z014,3748017.0,0.014
8.852834999999999,94.0,z014,3046244.0,0.014
6.678585,69.0,z014,3894419.0,0.014
6.68395,56.0,z014,4334074.0,0.014
6.938739999999999,51.0,z014,4564864.0,0.014
6.635865,250.0,z014,2397005.0,0.014
8.13416,32.0,z014,6134212.0,0.014
7.1694700000000005,35.0,z014,5891381.0,0.014
7.01124,50.0,z014,4616857.0,0.014
6.550255,68.0,z014,3922051.0,0.014
6.608005,57.0,z014,4292924.0,0.014
8.913125,95.0,z014,3027527.0,0.014
6.484235,61.0,z014,4141954.0,0.014
6.465925,59.0,z014,3776823.0,0.014
6.4529250000000005,66.0,z014,3979874.0,0.014
8.58132,92.0,z014,3067408.0,0.014
7.103994999999999,40.0,z014,5310232.0,0.014
7.1982800000000005,47.0,z014,4786660.0,0.014
6.525855,225.0,z014,2427178.0,0.014
6.1682,78.0,z014,3292744.0,0.014
6.62885,71.0,z014,3841658.0,0.014
14.374865,85.0,z014,3222097.0,0.014
13.715309999999999,82.0,z014,3272244.0,0.014
6.24269,76.0,z014,3332076.0,0.014
7.069369999999999,49.0,z014,4671115.0,0.014
6.224705,77.0,z014,3699812.0,0.014
12.34375,83.0,z014,3255889.0,0.014
7.07141,48.0,z014,4727576.0,0.014
8.288454999999999,84.0,z014,3184431.0,0.014
6.64597,70.0,z014,3867483.0,0.014
7.185925,46.0,z014,4848536.0,0.014
7.007485,79.0,z014,3702274.0,0.014
7.06855,41.0,z014,5215385.0,0.014
14.339865,100.0,z014,3019161.0,0.014
6.9895700000000005,125.0,z014,3173090.0,0.014
6.416835,63.0,z014,4073948.0,0.014
13.207944999999999,97.0,z014,3064225.0,0.014
8.66524,90.0,z014,3100756.0,0.014
6.375995,64.0,z014,4041563.0,0.014
13.34471,99.0,z014,3035781.0,0.014
6.838925,52.0,z014,4515032.0,0.014
6.627555,55.0,z014,4376821.0,0.014
7.082025,39.0,z014,5411298.0,0.014
6.323785,30.0,z014,6740381.0,0.014
7.0896799999999995,37.0,z014,5634405.0,0.014
6.69927,54.0,z014,4421223.0,0.014
13.77598,98.0,z014,3051434.0,0.014
6.793405,53.0,z014,4467331.0,0.014
6.39625,65.0,z014,4005017.0,0.014
13.72137,91.0,z014,3141107.0,0.014
13.979315,96.0,z014,3077434.0,0.014
6.441325,62.0,z014,4107371.0,0.014
6.4524,200.0,z014,2469333.0,0.014
7.12054,36.0,z014,5758150.0,0.014
7.966695,31.0,z014,6543070.0,0.014
7.110415,38.0,z014,5519006.0,0.014
7.987745,43.0,z020,4910927.0,0.02
6.61036,88.0,z020,3083125.0,0.02
8.019055000000002,44.0,z020,4843589.0,0.02
6.699344999999999,86.0,z020,3110723.0,0.02
7.00283,72.0,z020,3734900.0,0.02
6.63874,75.0,z020,3292893.0,0.02
6.790665000000001,81.0,z020,3186431.0,0.02
8.649425,125.0,z020,3182686.0,0.02
8.73178,28.0,z020,6895028.0,0.02
6.6988199999999996,80.0,z020,3202461.0,0.02
6.791755,74.0,z020,3279503.0,0.02
7.092555,73.0,z020,3711243.0,0.02
6.73734,87.0,z020,3503402.0,0.02
8.074825,45.0,z020,4779145.0,0.02
7.994655,42.0,z020,4504971.0,0.02
6.50802,89.0,z020,3070594.0,0.02
8.178104999999999,29.0,z020,6660740.0,0.02
7.893224999999999,200.0,z020,3013555.0,0.02
7.632334999999999,225.0,z020,2995485.0,0.02
8.725285,33.0,z020,5939980.0,0.02
8.663525,34.0,z020,5795813.0,0.02
7.77345,94.0,z020,2904074.0,0.02
8.239255,60.0,z020,4076585.0,0.02
8.50537,58.0,z020,4148618.0,0.02
8.0473,67.0,z020,3861415.0,0.02
6.568355,93.0,z020,3021769.0,0.02
8.66434,51.0,z020,4447990.0,0.02
8.687255,69.0,z020,3808433.0,0.02
9.345794999999999,56.0,z020,4226425.0,0.02
8.586955,35.0,z020,5662615.0,0.02
8.763235,100.0,z020,3332934.0,0.02
8.768740000000001,32.0,z020,6096708.0,0.02
8.019245,68.0,z020,3834558.0,0.02
8.95464,57.0,z020,4186726.0,0.02
8.539935,50.0,z020,4029798.0,0.02
8.382295,59.0,z020,4111919.0,0.02
6.616035,92.0,z020,3032998.0,0.02
7.83229,66.0,z020,3889056.0,0.02
8.037075,61.0,z020,4042398.0,0.02
6.6546199999999995,95.0,z020,2999184.0,0.02
8.226205,47.0,z020,4659121.0,0.02
9.307365,78.0,z020,3206084.0,0.02
