MJD,COLOR_OBS,DCOLOR_OBS,BAND1,BAND2,COL_NAME,INST,PHASE,COLOR_TEMP,DCOLOR_TEMP
58883.38,0.6016362486574209,0.010633908030446648,B,g,B-g,Swope,19.147535070136655,0.4944174649298634,0.020286647795588825
58869.35,0.5972728065216959,0.006409368143584774,B,g,B-g,Swope,5.117535070137819,0.3523141024448391,0.020177110156312402
58875.38,0.687475371582142,0.016126996000495546,B,g,B-g,Swope,11.147535070136655,0.45699168837670817,0.019767540581155544
58880.12,0.750766800000001,0.021581491496650465,g,r,g-r,Siding Spring 1m,15.887535070141894,0.895288835871752,0.011751330440881554
58881.28,0.7585668000000005,0.025068804692685243,g,r,g-r,Thacher,17.04753507013811,0.899829391182359,0.01167619464929862
58882.32,0.7134403610232454,0.009903534722511763,g,r,g-r,Swope,18.087535070138983,0.9014002675350695,0.011708232104208339
58882.09,0.7682668000000028,0.021231110295271718,g,r,g-r,Siding Spring 1m,17.857535070135782,0.9012205350701358,0.01169552675350679
58884.37,0.8170553368009053,0.011405261943506502,g,r,g-r,Swope,20.137535070141894,0.8994889298597163,0.011851232104208517
58871.35,0.8479429558812779,0.004252058325093744,g,r,g-r,Swope,7.117535070137819,0.6319667640078404,0.023171715278578923
58886.28,0.6980667999999994,0.068980452269103,g,r,g-r,Thacher,22.04753507013811,0.8956689298597241,0.011965832104208306
58871.27,0.7383668000000014,0.01381155392841793,g,r,g-r,Siding Spring 1m,7.037535070136073,0.6262169795988926,0.02389795423651275
58872.35,0.7970199383180887,0.004481071300481529,g,r,g-r,Swope,8.11753507013782,0.6965644210820211,0.01699388127856664
58872.29,0.8487667999999999,0.013332625296902304,g,r,g-r,Siding Spring 1m,8.057535070140148,0.6930615431663248,0.017229707250501568
58883.01,0.787666800000002,0.02487489122890781,g,r,g-r,Siding Spring 1m,18.77753507014131,0.9013936789579152,0.011754737454909892
58883.12,0.648966800000002,0.019868572310309425,g,r,g-r,Siding Spring 1m,18.887535070141894,0.9013256254509007,0.011762642805611352
58893.29,0.479751554506052,0.011665333257134043,g,r,g-r,Swope,29.057535070140148,0.8816489298597213,0.012386432104208494
58894.31,0.4816751846723051,0.010820351195779138,g,r,g-r,Swope,30.077535070136946,0.8796089298597279,0.01244763210420831
58893.25,0.3903667999999989,0.025023004178755116,g,r,g-r,Thacher,29.017535070139274,0.8817289298597231,0.01238403210420844
58896.29,0.5327330261940091,0.0232611263699761,g,r,g-r,Swope,32.05753507014015,0.8756489298597219,0.012566432104208521
58873.09,0.826966800000001,0.014133613790407453,g,r,g-r,Siding Spring 1m,8.857535070135782,0.7363576599997755,0.015010316873755593
58874.29,0.8041667999999991,0.023992110750411258,g,r,g-r,Thacher,10.057535070140148,0.7882836510471092,0.013908619338278215
58874.28,0.8734667999999992,0.015580749541353809,g,r,g-r,Siding Spring 1m,10.04753507013811,0.7879071570231281,0.013913499816366859
58900.34,0.4945668000000012,0.04934270065014676,g,r,g-r,Thacher,36.10753507013578,0.8675489298597313,0.012809432104208297
58898.24,0.39926680000000303,0.03128927947540492,g,r,g-r,Thacher,34.00753507013724,0.8717489298597281,0.012683432104208366
58903.27,0.38637531886945453,0.026421203606194772,g,r,g-r,Swope,39.03753507013607,0.8616889298597312,0.012985232104208341
58904.32,0.448995559250541,0.014144963768069412,g,r,g-r,Swope,40.08753507013898,0.8595889298597257,0.013048232104208525
58899.23,0.5173668000000013,0.04805121849963846,g,r,g-r,Thacher,34.997535070142476,0.8697689298597178,0.012742832104208688
58903.29,0.21226680000000187,0.038641632313348155,g,r,g-r,Thacher,39.05753507014015,0.8616489298597231,0.012986432104208585
58907.36,0.35970952810003354,0.013604411049361838,g,r,g-r,Swope,43.12753507013986,0.8535089298597244,0.013230632104208606
58876.36,0.9323276692949758,0.00860697391653988,g,r,g-r,Swope,12.127535070139857,0.8484036110220349,0.013068759218437065
58876.03,0.8094667999999974,0.015992497197123288,g,r,g-r,Siding Spring 1m,11.79753507013811,0.8409036811622732,0.013213869919840611
