Age,logZ/Zsol,margLike,Prob
0.001,-1.3869346733668342,-21536.547393954723,1.0138932278900375e+63
0.001,-1.3768844221105527,-21720.57394010949,9.975074229312864e+62
0.001,-1.3668341708542715,-21904.600486264273,9.815630532278663e+62
0.001,-1.3567839195979898,-22088.62703241906,9.660449382062695e+62
0.001,-1.3467336683417086,-22272.65357857381,9.509385203737195e+62
0.001,-1.3366834170854272,-22456.68012472857,9.362298360120538e+62
0.001,-1.3266331658291457,-22640.70667088335,9.219054874081961e+62
0.001,-1.3165829145728645,-22824.733217038134,9.079526165339309e+62
0.001,-1.3065326633165828,-23008.759763192887,8.94358880092023e+62
0.001,-1.2964824120603016,-23192.786309347677,8.811124258516484e+62
0.001,-1.28643216080402,-23376.812855502445,8.682018701984833e+62
0.001,-1.276381909547739,-23560.839401657202,8.556162768338236e+62
0.001,-1.2663316582914574,-23744.86594781197,8.43345136555872e+62
0.001,-1.2562814070351758,-23928.892493966738,8.313783480642194e+62
0.001,-1.2462311557788943,-24062.971916080627,8.256217680489209e+62
0.001,-1.236180904522613,-24113.80613145968,8.298138420596463e+62
0.001,-1.2261306532663316,-24164.640346838765,8.340042479889358e+62
0.001,-1.2160804020100502,-24215.47456221785,8.381928996663506e+62
0.001,-1.2060301507537687,-24266.308777596943,8.423797117301265e+62
0.001,-1.1959798994974875,-24317.142992976005,8.465645996253009e+62
0.001,-1.185929648241206,-24367.977208355056,8.507474796022464e+62
0.001,-1.1758793969849246,-24418.81142373413,8.549282687148561e+62
0.001,-1.1658291457286432,-24469.645639113176,8.591068848181503e+62
0.001,-1.1557788944723617,-24520.47985449227,8.632832465669742e+62
0.001,-1.1457286432160805,-24571.314069871347,8.674572734132371e+62
0.001,-1.135678391959799,-24622.148285250387,8.716288856041442e+62
0.001,-1.1256281407035176,-24672.982500629478,8.75798004180261e+62
0.001,-1.115577889447236,-24723.816716008532,8.799645509723483e+62
0.001,-1.105527638190955,-24774.650931387623,8.841284485999483e+62
0.001,-1.0954773869346734,-24825.48514676668,8.882896204680965e+62
0.001,-1.085427135678392,-24876.319362145743,8.924479907655613e+62
0.001,-1.0753768844221103,-24927.153577524845,8.966034844618585e+62
0.001,-1.065326633165829,-24977.987792903907,9.007560273044064e+62
0.001,-1.0552763819095476,-25028.82200828298,9.04905545816414e+62
0.001,-1.0452261306532664,-25079.656223662023,9.090519672935269e+62
0.001,-1.035175879396985,-25130.490439041114,9.131952198016158e+62
0.001,-1.0251256281407035,-25181.324654420187,9.173352321731762e+62
0.001,-1.015075376884422,-25232.158869799277,9.214719340049938e+62
0.001,-1.0050251256281406,-25282.993085178317,9.256052556546756e+62
0.001,-0.9949748743718594,-25376.230343819767,9.241461903393435e+62
0.001,-0.984924623115578,-25511.870645723622,9.171790663298446e+62
0.001,-0.9748743718592964,-25647.510947627463,9.10319106025491e+62
0.001,-0.964824120603015,-25783.151249531293,9.035641534580302e+62
0.001,-0.9547738693467336,-25918.791551435144,8.96912105674095e+62
0.001,-0.9447236180904524,-26054.43185333898,8.90360911214541e+62
0.001,-0.9346733668341708,-26190.072155242815,8.839085686438969e+62
0.001,-0.9246231155778896,-26325.712457146667,8.77553125126944e+62
0.001,-0.914572864321608,-26461.352759050522,8.712926750508721e+62
0.001,-0.9045226130653266,-26596.993060954366,8.651253586921085e+62
0.001,-0.8944723618090451,-26732.633362858214,8.590493609257012e+62
0.001,-0.8844221105527639,-26868.27366476207,8.530629099755173e+62
0.001,-0.8743718592964824,-27003.913966665892,8.471642762042776e+62
0.001,-0.864321608040201,-27139.554268569736,8.413517709422527e+62
0.001,-0.8542713567839195,-27275.194570473566,8.35623745352019e+62
0.001,-0.8442211055276381,-27410.83487237743,8.299785893299045e+62
0.001,-0.8341708542713568,-27546.475174281248,8.244147304407331e+62
0.001,-0.8241206030150754,-27682.11547618511,8.189306328869801e+62
0.001,-0.8140703517587939,-27817.755778088962,8.135247965087976e+62
0.001,-0.8040201005025125,-27953.39607999283,8.08195755815912e+62
0.001,-0.793969849246231,-28089.036381896647,8.029420790486813e+62
0.001,-0.7839195979899498,-28224.67668380049,7.977623672689936e+62
0.001,-0.7738693467336684,-28360.316985704343,7.926552534777549e+62
0.001,-0.7638190954773869,-28495.957287608213,7.876194017603589e+62
0.001,-0.7537688442211055,-28631.597589512043,7.826535064574774e+62
0.001,-0.743718592964824,-28601.931217843914,7.77320528871052e+62
0.001,-0.7336683417085428,-28473.08084203265,7.717345965900738e+62
0.001,-0.7236180904522613,-28344.230466221376,7.661434998972708e+62
0.001,-0.7135678391959799,-28215.3800904101,7.605473407435569e+62
0.001,-0.7035175879396984,-28086.529714598815,7.549462242836272e+62
0.001,-0.693467336683417,-27957.67933878753,7.49340258943433e+62
0.001,-0.6834170854271358,-27828.82896297625,7.437295564885903e+62
0.001,-0.6733668341708543,-27699.978587165002,7.381142320938987e+62
0.001,-0.6633165829145728,-27571.128211353705,7.324944044138133e+62
0.001,-0.6532663316582914,-27442.27783554246,7.268701956547741e+62
0.001,-0.64321608040201,-27313.427459731178,7.212417316471742e+62
0.001,-0.6331658291457287,-27184.577083919907,7.156091419200775e+62
0.001,-0.6231155778894473,-27055.726708108636,7.099725597757722e+62
0.001,-0.6130653266331658,-26926.876332297354,7.0433212236607865e+62
0.001,-0.6030150753768844,-26798.025956486086,6.986879707695617e+62
0.001,-0.5929648241206029,-26669.175580674804,6.930402500697587e+62
0.001,-0.5829145728643217,-26540.32520486353,6.873891094347378e+62
0.001,-0.5728643216080402,-26411.47482905225,6.817347021974191e+62
0.001,-0.5628140703517588,-26282.624453240987,6.760771859373061e+62
0.001,-0.5527638190954773,-26153.774077429724,6.704167225629364e+62
0.001,-0.5427135678391959,-26024.923701618434,6.64753478395705e+62
0.001,-0.5326633165829147,-25896.07332580716,6.590876242546168e+62
0.001,-0.5226130653266332,-25767.222949995885,6.534193355419547e+62
0.001,-0.5125628140703518,-25638.372574184614,6.477487923301776e+62
0.001,-0.5025125628140703,-25509.522198373335,6.420761794495832e+62
0.001,-0.4924623115577888,-25489.518893551012,6.406862831680126e+62
0.001,-0.4824120603015074,-25505.79794572504,6.407215439755819e+62
0.001,-0.4723618090452262,-25522.07699789906,6.407535934114787e+62
0.001,-0.4623115577889447,-25538.35605007307,6.407824400375594e+62
0.001,-0.4522613065326633,-25554.6351022471,6.4080809244095295e+62
0.001,-0.4422110552763818,-25570.914154421094,6.408305592335548e+62
0.001,-0.4321608040201004,-25587.19320659512,6.408498490519116e+62
0.001,-0.4221105527638191,-25603.472258769118,6.408659705564723e+62
0.001,-0.4120603015075377,-25619.75131094315,6.408789324317007e+62
0.001,-0.4020100502512562,-25636.030363117152,6.408887433851575e+62
0.001,-0.3919597989949748,-25652.309415291144,6.408954121476095e+62
0.001,-0.3819095477386933,-25668.58846746518,6.408989474725706e+62
0.001,-0.3718592964824121,-25684.867519639185,6.40899358135537e+62
0.001,-0.3618090452261306,-25701.146571813217,6.408966529342216e+62
0.001,-0.3517587939698492,-25717.42562398722,6.408908406877122e+62
0.001,-0.3417085427135677,-25733.704676161226,6.408819302364574e+62
0.001,-0.3316582914572863,-25749.98372833524,6.4086993044168e+62
0.001,-0.3216080402010051,-25766.262780509238,6.4085485018511735e+62
0.001,-0.3115577889447236,-25782.541832683277,6.408366983687497e+62
0.001,-0.3015075376884422,-25798.820884857283,6.408154839141173e+62
0.001,-0.2914572864321607,-25815.0999370313,6.407912157624726e+62
0.001,-0.2814070351758793,-25831.3789892053,6.40763902873994e+62
0.001,-0.271356783919598,-25847.658041379327,6.407335542277754e+62
0.001,-0.2613065326633166,-25863.937093553322,6.4070017882107375e+62
0.001,-0.2512562814070351,-25880.21614572736,6.4066378566952285e+62
0.001,-0.2412060301507537,-26140.375688575685,6.299778476624338e+62
0.001,-0.2311557788944722,-26435.375301520355,6.181759697404653e+62
0.001,-0.221105527638191,-26730.37491446504,6.067872624051669e+62
0.001,-0.2110552763819095,-27025.374527409695,5.957929450712222e+62
0.001,-0.2010050251256281,-27320.37414035438,5.851752718967672e+62
0.001,-0.1909547738693466,-27615.373753299056,5.749174656278032e+62
0.001,-0.1809045226130652,-27910.373366243733,5.650036562155333e+62
0.001,-0.170854271356784,-28205.372979188403,5.554188238249834e+62
0.001,-0.1608040201005025,-28500.37259213308,5.4614874588745215e+62
0.001,-0.1507537688442211,-28795.37220507777,5.371799478789679e+62
0.001,-0.1407035175879396,-29090.37181802243,5.284996575345085e+62
0.001,-0.1306532663316582,-29385.371430967123,5.200957622320946e+62
0.001,-0.1206030150753769,-29680.37104391179,5.119567693032211e+62
0.001,-0.1105527638190955,-29975.370656856452,5.040717690472249e+62
0.001,-0.100502512562814,-30270.37026980111,4.964304002446956e+62
0.001,-0.0904522613065326,-30565.369882745796,4.890228179828448e+62
0.001,-0.0804020100502511,-30860.369495690466,4.818396636203113e+62
0.001,-0.0703517587939699,-31155.36910863514,4.748720367338881e+62
0.001,-0.0603015075376884,-31450.368721579824,4.681114689013032e+62
0.001,-0.050251256281407,-31745.368334524486,4.61549899186786e+62
0.001,-0.0402010050251255,-32040.367947469163,4.551796512062808e+62
0.001,-0.0301507537688441,-32335.36756041385,4.489934116590332e+62
0.001,-0.0201005025125626,-32630.36717335852,4.429842102212025e+62
0.001,-0.0100502512562814,-32925.366786303195,4.371454007054617e+62
0.001,0.0,-33220.36639924786,4.314706433974857e+62
0.002502512562814,-2.0,-27930.425806206298,1.5932042787014132e+62
0.002502512562814,-1.9899497487437183,-27995.207137898826,1.5626387772819847e+62
0.002502512562814,-1.979899497487437,-28059.988469591353,1.53271768915221e+62
0.002502512562814,-1.969849246231156,-28124.769801283885,1.5034264295140788e+62
0.002502512562814,-1.9597989949748744,-28189.551132976434,1.4747507612623618e+62
0.002502512562814,-1.949748743718593,-28254.332464668954,1.4466767864120982e+62
0.002502512562814,-1.9396984924623115,-28319.11379636147,1.4191909377410114e+62
0.002502512562814,-1.92964824120603,-28383.895128054,1.3922799706398364e+62
0.002502512562814,-1.9195979899497488,-28448.676459746548,1.365930955166372e+62
0.002502512562814,-1.9095477386934676,-28513.45779143904,1.3401312682978868e+62
0.002502512562814,-1.899497487437186,-28578.239123131618,1.3148685863787596e+62
0.002502512562814,-1.8894472361809045,-28643.020454824145,1.2901308777537584e+62
0.002502512562814,-1.879396984924623,-28707.80178651668,1.2659063955892882e+62
0.002502512562814,-1.8693467336683416,-28772.58311820919,1.2421836708717324e+62
0.002502512562814,-1.8592964824120604,-28837.364449901717,1.2189515055823243e+62
0.002502512562814,-1.849246231155779,-28902.145781594278,1.1961989660420634e+62
0.002502512562814,-1.8391959798994972,-28966.927113286805,1.1739153764235395e+62
0.002502512562814,-1.829145728643216,-29031.70844497935,1.1520903124259388e+62
0.002502512562814,-1.8190954773869348,-29096.489776671857,1.130713595107172e+62
0.002502512562814,-1.809045226130653,-29161.27110836439,1.109775284872038e+62
0.002502512562814,-1.798994974874372,-29226.05244005693,1.0892656756092824e+62
0.002502512562814,-1.7889447236180904,-29290.833771749472,1.069175288977007e+62
0.002502512562814,-1.778894472361809,-29355.61510344199,1.0494948688304189e+62
0.002502512562814,-1.7688442211055275,-29420.39643513451,1.0302153757895815e+62
0.002502512562814,-1.7587939698492463,-29485.177766827084,1.0113279819431858e+62
0.002502512562814,-1.7487437185929648,-29545.197382103626,9.945517069201975e+61
0.002502512562814,-1.7386934673366834,-29571.884982468324,9.90048603743857e+61
0.002502512562814,-1.728643216080402,-29598.572582832985,9.855706810056722e+61
0.002502512562814,-1.7185929648241207,-29625.26018319773,9.811177753756127e+61
0.002502512562814,-1.7085427135678393,-29651.9477835624,9.766897247110533e+61
0.002502512562814,-1.6984924623115578,-29678.635383927092,9.722863680489313e+61
0.002502512562814,-1.6884422110552764,-29705.322984291764,9.679075455949231e+61
0.002502512562814,-1.678391959798995,-29732.010584656466,9.635530987151345e+61
0.002502512562814,-1.6683417085427137,-29758.69818502118,9.59222869926208e+61
0.002502512562814,-1.6582914572864322,-29785.385785385883,9.549167028864027e+61
0.002502512562814,-1.6482412060301508,-29812.07338575058,9.506344423865786e+61
0.002502512562814,-1.6381909547738691,-29838.760986115267,9.46375934341174e+61
0.002502512562814,-1.628140703517588,-29865.44858647994,9.421410257792278e+61
0.002502512562814,-1.6180904522613069,-29892.136186844662,9.37929564835727e+61
0.002502512562814,-1.608040201005025,-29918.823787209327,9.337414007423191e+61
0.002502512562814,-1.5979899497487438,-29945.511387574043,9.295763838194195e+61
0.002502512562814,-1.5879396984924623,-29972.198987938755,9.254343654668269e+61
0.002502512562814,-1.5778894472361809,-29998.886588303445,9.213151981554968e+61
0.002502512562814,-1.5678391959798996,-30025.574188668128,9.172187354193059e+61
0.002502512562814,-1.557788944723618,-30052.261789032815,9.13144831846248e+61
0.002502512562814,-1.5477386934673367,-30078.949389397538,9.090933430704249e+61
0.002502512562814,-1.5376884422110553,-30105.636989762243,9.050641257633917e+61
0.002502512562814,-1.5276381909547738,-30132.324590126933,9.010570376263622e+61
0.002502512562814,-1.5175879396984926,-30159.01219049162,8.97071937381982e+61
0.002502512562814,-1.507537688442211,-30185.699790856317,8.931086847662197e+61
0.002502512562814,-1.4974874371859297,-30198.800617349763,8.904817396848684e+61
0.002502512562814,-1.4874371859296482,-30171.14112222951,8.918057511872482e+61
0.002502512562814,-1.4773869346733668,-30143.481627109253,8.931282165058297e+61
0.002502512562814,-1.4673366834170856,-30115.822131988956,8.944491031983626e+61
0.002502512562814,-1.457286432160804,-30088.162636868692,8.957683786163991e+61
0.002502512562814,-1.4472361809045229,-30060.50314174845,8.970860099040266e+61
0.002502512562814,-1.4371859296482412,-30032.84364662814,8.984019639976105e+61
0.002502512562814,-1.4271356783919598,-30005.184151507907,8.997162076260146e+61
0.002502512562814,-1.4170854271356783,-29977.524656387614,9.010287073086317e+61
0.002502512562814,-1.4070351758793969,-29949.865161267368,9.023394293563288e+61
0.002502512562814,-1.3969849246231156,-29922.205666147103,9.036483398699785e+61
0.002502512562814,-1.3869346733668342,-29894.54617102687,9.049554047404842e+61
0.002502512562814,-1.3768844221105527,-29866.88667590663,9.062605896480764e+61
0.002502512562814,-1.3668341708542715,-29839.227180786304,9.075638600616097e+61
0.002502512562814,-1.3567839195979898,-29811.567685666054,9.088651812391068e+61
0.002502512562814,-1.3467336683417086,-29783.908190545808,9.101645182259376e+61
0.002502512562814,-1.3366834170854272,-29756.248695425536,9.114618358551955e+61
0.002502512562814,-1.3266331658291457,-29728.589200305236,9.127570987470685e+61
0.002502512562814,-1.3165829145728645,-29700.929705185004,9.140502713087125e+61
0.002502512562814,-1.3065326633165828,-29673.270210064722,9.153413177329531e+61
0.002502512562814,-1.2964824120603016,-29645.610714944447,9.166302019989305e+61
0.002502512562814,-1.28643216080402,-29617.951219824197,9.179168878711998e+61
0.002502512562814,-1.276381909547739,-29590.291724703933,9.192013388990254e+61
0.002502512562814,-1.2663316582914574,-29562.63222958367,9.20483518416634e+61
0.002502512562814,-1.2562814070351758,-29534.97273446338,9.217633895424253e+61
0.002502512562814,-1.2462311557788943,-29539.11053298565,9.240607092057329e+61
0.002502512562814,-1.236180904522613,-29596.24382091211,9.280438021520955e+61
0.002502512562814,-1.2261306532663316,-29653.377108838627,9.320076763961147e+61
0.002502512562814,-1.2160804020100502,-29710.510396765087,9.359522082550404e+61
0.002502512562814,-1.2060301507537687,-29767.64368469152,9.398772770392887e+61
0.002502512562814,-1.1959798994974875,-29824.776972618016,9.437827650336135e+61
0.002502512562814,-1.185929648241206,-29881.91026054446,9.476685574771291e+61
0.002502512562814,-1.1758793969849246,-29939.043548470963,9.51534542544908e+61
0.002502512562814,-1.1658291457286432,-29996.176836397433,9.553806113272076e+61
0.002502512562814,-1.1557788944723617,-30053.31012432388,9.592066578099634e+61
0.002502512562814,-1.1457286432160805,-30110.443412250363,9.630125788543925e+61
0.002502512562814,-1.135678391959799,-30167.576700176847,9.667982741758384e+61
0.002502512562814,-1.1256281407035176,-30224.70998810331,9.70563646323201e+61
0.002502512562814,-1.115577889447236,-30281.843276029766,9.743086006577604e+61
0.002502512562814,-1.105527638190955,-30338.976563956265,9.780330453316157e+61
0.002502512562814,-1.0954773869346734,-30396.109851882717,9.817368912657174e+61
0.002502512562814,-1.085427135678392,-30453.243139809172,9.854200521285323e+61
0.002502512562814,-1.0753768844221103,-30510.376427735693,9.89082444313681e+61
0.002502512562814,-1.065326633165829,-30567.509715662134,9.927239869169808e+61
0.002502512562814,-1.0552763819095476,-30624.643003588575,9.963446017151284e+61
0.002502512562814,-1.0452261306532664,-30681.776291515045,9.999442131421694e+61
0.002502512562814,-1.035175879396985,-30738.90957944155,1.0035227482668358e+62
0.002502512562814,-1.0251256281407035,-30796.042867368025,1.00708013676912e+62
0.002502512562814,-1.015075376884422,-30853.176155294484,1.0106163109178937e+62
0.002502512562814,-1.0050251256281406,-30910.309443220984,1.0141312055470387e+62
0.002502512562814,-0.9949748743718594,-30969.086655716506,1.0181747090276356e+62
0.002502512562814,-0.984924623115578,-31029.507792781078,1.0227516092356341e+62
0.002502512562814,-0.9748743718592964,-31089.928929845675,1.0273134555932755e+62
0.002502512562814,-0.964824120603015,-31150.350066910258,1.0318601233217475e+62
0.002502512562814,-0.9547738693467336,-31210.77120397488,1.036391490006934e+62
0.002502512562814,-0.9447236180904524,-31271.192341039456,1.0409074355855164e+62
0.002502512562814,-0.9346733668341708,-31331.61347810403,1.0454078423321102e+62
0.002502512562814,-0.9246231155778896,-31392.034615168628,1.0498925948450702e+62
0.002502512562814,-0.914572864321608,-31452.455752233214,1.0543615800324638e+62
0.002502512562814,-0.9045226130653266,-31512.876889297833,1.0588146870980898e+62
0.002502512562814,-0.8944723618090451,-31573.298026362416,1.0632518075267797e+62
0.002502512562814,-0.8844221105527639,-31633.71916342701,1.0676728350700887e+62
0.002502512562814,-0.8743718592964824,-31694.140300491592,1.072077665731346e+62
0.002502512562814,-0.864321608040201,-31754.561437556178,1.0764661977508404e+62
0.002502512562814,-0.8542713567839195,-31814.98257462079,1.0808383315904418e+62
0.002502512562814,-0.8442211055276381,-31875.40371168536,1.0851939699182612e+62
0.002502512562814,-0.8341708542713568,-31935.82484874996,1.0895330175938385e+62
0.002502512562814,-0.8241206030150754,-31996.24598581457,1.09385538165167e+62
0.002502512562814,-0.8140703517587939,-32056.66712287915,1.0981609712857782e+62
0.002502512562814,-0.8040201005025125,-32117.08825994373,1.1024496978341614e+62
0.002502512562814,-0.793969849246231,-32177.509397008318,1.1067214747624403e+62
0.002502512562814,-0.7839195979899498,-32237.93053407291,1.1109762176475697e+62
0.002502512562814,-0.7738693467336684,-32298.35167113754,1.1152138441621556e+62
0.002502512562814,-0.7638190954773869,-32358.77280820212,1.1194342740571682e+62
0.002502512562814,-0.7537688442211055,-32419.193945266707,1.1236374291465465e+62
0.002502512562814,-0.743718592964824,-32482.553777652865,1.115052437072301e+62
0.002502512562814,-0.7336683417085428,-32547.67682723202,1.0990070839629428e+62
0.002502512562814,-0.7236180904522613,-32612.799876811176,1.0832109287742815e+62
0.002502512562814,-0.7135678391959799,-32677.922926390285,1.0676599474044314e+62
0.002502512562814,-0.7035175879396984,-32743.045975969395,1.0523501804210446e+62
0.002502512562814,-0.693467336683417,-32808.16902554854,1.0372777321035326e+62
0.002502512562814,-0.6834170854271358,-32873.29207512766,1.0224387694960346e+62
0.002502512562814,-0.6733668341708543,-32938.415124706786,1.0078295214708723e+62
0.002502512562814,-0.6633165829145728,-33003.538174285924,9.934462778020478e+61
0.002502512562814,-0.6532663316582914,-33068.66122386507,9.792853882494371e+61
0.002502512562814,-0.64321608040201,-33133.784273444195,9.653432616531702e+61
0.002502512562814,-0.6331658291457287,-33198.90732302332,9.516163650388506e+61
0.002502512562814,-0.6231155778894473,-33264.03037260244,9.381012227327895e+61
0.002502512562814,-0.6130653266331658,-33329.15342218155,9.247944154881691e+61
0.002502512562814,-0.6030150753768844,-33394.27647176069,9.116925796216653e+61
0.002502512562814,-0.5929648241206029,-33459.399521339816,8.987924061600569e+61
0.002502512562814,-0.5829145728643217,-33524.522570918976,8.86090639998076e+61
0.002502512562814,-0.5728643216080402,-33589.645620498064,8.735840790660598e+61
0.002502512562814,-0.5628140703517588,-33654.768670077196,8.61269573508829e+61
0.002502512562814,-0.5527638190954773,-33719.89171965633,8.491440248740227e+61
0.002502512562814,-0.5427135678391959,-33785.01476923548,8.372043853115124e+61
0.002502512562814,-0.5326633165829147,-33850.1378188146,8.254476567828259e+61
0.002502512562814,-0.5226130653266332,-33915.26086839374,8.13870890281392e+61
0.002502512562814,-0.5125628140703518,-33980.38391797287,8.024711850622053e+61
0.002502512562814,-0.5025125628140703,-34045.50696755198,7.912456878824265e+61
0.002502512562814,-0.4924623115577888,-34197.9754599046,7.918555529196175e+61
0.002502512562814,-0.4824120603015074,-34379.5590998483,7.963632025945205e+61
0.002502512562814,-0.4723618090452262,-34561.14273979206,8.008578153003395e+61
0.002502512562814,-0.4623115577889447,-34742.72637973582,8.05339485074707e+61
0.002502512562814,-0.4522613065326633,-34924.31001967955,8.098083061048571e+61
0.002502512562814,-0.4422110552763818,-35105.893659623274,8.142643726839053e+61
0.002502512562814,-0.4321608040201004,-35287.47729956706,8.187077791693238e+61
0.002502512562814,-0.4221105527638191,-35469.06093951076,8.231386199428042e+61
0.002502512562814,-0.4120603015075377,-35650.644579454514,8.275569893732404e+61
0.002502512562814,-0.4020100502512562,-35832.22821939823,8.319629817799544e+61
0.002502512562814,-0.3919597989949748,-36013.811859341986,8.36356691398924e+61
0.002502512562814,-0.3819095477386933,-36195.395499285725,8.407382123498352e+61
0.002502512562814,-0.3718592964824121,-36376.97913922948,8.451076386051995e+61
0.002502512562814,-0.3618090452261306,-36558.56277917322,8.494650639607339e+61
0.002502512562814,-0.3517587939698492,-36740.146419116936,8.538105820073992e+61
0.002502512562814,-0.3417085427135677,-36921.73005906069,8.581442861048017e+61
0.002502512562814,-0.3316582914572863,-37103.31369900443,8.624662693556858e+61
0.002502512562814,-0.3216080402010051,-37284.89733894816,8.667766245821023e+61
0.002502512562814,-0.3115577889447236,-37466.48097889191,8.710754443028709e+61
0.002502512562814,-0.3015075376884422,-37648.06461883563,8.753628207115481e+61
0.002502512562814,-0.2914572864321607,-37829.648258779394,8.796388456566867e+61
0.002502512562814,-0.2814070351758793,-38011.23189872314,8.839036106219485e+61
0.002502512562814,-0.271356783919598,-38192.81553866686,8.881572067082394e+61
0.002502512562814,-0.2613065326633166,-38374.39917861061,8.923997246166998e+61
0.002502512562814,-0.2512562814070351,-38555.98281855436,8.966312546319416e+61
0.002502512562814,-0.2412060301507537,-38719.47587472364,8.90353814702195e+61
0.002502512562814,-0.2311557788944722,-38880.384561782324,8.826727455677972e+61
0.002502512562814,-0.221105527638191,-39041.29324884101,8.750933333115659e+61
0.002502512562814,-0.2110552763819095,-39202.20193589966,8.676139677145075e+61
0.002502512562814,-0.2010050251256281,-39363.11062295833,8.602330661291049e+61
0.002502512562814,-0.1909547738693466,-39524.019310017015,8.529490730361698e+61
0.002502512562814,-0.1809045226130652,-39684.92799707569,8.457604596059513e+61
0.002502512562814,-0.170854271356784,-39845.83668413437,8.386657232628025e+61
0.002502512562814,-0.1608040201005025,-40006.745371193014,8.316633872539819e+61
0.002502512562814,-0.1507537688442211,-40167.65405825169,8.247520002232284e+61
0.002502512562814,-0.1407035175879396,-40328.56274531036,8.17930135787738e+61
0.002502512562814,-0.1306532663316582,-40489.47143236904,8.111963921206819e+61
0.002502512562814,-0.1206030150753769,-40650.38011942771,8.045493915380819e+61
