Age,logZ/Zsol,margLike,Prob
0.001,-2.0,-22048.58472407618,1.2879031855236069e+63
0.001,-1.9899497487437183,-22042.55996964601,1.2791190900722473e+63
0.001,-1.979899497487437,-22036.53521521583,1.2703837140367109e+63
0.001,-1.969849246231156,-22030.510460785605,1.261696870007877e+63
0.001,-1.9597989949748744,-22024.485706355437,1.2530583707423172e+63
0.001,-1.949748743718593,-22018.460951925263,1.244468029164689e+63
0.001,-1.9396984924623115,-22012.436197495124,1.2359256583723568e+63
0.001,-1.92964824120603,-22006.4114430649,1.2274310716382062e+63
0.001,-1.9195979899497488,-22000.386688634713,1.218984082415691e+63
0.001,-1.9095477386934676,-21994.36193420451,1.2105845043408613e+63
0.001,-1.899497487437186,-21988.337179774353,1.2022321512370437e+63
0.001,-1.8894472361809045,-21982.312425344167,1.193926837117482e+63
0.001,-1.879396984924623,-21976.28767091398,1.1856683761897519e+63
0.001,-1.8693467336683416,-21970.2629164838,1.1774565828588477e+63
0.001,-1.8592964824120604,-21964.238162053643,1.1692912717306019e+63
0.001,-1.849246231155779,-21958.213407623443,1.161172257615224e+63
0.001,-1.8391959798994972,-21952.18865319326,1.1530993555310207e+63
0.001,-1.829145728643216,-21946.163898763116,1.1450723807075514e+63
0.001,-1.8190954773869348,-21940.13914433293,1.1370911485887738e+63
0.001,-1.809045226130653,-21934.11438990272,1.1291554748369199e+63
0.001,-1.798994974874372,-21928.08963547255,1.1212651753358703e+63
0.001,-1.7889447236180904,-21922.06488104236,1.113420066193962e+63
0.001,-1.778894472361809,-21916.04012661217,1.1056199637476892e+63
0.001,-1.7688442211055275,-21910.015372182,1.0978646845650166e+63
0.001,-1.7587939698492463,-21903.99061775183,1.0901540454484847e+63
0.001,-1.7487437185929648,-21886.495489243942,1.0841219088038465e+63
0.001,-1.7386934673366834,-21788.7077421922,1.0895741679685984e+63
0.001,-1.728643216080402,-21690.919995140477,1.095074158084594e+63
0.001,-1.7185929648241207,-21593.132248088736,1.1006223080749846e+63
0.001,-1.7085427135678393,-21495.344501037012,1.1062190483248054e+63
0.001,-1.6984924623115578,-21397.55675398529,1.1118648105527812e+63
0.001,-1.6884422110552764,-21299.769006933548,1.117560027676759e+63
0.001,-1.678391959798995,-21201.98125988181,1.1233051336711378e+63
0.001,-1.6683417085427137,-21104.193512830072,1.129100563416295e+63
0.001,-1.6582914572864322,-21006.405765778352,1.1349467525397005e+63
0.001,-1.6482412060301508,-20908.618018726607,1.1408441372482026e+63
0.001,-1.6381909547738691,-20810.830271674888,1.1467931541519623e+63
0.001,-1.628140703517588,-20713.042524623157,1.1527942400778746e+63
0.001,-1.6180904522613069,-20615.254777571416,1.1588478318739719e+63
0.001,-1.608040201005025,-20517.467030519678,1.1649543662034638e+63
0.001,-1.5979899497487438,-20419.679283467944,1.1711142793278296e+63
0.001,-1.5879396984924623,-20321.89153641622,1.1773280068790685e+63
0.001,-1.5778894472361809,-20224.103789364497,1.183595983620093e+63
0.001,-1.5678391959798996,-20126.316042312752,1.1899186431933996e+63
0.001,-1.557788944723618,-20028.528295261018,1.1962964178572926e+63
0.001,-1.5477386934673367,-19930.740548209287,1.2027297382081924e+63
0.001,-1.5376884422110553,-19832.952801157546,1.2092190328904735e+63
0.001,-1.5276381909547738,-19735.165054105822,1.2157647282913217e+63
0.001,-1.5175879396984926,-19637.3773070541,1.2223672482210962e+63
0.001,-1.507537688442211,-19539.589560002347,1.229027013578446e+63
0.001,-1.4974874371859297,-19512.255386252233,1.2283394620464594e+63
0.001,-1.4874371859296482,-19696.281932407022,1.2058829696310756e+63
0.001,-1.4773869346733668,-19880.308478561783,1.1840862584854936e+63
0.001,-1.4673366834170856,-20064.335024716547,1.1629248124594468e+63
0.001,-1.457286432160804,-20248.36157087132,1.142375194217385e+63
0.001,-1.4472361809045229,-20432.38811702609,1.1224149912177258e+63
0.001,-1.4371859296482412,-20616.41466318088,1.1030227646867614e+63
0.001,-1.4271356783919598,-20800.44120933565,1.0841780014077922e+63
0.001,-1.4170854271356783,-20984.467755490412,1.0658610681568732e+63
0.001,-1.4070351758793969,-21168.494301645187,1.0480531686274725e+63
0.001,-1.3969849246231156,-21352.520847799955,1.03073630269584e+63
