wave,flux
675.0,3.026832072075331e-08
685.0,3.068308773186604e-08
695.0,3.086861327872036e-08
705.0,3.107518583649203e-08
716.0,3.14297274393364e-08
726.0,3.165619952674657e-08
735.0,3.1769242261535335e-08
745.0,3.1674630469951976e-08
755.0,2.2342443008457334e-08
765.0,3.2278323287397716e-08
775.0,3.043841809361989e-08
785.0,3.246719504871094e-08
795.0,3.2897702096613966e-08
805.0,3.311553342434821e-08
815.0,3.327709415846637e-08
825.0,3.341038381659768e-08
835.0,3.274495159944478e-08
845.0,3.4541013756818445e-08
855.0,3.5392848039443316e-08
865.0,3.5534787982268807e-08
875.0,3.646110832528889e-08
885.0,3.761837450719655e-08
895.0,3.8319117135894923e-08
905.0,3.8931607243104515e-08
915.0,1.044075455214386e-07
925.0,1.0279448593229948e-07
935.0,1.0556432213892736e-07
945.0,1.0519346034635482e-07
955.0,1.0565887188511223e-07
965.0,1.0688895938105203e-07
975.0,1.0528879126286193e-07
985.0,1.0757072756388599e-07
995.0,9.742997051520676e-08
1005.0,1.0737712989136427e-07
1015.0,1.0379446512917324e-07
1025.0,7.495675129588708e-08
1035.0,9.915071595211675e-08
1045.0,1.0801844666391435e-07
1055.0,1.0685451727764277e-07
1065.0,1.0662089770141931e-07
1075.0,1.0591442642989819e-07
1085.0,9.006915681655635e-08
1095.0,1.056516215014832e-07
1105.0,1.0522677578582027e-07
1115.0,1.0320064378691902e-07
1125.0,9.717038973690394e-08
1135.0,1.0348135473769218e-07
1145.0,9.919940745611322e-08
1155.0,1.018127835774441e-07
1165.0,9.840270532358057e-08
1175.0,7.332936965834884e-08
1185.0,9.364189336324485e-08
1195.0,1.0033621752029007e-07
1205.0,9.885388570916865e-08
1215.0,7.672195869674163e-08
1225.0,9.669108050435558e-08
1235.0,9.052539518730949e-08
1245.0,1.0198705957255931e-07
1255.0,9.753986055682859e-08
1265.0,9.680495316264792e-08
1275.0,9.647977015203199e-08
1285.0,9.5661697111263e-08
1295.0,9.144408076969973e-08
1305.0,9.461675624569541e-08
1315.0,9.405642385841085e-08
1325.0,9.314506919343194e-08
1335.0,9.108862211739437e-08
1345.0,9.229062101903759e-08
1355.0,9.112077623975493e-08
1365.0,8.627942857488795e-08
1375.0,9.00999450691627e-08
1385.0,8.992835665689707e-08
1395.0,8.932768436491512e-08
1405.0,8.831109301643312e-08
1415.0,8.805542088951877e-08
1425.0,8.645200616453651e-08
1435.0,8.658340350802144e-08
1442.0,8.647898806906086e-08
1447.0,8.62406727033879e-08
1455.0,8.533587659118563e-08
1465.0,8.498745484316177e-08
1475.0,8.456205502492215e-08
1485.0,8.386424033325378e-08
1495.0,8.339480498862447e-08
1505.0,8.271152939667305e-08
1512.0,8.21309652678755e-08
1517.0,8.113595818005874e-08
1525.0,8.11225437189146e-08
1535.0,8.079690707726104e-08
1545.0,7.918039734951652e-08
1555.0,7.973184993592631e-08
1565.0,7.868417697225954e-08
1575.0,7.77295796840846e-08
1585.0,7.766065020246023e-08
1595.0,7.757836368702727e-08
1605.0,7.70712035987441e-08
1615.0,7.63867900257082e-08
1625.0,7.599438019289673e-08
1635.0,7.5257278505287e-08
1645.0,7.457374794452595e-08
1655.0,7.433351589439044e-08
1665.0,7.367868928402237e-08
1672.0,7.311513508712392e-08
1677.0,7.174868696058543e-08
1685.0,7.288722534931218e-08
1695.0,7.226174971898047e-08
1705.0,7.177162679008632e-08
1715.0,7.124205842338367e-08
1725.0,7.035035361402134e-08
1735.0,7.02806927737068e-08
1745.0,6.952147776516864e-08
1755.0,6.9331874969663e-08
1765.0,6.871607149633154e-08
1775.0,6.807788519483832e-08
1785.0,6.776153599324551e-08
1795.0,6.73873431830964e-08
1805.0,6.679836919712408e-08
1815.0,6.634992890559717e-08
1825.0,6.5877223777062e-08
1835.0,6.542242982304756e-08
1845.0,6.481316250126745e-08
1855.0,6.433896681459941e-08
1865.0,6.388005247038529e-08
1875.0,6.372292677341986e-08
1885.0,6.241317187227302e-08
1895.0,6.116519462131055e-08
1905.0,6.207742163498174e-08
1915.0,6.148854905904857e-08
1925.0,6.105738702254727e-08
1935.0,6.065803674510153e-08
1945.0,6.02424166660746e-08
1955.0,5.955875975530117e-08
1967.0,5.922979206583673e-08
1976.0,5.882351010355269e-08
1984.0,5.838846821110259e-08
1995.0,5.78565631598241e-08
2005.0,5.733155277257574e-08
2015.0,5.697955942658674e-08
2025.0,5.655292946034496e-08
2035.0,5.5954808881335e-08
2045.0,5.561896566895705e-08
2055.0,5.6910835913310406e-08
2065.0,5.641477062474785e-08
2074.0,5.61481041579116e-08
2078.0,5.584736885094246e-08
2085.0,5.5499505630203906e-08
2095.0,5.519806627566235e-08
2105.0,5.48285874922741e-08
2115.0,5.4381523510069874e-08
2125.0,5.407403574016285e-08
2135.0,5.366366908256474e-08
2145.0,5.3333829118096194e-08
2155.0,5.3010399247444953e-08
2165.0,5.265741834198681e-08
2175.0,5.2346795120220064e-08
2185.0,5.2061922352052266e-08
2195.0,5.182307329829995e-08
2205.0,5.151935525439984e-08
2215.0,5.1230082817371484e-08
2225.0,5.096310798225699e-08
2235.0,5.0792650774575874e-08
2245.0,5.052768347602773e-08
2255.0,5.027176707173127e-08
2265.0,5.0056839602802195e-08
2275.0,4.987186778920664e-08
2285.0,4.968437603893303e-08
2295.0,4.942597066727155e-08
2305.0,4.923873901841416e-08
2315.0,4.901640138778758e-08
2325.0,4.86041963351634e-08
2335.0,4.8571841622473355e-08
2345.0,4.829722469806613e-08
2355.0,4.8180202715368654e-08
2365.0,4.790213866125073e-08
2375.0,4.774626034700785e-08
2385.0,4.745569344360619e-08
2395.0,4.7314806235015156e-08
2405.0,4.708553876922365e-08
2415.0,4.689542911246289e-08
2425.0,4.6750622375962547e-08
2435.0,4.6506315890621485e-08
2445.0,4.634264959655527e-08
2455.0,4.613422409966457e-08
2465.0,4.5907050896180504e-08
2475.0,4.567812066580614e-08
2485.0,4.548939916221347e-08
2495.0,4.524947482140863e-08
2505.0,4.51285423363182e-08
2513.0,4.488123110393042e-08
2518.0,4.4784914140094246e-08
2525.0,4.4597764363421826e-08
2535.0,4.439636938010585e-08
2545.0,4.4198910041574715e-08
2555.0,4.4064560220751473e-08
2565.0,4.384100750169594e-08
2575.0,4.368864306970516e-08
2585.0,4.3485894995788293e-08
2595.0,4.3271307497351964e-08
2605.0,4.3032789252536144e-08
2615.0,4.285801362783171e-08
2625.0,4.2696678843157016e-08
2635.0,4.25329198589124e-08
2645.0,4.244163200291966e-08
2655.0,4.226623351962987e-08
2665.0,4.199989771550336e-08
2675.0,4.184370730095718e-08
2685.0,4.166769290052465e-08
2695.0,4.1409636713084336e-08
2705.0,4.124483157809608e-08
2715.0,4.0997075137677755e-08
2725.0,4.0792011836072175e-08
2735.0,4.0658954576208554e-08
2745.0,4.033147041321274e-08
2755.0,4.0179150180799924e-08
2765.0,4.0053600132365244e-08
2775.0,3.9924112888190394e-08
2785.0,3.968405445745059e-08
2795.0,3.926744064300026e-08
2805.0,3.91664883343004e-08
2815.0,3.920285928936326e-08
2825.0,3.904445460360521e-08
2835.0,3.883356271050649e-08
2845.0,3.861936043868114e-08
2855.0,3.837795861455733e-08
2865.0,3.83178158583192e-08
2875.0,3.8154593521732e-08
2885.0,3.798524361979642e-08
2895.0,3.78233588175611e-08
2910.0,3.764396453995427e-08
2930.0,3.727161637792617e-08
2950.0,3.692132196933507e-08
2970.0,3.66114184963371e-08
2990.0,3.6295456495577446e-08
3010.0,3.59796027960992e-08
3030.0,3.565811172856245e-08
3050.0,3.5347278399622887e-08
3070.0,3.502096780761158e-08
3090.0,3.4706697502827186e-08
3110.0,3.4409337486418456e-08
3130.0,3.409316494914434e-08
3150.0,3.3797857768733764e-08
3170.0,3.353214666218352e-08
3190.0,3.319138857418339e-08
3210.0,3.295761694945828e-08
3230.0,3.26444704611321e-08
3250.0,3.244183261399687e-08
3270.0,3.222424807695266e-08
3290.0,3.194962009944582e-08
3310.0,3.167593667564706e-08
3330.0,3.140188127740107e-08
3350.0,3.112301772184912e-08
3370.0,3.0776401287470504e-08
3390.0,3.0577692993190427e-08
3410.0,3.034038940012192e-08
3430.0,3.0126239785663387e-08
3450.0,2.993182694272909e-08
3470.0,2.9708646588817893e-08
3490.0,2.9500389863680673e-08
3510.0,2.9300591757048578e-08
3530.0,2.903838420895499e-08
3550.0,2.8887004802056785e-08
3570.0,2.855339380046875e-08
3590.0,2.8305591418663472e-08
3601.8274,2.817117373448041e-08
3602.7275,2.8158136235892955e-08
3603.6279,2.8307122470037967e-08
3604.528,2.8294303495585666e-08
3605.4282,2.815943097964629e-08
3606.3286,2.8256398811397837e-08
3607.2287,2.82966979629466e-08
3608.1291,2.821063596518082e-08
3609.0292,2.8083608027735967e-08
3609.9293,2.805297567162636e-08
3610.8297,2.8031832216074348e-08
3611.7299,2.8013603920060797e-08
3612.6302,2.8096340326306123e-08
3613.5304,2.7967451654326903e-08
3614.4305,2.7936124631230558e-08
3615.3309,2.8062258683406735e-08
3616.231,2.8179794749718264e-08
3617.1314,2.8170509420532125e-08
3618.0315,2.8118891787730166e-08
3618.9317,2.802026288857406e-08
3619.832,2.790751642926935e-08
3620.7322,2.788319460633142e-08
3621.6326,2.79665612965972e-08
3622.5327,2.807297675361007e-08
3623.4328,2.809625907162683e-08
3624.3332,2.8010027722362194e-08
3625.2333,2.7913884116741284e-08
3626.1337,2.7935061620549292e-08
3627.0339,2.8046898110419202e-08
3627.934,2.8131674833645957e-08
3628.8344,2.8110309559117248e-08
3629.7345,2.7938306701505586e-08
3630.6349,2.7814275181271015e-08
3631.535,2.7682690677291615e-08
3632.4351,2.7723190922494468e-08
3633.3355,2.763770337948439e-08
3634.2357,2.7768658087021285e-08
3635.136,2.7908025380447822e-08
3636.0362,2.793748693631761e-08
3636.9363,2.7885677794795577e-08
3637.8367,2.773318420586857e-08
3638.7368,2.7689877956824083e-08
3639.6372,2.7707904305443054e-08
3640.5373,2.7706136522682946e-08
3641.4375,2.7708748926620764e-08
3642.3379,2.7759655664098114e-08
3643.238,2.7851888396998186e-08
3644.1384,2.7855864531882505e-08
3645.0385,2.7847101635760964e-08
3645.9386,2.7865349308654962e-08
3646.839,2.7992692486316667e-08
3647.7391,2.9839011017863614e-08
3648.6395,3.047438893710632e-08
3649.5397,3.052752790105708e-08
3650.4398,3.055766806283562e-08
3651.3402,3.056920992514306e-08
3652.2403,3.0616011927218136e-08
3653.1407,3.068095080623475e-08
3654.0408,3.0716384907935376e-08
3654.941,3.0726428049270984e-08
3655.8413,3.072288605940702e-08
3656.7415,3.063463063210629e-08
3657.6419,3.060688036969491e-08
3658.542,3.064613614265897e-08
3659.4421,3.067563104397563e-08
3660.3425,3.0595621185009585e-08
3661.2426,3.0393650517761305e-08
3662.143,3.0477491660468875e-08
3663.0432,3.055734943451946e-08
3663.9433,3.050235258851052e-08
3664.8437,3.044081132639744e-08
3665.7438,3.03476138873031e-08
3666.6442,3.0296170718891345e-08
3667.5443,3.034025778040135e-08
3668.4445,3.044386393174102e-08
3669.3448,3.0394337226471906e-08
3670.245,3.03404198133411e-08
3671.1453,3.037443023997413e-08
3672.0455,3.03755697383399e-08
3672.9456,3.031943752608741e-08
3673.846,3.0368567071677896e-08
3674.7461,3.0244690586702656e-08
3675.6465,3.0236993958008784e-08
3676.5466,3.02427592159532e-08
3677.4468,3.0225569685081095e-08
3678.3472,3.0332092517077827e-08
3679.2473,3.03433790953793e-08
3680.1477,3.0244187662846684e-08
3681.0478,3.017462288000571e-08
3681.9479,3.005797581085205e-08
3682.8483,3.00641073928012e-08
3683.7485,3.020222718165346e-08
3684.6488,3.021482817320509e-08
3685.549,3.014357010349132e-08
3686.4491,3.003946407486355e-08
3687.3495,2.99819728768408e-08
3688.2496,2.9947902152551454e-08
3689.15,3.0065066819601235e-08
3690.0501,3.0224663880041453e-08
3690.9503,3.019167018987788e-08
3691.8507,3.0064433257927104e-08
3692.7508,3.003007906701835e-08
3693.6512,3.011280501576242e-08
3694.5513,3.018438300448099e-08
3695.4514,3.019796692603095e-08
3696.3518,3.012970611964573e-08
3697.252,3.009581663312211e-08
3698.1523,3.008187273394327e-08
3699.0525,3.0131344115517974e-08
3699.9526,3.026079030163724e-08
3700.853,3.0339308058036954e-08
3701.7531,3.029000350551003e-08
3702.6535,3.017482147510869e-08
3703.5536,3.002723762802606e-08
3704.4538,2.9883793000809944e-08
3705.3541,2.983380149827456e-08
3706.2543,2.991830886784532e-08
3707.1547,3.004818439446657e-08
3708.0548,3.014821772764448e-08
3708.9549,3.0177927424338037e-08
3709.8553,3.01092375683526e-08
3710.7554,3.00084350367699e-08
3711.6558,2.992335001689838e-08
3712.556,2.987112128738027e-08
3713.4561,2.994059408105738e-08
3714.3565,3.0101071596405995e-08
3715.2566,3.025681419825768e-08
3716.157,3.034784135299061e-08
3717.0571,3.035341521456282e-08
3717.9573,3.035580313921306e-08
3718.8576,3.025172091541261e-08
3719.7578,3.004694538679153e-08
3720.6582,2.983316664067142e-08
3721.5583,2.9645271938374332e-08
3722.4584,2.9533324567248202e-08
3723.3588,2.953302822456735e-08
3724.2589,2.972110121230222e-08
3725.1593,3.0052998178216854e-08
3726.0595,3.025233643120384e-08
3726.9596,3.024891176721509e-08
3727.86,3.0150972287071616e-08
3728.7601,3.0184011795117075e-08
3729.6605,3.025870951380945e-08
3730.5606,3.027903286172165e-08
3731.4608,3.019980791030407e-08
3732.3611,3.0043038905541336e-08
3733.2613,2.983009559874124e-08
3734.1617,2.955105754692599e-08
3735.0618,2.9346280487948387e-08
3735.9619,2.935556483001031e-08
3736.8623,2.9506316982783994e-08
3737.7624,2.9663367126448202e-08
3738.6628,2.9886685180942745e-08
3739.563,3.014131037142748e-08
3740.4631,3.0317367791621455e-08
3741.3635,3.039920890599015e-08
3742.2636,3.043091636084907e-08
3743.164,3.035771938781605e-08
3744.0641,3.023267212616573e-08
3744.9643,3.0210869205659156e-08
3745.8646,3.01426310056723e-08
3746.7648,3.001639629957118e-08
3747.6652,2.9964405558616286e-08
3748.5653,2.9816499042657106e-08
3749.4654,2.9529330367975754e-08
3750.3658,2.9349342104594266e-08
3751.2659,2.946210997298622e-08
3752.1663,2.9732947839900237e-08
3753.0665,2.9941180393245244e-08
3753.9666,3.003804187328976e-08
3754.867,3.0205346416779e-08
3755.7671,3.0392368810377103e-08
3756.6675,3.046020549957183e-08
3757.5676,3.0425530716747375e-08
3758.4678,3.031824523652866e-08
3759.3681,3.022830157122027e-08
3760.2683,3.026650107213856e-08
3761.1687,3.0352035093943856e-08
3762.0688,3.040262569996078e-08
3762.9689,3.048577262022849e-08
3763.8693,3.05012466432023e-08
3764.7694,3.0399767540749734e-08
3765.6698,3.0333931303524046e-08
3766.57,3.025372332970594e-08
3767.4701,3.007984756263679e-08
3768.3705,2.995669803317699e-08
3769.2706,2.986934865598761e-08
3770.171,2.9689872810057996e-08
3771.0711,2.9471217678883318e-08
3771.9713,2.9377221752879948e-08
3772.8716,2.9620434172341442e-08
3773.7718,2.991637995528655e-08
3774.6722,3.009110742113414e-08
3775.5723,3.01650544075231e-08
3776.4724,3.023613664200871e-08
3777.3728,3.03432879464023e-08
3778.2729,3.048099419092134e-08
3779.1733,3.0565065484970415e-08
3780.0735,3.0641317714255995e-08
3780.9736,3.073972294925006e-08
3781.874,3.0801015711970844e-08
3782.7741,3.0812591483367773e-08
3783.6745,3.080988613331405e-08
3784.5746,3.0840031667995583e-08
3785.4748,3.0838159501529627e-08
3786.3751,3.0720117525822795e-08
3787.2753,3.062189667986995e-08
3788.1757,3.057532915046892e-08
3789.0758,3.0533265408117535e-08
3789.9759,3.051353924085856e-08
3790.8763,3.0476748042244175e-08
3791.7765,3.041703730417521e-08
3792.6768,3.038994630681559e-08
3793.577,3.0317437236957444e-08
3794.4771,3.0128815714035826e-08
3795.3775,2.988944096340908e-08
3796.2776,2.9767726174817616e-08
3797.178,2.9646701879291166e-08
3798.0781,2.94419194245504e-08
3798.9783,2.9346959577076587e-08
3799.8787,2.9461955269029302e-08
3800.7788,2.9712020830881602e-08
3801.6792,2.9972467530740983e-08
3802.5793,3.014776873957563e-08
3803.4794,3.0301818713738804e-08
3804.3798,3.0470396547189387e-08
3805.28,3.057229595003622e-08
3806.1803,3.0604916426306615e-08
3807.0805,3.0592023218201e-08
3807.9806,3.06110685677586e-08
3808.881,3.0681262929786544e-08
3809.7811,3.076683128689767e-08
3810.6815,3.0873247101124766e-08
3811.5816,3.093982904316446e-08
3812.4818,3.0881752197823756e-08
3813.3822,3.073713465279786e-08
3814.2823,3.060263241360883e-08
3815.1827,3.053972848540388e-08
3816.0828,3.05483881741266e-08
3816.983,3.060639871375998e-08
3817.8833,3.0687902915738e-08
3818.7835,3.0715847257842463e-08
3819.6838,3.0598451118048555e-08
3820.584,3.040233976161401e-08
3821.4841,3.032998484981027e-08
3822.3845,3.039211351157227e-08
3823.2846,3.0471662026293274e-08
3824.185,3.041782128662997e-08
3825.0852,3.023159633099661e-08
3825.9853,3.0066680801717457e-08
3826.8857,2.998967351522237e-08
3827.7858,2.991400312276316e-08
3828.6862,2.980245365671207e-08
3829.5863,2.968631551039503e-08
3830.4865,2.9607915648143476e-08
3831.3868,2.9538268669461766e-08
3832.287,2.9374974233369728e-08
3833.1874,2.915970043199865e-08
3834.0875,2.9003295272037737e-08
3834.9876,2.8844143211503845e-08
3835.888,2.8696233265691074e-08
3836.7881,2.8688101980845532e-08
3837.6885,2.891857934651534e-08
3838.5887,2.9104524318818664e-08
3839.4888,2.929076582683455e-08
3840.3892,2.948222234884545e-08
3841.2893,2.9601070336549113e-08
3842.1897,2.9728774903807758e-08
3843.0898,2.98998208730995e-08
3843.99,3.009893574635751e-08
3844.8904,3.026961265637057e-08
3845.7905,3.033986965562193e-08
3846.6909,3.038471131672727e-08
3847.591,3.045666799147356e-08
3848.4911,3.053910248083757e-08
3849.3915,3.059588378397841e-08
3850.2917,3.0579316908473084e-08
3851.192,3.0593114308745956e-08
3852.0922,3.0679424007959875e-08
3852.9923,3.073405638345646e-08
3853.8927,3.078197445269689e-08
3854.7928,3.078081681311618e-08
3855.6932,3.0744576694421524e-08
3856.5933,3.070194008412814e-08
3857.4935,3.0679474251634224e-08
3858.3939,3.0665145248893386e-08
3859.294,3.062855437015705e-08
3860.1944,3.054902189810886e-08
3861.0945,3.0498101003817943e-08
3861.9947,3.062468797724537e-08
3862.895,3.07840191853524e-08
3863.7952,3.085585352816882e-08
3864.6956,3.086782800367658e-08
3865.5957,3.082534669787723e-08
3866.4958,3.0767057769066035e-08
3867.3962,3.0745499227594674e-08
3868.2963,3.076503809878162e-08
3869.1967,3.075465016150321e-08
3870.0969,3.071057190161983e-08
3870.997,3.064594626795969e-08
3871.8974,3.052414525558454e-08
3872.7975,3.039075414417489e-08
3873.6979,3.029422860768305e-08
3874.598,3.027251046859626e-08
3875.4982,3.0285785657880264e-08
3876.3985,3.030586606450028e-08
3877.2987,3.022747561345654e-08
3878.1991,3.0045420619718484e-08
3879.0992,2.985673079527424e-08
3879.9993,2.9780618015994544e-08
3880.8997,2.978432631719683e-08
3881.7999,2.9744618661214287e-08
3882.7002,2.9596055507603175e-08
3883.6004,2.9421313533812918e-08
3884.5005,2.9324120050562014e-08
3885.4009,2.921881794960828e-08
3886.301,2.8992457378860178e-08
3887.2014,2.8725718610149693e-08
3888.1015,2.8478219443773732e-08
3889.0017,2.8249887920305948e-08
3889.9021,2.8076760431994317e-08
3890.8022,2.8171223293490934e-08
3891.7026,2.8453664602305303e-08
3892.6027,2.875659052277594e-08
3893.5029,2.8952334264787906e-08
3894.4032,2.9061464634979473e-08
3895.3034,2.9156984286293085e-08
3896.2038,2.9224048778415023e-08
3897.1039,2.9333640227874535e-08
3898.004,2.951678277758244e-08
3898.9044,2.9611005297792096e-08
3899.8045,2.961411563610528e-08
3900.7049,2.9671412180564247e-08
3901.6051,2.9809312624521256e-08
3902.5052,2.9901582254280844e-08
3903.4056,2.992581486909622e-08
3904.3057,2.99888867133328e-08
3905.2061,3.003723465418489e-08
3906.1062,2.999349246573349e-08
3907.0064,2.998108004311604e-08
3907.9068,3.008894917667458e-08
3908.8069,3.0248478959892154e-08
3909.7073,3.0339827330624184e-08
3910.6074,3.0374087584478676e-08
3911.5075,3.043384325362841e-08
3912.4079,3.047113992951334e-08
3913.3081,3.042343918309698e-08
3914.2084,3.031174921872123e-08
3915.1086,3.0273897209610585e-08
3916.0087,3.033364102867626e-08
3916.9091,3.033732492823082e-08
3917.8092,3.032001279230493e-08
3918.7096,3.0313542875359604e-08
3919.6098,3.0271317192478124e-08
3920.5099,3.019967141865845e-08
3921.4103,3.013064416741456e-08
3922.3104,3.015342012519099e-08
3923.2108,3.021019612866318e-08
3924.1109,3.020357576405008e-08
3925.0111,3.01826692820281e-08
3925.9114,3.01643265715314e-08
3926.8116,3.009133744448663e-08
3927.712,3.000043814768302e-08
3928.6121,2.9928823783213147e-08
3929.5122,2.979473508109219e-08
3930.4126,2.9627622596311202e-08
3931.3128,2.951322563423563e-08
3932.2131,2.9330643026977538e-08
3933.1133,2.901299706815987e-08
3934.0134,2.8759915822042064e-08
3934.9138,2.872495548479584e-08
3935.8139,2.889620312976057e-08
3936.7143,2.921680555495841e-08
3937.6144,2.9536827836798013e-08
3938.5146,2.9714674357794834e-08
3939.415,2.9802344838940416e-08
3940.3151,2.983118981674444e-08
3941.2155,2.9896610219150116e-08
3942.1156,2.996260905102464e-08
3943.0158,2.996682662145795e-08
3943.9161,2.992792233395044e-08
3944.8163,2.991182158403008e-08
3945.7167,2.997400636535484e-08
3946.6168,3.0048333091433186e-08
3947.5169,3.004449923453882e-08
3948.4173,3.000138913093481e-08
3949.3174,2.998272140088124e-08
3950.2178,2.996189545546177e-08
3951.118,2.995575671145685e-08
3952.0181,2.991878184186206e-08
3952.9185,2.985337473952095e-08
3953.8186,2.9765880897291348e-08
3954.719,2.9737305845091202e-08
3955.6191,2.972421416538201e-08
3956.5193,2.9604501121335143e-08
3957.4197,2.9453579670880665e-08
3958.3198,2.9352442646056483e-08
3959.2202,2.929302102402257e-08
3960.1203,2.92544161319575e-08
3961.0205,2.9158449343733897e-08
3961.9208,2.8924959637826956e-08
3962.821,2.8707948621026562e-08
3963.7214,2.858393993772221e-08
3964.6215,2.8452753062380583e-08
3965.5216,2.8264269690719208e-08
3966.422,2.799042727583509e-08
3967.3221,2.7623576673170088e-08
3968.2225,2.722210387018196e-08
3969.1227,2.691217434907791e-08
3970.0228,2.676020686934905e-08
3970.9232,2.678386897523358e-08
3971.8233,2.7007533812966923e-08
3972.7237,2.7301723070311827e-08
3973.6238,2.7596151309354822e-08
3974.524,2.7877483904378786e-08
3975.4244,2.812980549558928e-08
3976.3245,2.8334716710477238e-08
3977.2249,2.8481258352721693e-08
3978.125,2.86231374495142e-08
3979.0252,2.8783231782962566e-08
3979.9255,2.8925035653091874e-08
3980.8257,2.9034191557930506e-08
3981.7261,2.9100018969899108e-08
3982.6262,2.9121554610082052e-08
3983.5263,2.916099129443125e-08
3984.4267,2.924121859950407e-08
3985.3268,2.932898699622263e-08
3986.2272,2.93897211529321e-08
3987.1274,2.9418471324108145e-08
3988.0275,2.9471514838915236e-08
3988.9279,2.9568982774588958e-08
3989.828,2.963635441665172e-08
3990.7284,2.9627945805502867e-08
3991.6285,2.9636622395796167e-08
3992.5287,2.970545535383605e-08
3993.4291,2.9776378082418046e-08
3994.3292,2.9780122566221595e-08
3995.2296,2.9746057665791592e-08
3996.1297,2.9717862304646445e-08
3997.0299,2.9663366809651745e-08
3997.9302,2.9578330635017733e-08
3998.8304,2.9551562179177305e-08
3999.7308,2.960860428263978e-08
4000.6309,2.969000993327182e-08
4001.531,2.974128783840512e-08
4002.4314,2.975784373258181e-08
4003.3315,2.9777275092847762e-08
4004.2319,2.9785356906725516e-08
4005.1321,2.969202940490014e-08
4006.0322,2.9550947376832363e-08
4006.9326,2.952896445864028e-08
4007.8327,2.960368202274919e-08
4008.7331,2.9691272251599608e-08
4009.6332,2.9738930047217385e-08
4010.5334,2.9723209981751732e-08
4011.4338,2.973864153192288e-08
4012.3339,2.976862448194263e-08
4013.2343,2.9770159945086334e-08
4014.1344,2.9713870753152463e-08
4015.0346,2.966729091215026e-08
4015.9349,2.9677991730825685e-08
4016.8351,2.9695320112727967e-08
4017.7355,2.9671983255041277e-08
4018.6356,2.963226457930568e-08
4019.5357,2.9652185610451354e-08
4020.4361,2.9706885223654185e-08
4021.3363,2.9679341303983925e-08
4022.2366,2.961244352188464e-08
4023.1368,2.9607266026338106e-08
4024.0369,2.961501448745887e-08
4024.9373,2.9573154624260217e-08
4025.8374,2.9509465952443933e-08
4026.7378,2.9515008383380475e-08
