wave,flux
91.0,8.805590486112964e-20
94.0,2.861017210310871e-19
96.0,6.059430073050774e-19
98.0,1.2417010316477589e-18
100.0,1.3244069874883509e-18
102.0,2.1386419466021022e-18
104.0,4.007417340287228e-18
106.0,7.279225531400887e-18
108.0,1.3006731120620525e-17
110.0,1.9799565910151903e-17
114.0,5.1749768173282985e-17
118.0,1.4198823461048448e-16
121.0,2.549517037506193e-16
125.0,6.197630911754613e-16
127.0,7.353548495652067e-16
128.0,4.776388783931952e-16
131.0,8.630658467659372e-16
132.0,1.0381341833573583e-15
134.0,1.4431688528102282e-15
137.0,1.973704195152439e-15
140.0,3.334904026542889e-15
143.0,4.705224813155598e-15
147.0,8.83542013743231e-15
151.0,1.6014377079172946e-14
155.0,2.762998215794462e-14
159.0,4.403940887345746e-14
162.0,4.457614079017617e-14
166.0,9.714430349440333e-14
170.0,1.0446136824833498e-13
173.0,1.6962313427894388e-13
177.0,2.2604399176504618e-13
180.0,3.188813343023003e-13
182.0,3.7163096556824493e-13
186.0,1.5982147146510697e-12
191.0,8.73470356879322e-13
194.0,1.1538977162281534e-12
198.0,1.5102756135923891e-12
202.0,2.1174253873823056e-12
205.0,2.7315242421393875e-12
210.0,4.06607394454825e-12
216.0,5.949785587441636e-12
220.0,7.464643398619645e-12
223.0,9.517451073870891e-12
227.0,1.2103811877559385e-11
230.0,5.064744715728142e-10
234.0,3.53180873930897e-10
240.0,5.91961234196578e-11
246.0,5.9949824954837505e-09
252.0,7.651205122474205e-09
257.0,9.051078116884126e-09
260.0,5.522901114487552e-09
264.0,4.429147124700072e-09
269.0,7.1414134688228906e-09
274.0,1.0540598641968409e-08
279.0,8.114690818614819e-09
284.0,9.829698850987526e-09
290.0,3.0919213377138887e-09
296.0,7.824257909263729e-09
301.0,9.452493800516638e-09
308.0,1.164338884138234e-08
318.0,6.913650050662604e-09
328.0,1.3585041600394986e-08
338.0,8.409811497463695e-09
348.0,1.4344678513812011e-08
357.0,1.0249339789752566e-08
366.0,1.0507710078778058e-08
375.0,4.697896565580159e-09
385.0,1.684760111887913e-08
395.0,1.3359438826757218e-08
405.0,1.3742861761916034e-08
414.0,1.8294724772256952e-08
422.0,1.8088203509836723e-08
430.0,1.796320594191612e-08
441.0,1.5654170100451126e-08
451.0,2.097807313163428e-08
460.0,1.781545083158434e-08
470.0,2.24694246979853e-08
480.0,2.094065518233373e-08
490.0,1.630225977925471e-08
500.0,2.394416965893802e-08
506.0,2.4817641744243026e-08
512.0,2.270437124366609e-08
520.0,2.5466968379281116e-08
530.0,2.5632799777372998e-08
540.0,2.550700191156458e-08
550.0,2.6248405135576237e-08
560.0,2.682040591327669e-08
570.0,2.633103955086522e-08
580.0,2.7398071259787904e-08
590.0,2.7981701182896608e-08
600.0,2.7247578985208712e-08
610.0,2.6629118693883637e-08
620.0,1.9486339545849983e-08
630.0,2.723661556249421e-08
640.0,2.8729373099616264e-08
650.0,2.9741907543346588e-08
658.0,2.98605882395914e-08
665.0,3.006475850276135e-08
