Age,Mass,margLike,Prob
0.001,31622.776601683792,8143.933657095102,9.400150332236578e+29
0.001,32363.110140396715,8106.557368248958,2.409741221515372e+30
0.001,33120.7759252766,8068.306048075427,6.282342543124344e+30
0.001,33896.17972850792,8029.159210864245,1.6657745851778641e+31
0.001,34689.73682197071,7989.09589130596,4.49238091761364e+31
0.001,35501.872199642195,7948.094633263818,1.2323073348695278e+32
0.001,36333.02080520441,7906.13347828282,3.438378288324408e+32
0.001,37183.62776498083,7863.189953829754,9.75851362585176e+32
0.001,38054.14862632636,7819.241061257886,2.8171178215712094e+33
0.001,38945.04960159794,7774.263263489935,8.27190937794633e+33
0.001,39856.80781783776,7728.232472412619,2.470390777070885e+34
0.001,40789.91157230091,7681.124035976161,7.503353742049242e+34
0.001,41744.8605939659,7632.912724991729,2.3175878729158602e+35
0.001,42722.16631116739,7583.572719619806,7.278785475281496e+35
0.001,43722.35212549416,7533.07759554224,2.3241465244962818e+36
0.001,44745.9536921003,7481.400309810528,7.543592812175886e+36
0.001,45793.51920657803,7428.513186362834,2.488392844983076e+37
0.001,46865.609698547,7374.387901201904,8.340424975652104e+37
0.001,47962.799332116985,7318.995467225995,2.8397125566570113e+38
0.001,49085.67571338431,7262.306218704682,9.81863145547307e+38
0.001,50234.84020512821,7204.289795391179,3.446476704226904e+39
0.001,51410.90824887363,7144.915126262764,1.2276879987530805e+40
0.001,52614.50969449455,7084.150412880506,4.436202801459157e+40
0.001,53846.28913753371,7021.963112359427,1.6253571787853318e+41
0.001,55106.90626441898,6958.319919940003,6.0350840488553356e+41
0.001,56397.03620576279,6893.186751151572,2.269741911003399e+42
0.001,57717.36989793168,6826.528723558234,8.641061104288329e+42
0.001,59068.61445308131,6758.3101380773505,3.3278966475625005e+43
0.001,60451.49353785448,6688.4944598607035,1.2956090262210644e+44
0.001,61866.74776094437,6617.0442987280685,5.094971555631403e+44
0.001,63315.13506973245,6543.921389142657,2.0221205446164448e+45
0.001,64797.431156211016,6469.086569717821,8.092329386113256e+45
0.001,66314.42987240946,6392.499762243941,3.262220572414677e+46
0.001,67866.94365554642,6314.119950224311,1.3233201375288341e+47
0.001,69455.80396313453,6233.905156908546,5.395499457023004e+47
0.001,71081.86171827296,6151.812422811659,2.208409871420304e+48
0.001,72745.98776536364,6067.797782706895,9.062250752650885e+48
0.001,74449.07333649692,5981.816242079893,3.7229466198982e+49
0.001,76192.03052875614,5893.82175303162,1.5288844746319063e+50
0.001,77975.79279269578,5803.767189617179,6.266097178263651e+50
0.001,79801.31543225705,5711.604322607212,2.5586102419990198e+51
0.001,81669.57611638568,5617.283793658485,1.0389530437485158e+52
0.001,83581.57540262827,5520.75508887974,4.187171298649387e+52
0.001,85538.3372729866,5421.96651177869,1.67136993011996e+53
0.001,87540.90968231631,5320.865155575712,6.593091273983934e+53
0.001,89590.36511956614,5217.3968748692605,2.5641846555484434e+54
0.001,91687.80118215464,5111.506256638029,9.807803537897242e+54
0.001,93834.34116379486,5003.136590564192,3.6797031102481207e+55
0.001,96031.13465608087,4892.229838661858,1.3504082354234867e+56
0.001,98279.35816415728,4778.726604194537,4.8334470611975335e+56
0.001,100580.21573680418,4662.566099864832,1.6821021507848215e+57
0.001,102934.93961127168,4543.686115259494,5.6735122673590704e+57
0.001,105344.79087321166,4422.022983532268,1.8484015111801758e+58
0.001,107811.06013205949,4297.511547306756,5.796568581904108e+58
0.001,110335.06821222624,4170.085123781055,1.743476490204727e+59
0.001,112918.16686047523,4039.675469015332,5.011191664019598e+59
0.001,115561.73946985645,3906.2127413834555,1.3713471291843345e+60
0.001,118267.20182059106,3769.6254641688865,3.5601203102245655e+60
0.001,121036.00283829964,3629.840487284971,8.737832825886857e+60
0.001,123869.6253699838,3486.7829480989244,2.0213309138380324e+61
0.001,126769.58697817229,3340.376231338777,4.396616261996581e+61
0.001,129737.44075366044,3190.541928061618,8.979389086193922e+61
0.001,132774.77614727672,3037.199793661248,1.7222182745456788e+62
0.001,135883.21982112236,2880.2677048927085,3.109036452832393e+62
0.001,139064.4365197383,2719.6616158907727,5.308330167834536e+62
0.001,142320.12996167009,2555.29551315863,8.635026300655909e+62
0.001,145652.04375190305,2387.0813695029174,1.3498625487785137e+63
0.001,149061.96231566014,2214.9290968902424,2.0429358954399277e+63
0.001,152551.7118540599,2038.7464982000809,3.0029427385303943e+63
