Age,Mass,margLike,Prob
0.001,156123.16132215047,1858.439217847998,4.2759467676154865e+63
0.001,159778.2234298378,1673.9106912530535,5.8551613313955564e+63
0.001,163518.8556662486,1485.0620931220674,7.641856656437248e+63
0.001,167347.06134807464,1291.7922845231853,9.437283766479887e+63
0.001,171264.8906924606,1093.9977587203348,1.0990474181209442e+64
0.001,175274.4419150082,891.5725857396735,1.2094663639093977e+64
0.001,179377.8623534893,684.4083556380953,1.2684822866142651e+64
0.001,183577.3496178634,472.3941204437424,1.286947978363623e+64
0.001,187875.1527672209,255.41633473715558,1.285472385875895e+64
0.001,192273.5735142776,33.35879484146153,1.278787924855889e+64
0.001,196774.9674580727,-193.8974234112797,1.2624856372702106e+64
0.001,201381.74534552105,-426.4740283705,1.2136600737971636e+64
0.001,206096.3743625029,-664.4955777487411,1.107408289571466e+64
0.001,210921.37945517935,-908.0895453292407,9.373043733318592e+63
0.001,215859.3446822418,-1157.38638923525,7.23630876048393e+63
0.001,220912.91459881727,-1412.5196217975417,5.036906772932644e+63
0.001,226084.7956727777,-1673.6258810578133,3.1320842923970514e+63
0.001,231377.75773420223,-1940.845003945879,1.7237505184195043e+63
0.001,236794.63545877617,-2214.3201011701667,8.303422975573292e+62
0.001,242338.32988591568,-2494.197633861376,3.4543639225932763e+62
0.001,248011.8099724387,-2780.6274920107007,1.2223472187742254e+62
0.001,253818.1141826046,-3073.763074744167,3.61962629521206e+61
0.001,259760.35211538128,-3373.7613724764237,8.821219437146082e+60
0.001,265841.70616980846,-3680.783050987841,1.739858271973245e+60
0.001,272065.43324935,-3994.992537470007,2.7310710051386434e+59
0.001,278434.86650614475,-4316.558108585528,3.3545267778071677e+58
0.001,284953.4171260982,-4645.651980589705,3.16886024005116e+57
0.001,291624.57615576003,-4982.4504015618095,2.2615833817292667e+56
0.001,298451.9163719754,-5327.133745795807,1.1970943887011379e+55
0.001,305439.09419530263,-5679.886610400686,4.609698801468809e+53
0.001,312589.8516482341,-6040.8979141626805,1.265553345426447e+52
0.001,319908.01835925475,-6410.360998721662,2.425309350869147e+50
0.001,327397.5136138218,-6788.473732116374,3.1731968151427894e+48
0.001,335062.34845336044,-7175.43861475378,2.7692042697548516e+46
0.001,342906.6278234001,-7571.462887859337,1.5729610298953525e+44
0.001,350934.5527719985,-7976.758644466052,5.667947447684246e+41
0.001,359150.422699641,-8391.542943002321,1.2611067891082807e+39
0.001,367558.6376618056,-8816.037923538648,1.68411742755968e+36
0.001,376163.7007254393,-9250.4709267561,1.310192287506666e+33
0.001,384970.22038059775,-9695.074615699714,5.754748943373867e+29
0.001,393982.9130085527,-10150.087100382756,1.3808224825112821e+26
0.001,403206.6054076735,-10615.752065307712,1.7483590889535896e+22
0.001,412646.2373784472,-11092.31889997295,1.1264166846730924e+18
0.001,422306.8643690161,-11580.042832434654,35541237435286.734
0.001,432193.66018265294,-12079.185065995722,527564763.2073025
0.001,442311.9197486164,-12590.012919094454,3531.7301123116126
0.001,452667.061957886,-13112.799968468746,0.01019993211733298
0.001,463264.632565276,-13647.826195671463,1.2129989172768385e-08
0.001,474110.3071594974,-14195.378137016236,5.656019044103084e-15
0.001,485209.89420274814,-14755.749037033404,9.822271635098927e-22
0.001,496569.3381414728,-15329.239005519066,6.018727339944861e-29
0.001,508194.7225899414,-15916.155178260393,1.2295711225083014e-36
0.001,520092.2735883635,-16516.811881523958,7.890241232337127e-45
0.001,532268.3629372799,-17131.53080039496,1.4940085309268343e-53
0.001,544729.5116100167,-17760.641151057545,7.816729370251129e-63
0.001,557482.3932450257,-18404.479857108126,1.0547948632201561e-72
0.001,570533.8377199951,-19063.391729997118,3.414704666248795e-83
0.001,583890.8348096249,-19737.72965369437,2.458038587095128e-94
0.001,597560.5379290428,-20427.854773678315,3.6328165306235333e-106
0.001,611550.2679648503,-21134.136690349223,1.0138338238827833e-118
0.001,625867.5171958727,-21856.953656971113,4.893328415721323e-132
0.001,640519.9533056867,-22596.69278224724,3.72486150349401e-146
0.001,655515.4234890919,-23353.750237638335,4.059322529968187e-161
0.001,670861.9586547212,-24128.53146953453,5.7216677599365905e-177
0.001,686567.7777260399,-24921.45141639447,9.376095877337403e-194
0.001,702641.2920430313,-25732.934730967714,1.5972262542980874e-211
0.001,719091.1098669455,-26563.416007720294,2.515177714601367e-230
0.001,735926.0409904969,-27413.340015583984,3.236850187251275e-250
0.001,753155.1014560008,-28283.16193615492,2.991440413934316e-271
0.001,770787.5183839604,-29173.347607468408,1.7335001337089892e-293
0.001,788832.7349147112,-30084.37377348152,5.462989e-317
0.001,807300.4152657436,-31016.72833939577,0.0
0.001,826200.4499074288,-31970.910632957475,0.0
0.001,845542.9608599177,-32947.431671875675,0.0
0.001,865338.3071140461,-33946.8144375005,0.0
0.001,885597.0901791448,-34969.59415490854,0.0
0.001,906330.1597607476,-36016.31857954612,0.0
0.001,927548.6195712056,-37087.54829058248,0.0
0.001,949263.8332763468,-38183.85699113134,0.0
0.001,971487.4305813428,-39305.831815500336,0.0
0.001,994231.3134590756,-40454.07364363485,0.0
0.001,1017507.6625242984,-41629.1974229221,0.0
0.001,1041328.943557034,-42831.83249752994,0.0
0.001,1065707.914178694,-44062.62294545553,0.0
0.001,1090657.630684497,-45322.22792346519,0.0
0.001,1116191.4550358322,-46611.32202010893,0.0
0.001,1142323.0620163465,-47930.59561700098,0.0
0.001,1169066.4465555456,-49280.75525855708,0.0
0.001,1196435.9312238502,-50662.5240303881,0.0
0.001,1224446.1739031435,-52076.641946553194,0.0
0.001,1253112.175636873,-53523.86634587817,0.0
0.001,1282449.2886639466,-55004.97229755255,0.0
0.001,1312473.22464071,-56520.75301622237,0.0
0.001,1343200.063055414,-58072.020286800675,0.0
0.001,1374646.2598396766,-59659.60489922364,0.0
0.001,1406828.65618154,-61284.35709338432,0.0
0.001,1439764.4875448796,-62947.14701448423,0.0
0.001,1473471.392899947,-64648.865179044056,0.0
0.001,1507967.424170009,-66390.42295182438,0.0
0.001,1543271.055899177,-68172.75303391315,0.0
0.001,1579401.1951465392,-69996.80996223833,0.0
0.001,1616377.1916119475,-71863.57062077578,0.0
0.001,1654218.8479988573,-73774.03476372489,0.0
0.001,1692946.4306197772,-75729.22555093262,0.0
0.001,1732580.6802500114,-77730.19009585275,0.0
0.001,1773142.8232354831,-79778.00002633256,0.0
0.001,1814654.5828606468,-81873.75205853037,0.0
0.001,1857138.190982504,-84018.5685842675,0.0
0.001,1900616.3999369885,-86213.59827213087,0.0
0.001,1945112.4947241312,-88460.01668265022,0.0
0.001,1990650.305478458,-90759.02689787533,0.0
0.001,2037254.2202313568,-93111.86016569362,0.0
0.001,2084949.1979722236,-95519.77655923188,0.0
0.001,2133760.782015392,-97984.06565169556,0.0
0.001,2183715.113680004,-100506.04720700726,0.0
0.001,2234838.9462901214,-103087.07188661266,0.0
0.001,2287159.659502645,-105728.52197283636,0.0
0.001,2340705.273970637,-108431.81210917042,0.0
0.001,2395504.466349918,-111198.39005789364,0.0
0.001,2451586.584657044,-114029.73747543048,0.0
0.001,2508981.6639867835,-116927.37070585953,0.0
0.001,2567720.4425975857,-119892.84159300025,0.0
0.001,2627834.378373629,-122927.73831151187,0.0
0.001,2689355.6656722664,-126033.68621744907,0.0
0.001,2752317.252565903,-129212.34871873102,0.0
0.001,2816752.858487498,-132465.42816598775,0.0
0.001,2882696.992289233,-135794.66676426522,0.0
0.001,2950184.970723901,-139201.8475060722,0.0
0.001,3019252.937358981,-142688.7951262713,0.0
0.001,3089937.881933562,-146257.37707932753,0.0
0.001,3162277.6601683795,-149909.504539433,0.0
0.002502512562814,31622.776601683792,7785.035569609231,1.0455764254357846e+34
0.002502512562814,32363.110140396715,7739.256973322079,3.079086005072942e+34
0.002502512562814,33120.7759252766,7692.406635909423,9.21807906966949e+34
0.002502512562814,33896.17972850792,7644.459466408819,2.805277452335621e+35
0.002502512562814,34689.73682197071,7595.389786443224,8.677245036118987e+35
0.002502512562814,35501.872199642195,7545.171316468767,2.727729988322759e+36
0.002502512562814,36333.02080520441,7493.777161700617,8.712954189790336e+36
0.002502512562814,37183.62776498083,7441.179797709322,2.827434434711278e+37
0.002502512562814,38054.14862632636,7387.351055679934,9.3193988033457e+37
0.002502512562814,38945.04960159794,7332.262107326071,3.1191946941367556e+38
0.002502512562814,39856.80781783776,7275.883449450727,1.059820244325356e+39
0.002502512562814,40789.91157230091,7218.184888145699,3.6544074539641193e+39
0.002502512562814,41744.8605939659,7159.1355226210535,1.278320162692291e+40
0.002502512562814,42722.16631116739,7098.703728656033,4.53445472854867e+40
0.002502512562814,43722.35212549416,7036.857141662547,1.6303430079327447e+41
0.002502512562814,44745.9536921003,6973.562639352109,5.938637892570841e+41
0.002502512562814,45793.51920657803,6908.786323997016,2.1903456476999495e+42
0.002502512562814,46865.609698547,6842.493504276235,8.175187222310807e+42
0.002502512562814,47962.799332116985,6774.648676696262,3.0857396222984437e+43
0.002502512562814,49085.67571338431,6705.215506577043,1.177034622741255e+44
0.002502512562814,50234.84020512821,6634.156808592708,4.533698411207505e+44
0.002502512562814,51410.90824887363,6561.434526856772,1.761919803454239e+45
0.002502512562814,52614.50969449455,6487.009714541088,6.90234309657344e+45
0.002502512562814,53846.28913753371,6410.842513017654,2.723071576797297e+46
0.002502512562814,55106.90626441898,6332.892130512114,1.080726029776242e+47
0.002502512562814,56397.03620576279,6253.116820257463,4.309958346351108e+47
0.002502512562814,57717.36989793168,6171.473858136353,1.72504877022908e+48
0.002502512562814,59068.61445308131,6087.919519799945,6.920406440043302e+48
0.002502512562814,60451.49353785448,6002.40905725108,2.7787786364993286e+49
0.002502512562814,61866.74776094437,5914.89667487927,1.1151048151812624e+50
0.002502512562814,63315.13506973245,5825.335504934546,4.464974688188538e+50
0.002502512562814,64797.431156211016,5733.677582427212,1.7808148807836754e+51
0.002502512562814,66314.42987240946,5639.873819439908,7.061880604806356e+51
0.002502512562814,67866.94365554642,5543.873978838295,2.778928070119455e+52
0.002502512562814,69455.80396313453,5445.626647366307,1.0829014768602868e+53
0.002502512562814,71081.86171827296,5345.079208111441,4.1696363095509495e+53
0.002502512562814,72745.98776536364,5242.177812325504,1.5826653583037078e+54
0.002502512562814,74449.07333649692,5136.867350585612,5.9072423112670094e+54
0.002502512562814,76192.03052875614,5029.091423280008,2.1624454973013533e+55
0.002502512562814,77975.79279269578,4918.792310402972,7.742212357503678e+55
0.002502512562814,79801.31543225705,4805.910940642497,2.703165090387735e+56
0.002502512562814,81669.57611638568,4690.386859744345,9.1754559015016e+56
0.002502512562814,83581.57540262827,4572.158198135425,3.0180162539523656e+57
0.002502512562814,85538.3372729866,4451.161637789177,9.586871530651379e+57
0.002502512562814,87540.90968231631,4327.332378315298,2.930547312505935e+58
0.002502512562814,89590.36511956614,4200.604102255455,8.588699369805632e+58
0.002502512562814,91687.80118215464,4070.9089395666438,2.4040493973798174e+59
0.002502512562814,93834.34116379486,3938.177431272993,6.401404200344626e+59
0.002502512562814,96031.13465608087,3802.338492266605,1.6149601092653898e+60
0.002502512562814,98279.35816415728,3663.319373237571,3.8443271715480036e+60
0.002502512562814,100580.21573680418,3521.045621712604,8.599508950685957e+60
0.002502512562814,102934.93961127168,3375.441042181634,1.8004856493805724e+61
0.002502512562814,105344.79087321166,3226.4276552908686,3.515118374068709e+61
0.002502512562814,107811.06013205949,3073.925656080495,6.378029894198447e+61
0.002502512562814,110335.06821222624,2917.853371244736,1.0727831493359793e+62
0.002502512562814,112918.16686047523,2758.12721539117,1.6703816011571625e+62
0.002502512562814,115561.73946985645,2594.6616462761576,2.408865961512088e+62
0.002502512562814,118267.20182059106,2427.369118992182,3.2283276425030767e+62
0.002502512562814,121036.00283829964,2256.1600390827393,4.0519783578432538e+62
0.002502512562814,123869.6253699838,2080.9427145594314,4.828779507541986e+62
0.002502512562814,126769.58697817229,1901.6233067958678,5.577466591126747e+62
0.002502512562814,129737.44075366044,1718.1057802718387,6.404391871932144e+62
0.002502512562814,132774.77614727672,1530.2918511409584,7.477853234880192e+62
0.002502512562814,135883.21982112236,1338.0809345941725,8.96226981749949e+62
0.002502512562814,139064.4365197383,1141.370090991069,1.0932216086239335e+63
0.002502512562814,142320.12996167009,940.0539707298706,1.3293226290278861e+63
0.002502512562814,145652.04375190305,734.0247578269265,1.5738583441026347e+63
0.002502512562814,149061.96231566014,523.1721121752245,1.7772681178303646e+63
0.002502512562814,152551.7118540599,307.3831104511912,1.882450488444189e+63
0.002502512562814,156123.16132215047,86.54218563786003,1.8444012672770124e+63
0.002502512562814,159778.2234298378,-139.46893486761422,1.6515335385120573e+63
0.002502512562814,163518.8556662486,-370.7712925955468,1.3367329373492039e+63
0.002502512562814,167347.06134807464,-607.4887628281879,9.681221859346956e+62
0.002502512562814,171264.8906924606,-849.7481209418504,6.215414912725095e+62
0.002502512562814,175274.4419150082,-1097.6791103021,3.506100461360152e+62
0.002502512562814,179377.8623534893,-1351.4145117486662,1.7227404663995401e+62
0.002502512562814,183577.3496178634,-1611.0902147068864,7.306527282707709e+61
0.002502512562814,187875.1527672209,-1876.8452899641009,2.6479670698489854e+61
0.002502512562814,192273.5735142776,-2148.822064149702,8.105475311864994e+60
0.002502512562814,196774.9674580727,-2427.1661959591074,2.0677300824894745e+60
0.002502512562814,201381.74534552105,-2712.026754161996,4.330163628361489e+59
0.002502512562814,206096.3743625029,-3003.556297436955,7.322336642791471e+58
0.002502512562814,210921.37945517935,-3301.910956075146,9.825040484570765e+57
0.002502512562814,215859.3446822418,-3607.250515596774,1.027238319862129e+57
0.002502512562814,220912.91459881727,-3919.7385023250395,8.214221788583893e+55
0.002502512562814,226084.7956727777,-4239.542270963723,4.9288151989698455e+54
0.002502512562814,231377.75773420223,-4566.833094224848,2.176286965798399e+53
0.002502512562814,236794.63545877617,-4901.786254554792,6.930269885113049e+51
0.002502512562814,242338.32988591568,-5244.581138007683,1.5588214182923472e+50
0.002502512562814,248011.8099724387,-5595.401330316781,2.4234783018987033e+48
0.002502512562814,253818.1141826046,-5954.434715214739,2.545915176136089e+46
0.002502512562814,259760.35211538128,-6321.873575055826,1.7648685280191169e+44
0.002502512562814,265841.70616980846,-6697.914693793822,7.874856271393519e+41
0.002502512562814,272065.43324935,-7082.75946237081,2.203402931190313e+39
0.002502512562814,278434.86650614475,-7476.613986573102,3.7614296908360557e+36
0.002502512562814,284953.4171260982,-7879.689197412546,3.8062874075134773e+33
0.002502512562814,291624.57615576003,-8292.200964091688,2.215054205152688e+30
0.002502512562814,298451.9163719754,-8714.370209613828,7.180842155303813e+26
0.002502512562814,305439.09419530263,-9146.423029099402,1.2541343023665038e+23
0.002502512562814,312589.8516482341,-9588.590810872749,1.1392511313692367e+19
0.002502512562814,319908.01835925475,-10041.110360383267,518744277409257.5
0.002502512562814,327397.5136138218,-10504.224027027954,11388879593.973196
0.002502512562814,335062.34845336044,-10978.179833942992,115739.34809728347
0.002502512562814,342906.6278234001,-11463.231610833976,0.5215939192478424
0.002502512562814,350934.5527719985,-11959.639129915671,9.964847504735129e-07
0.002502512562814,359150.422699641,-12467.668245034765,7.697329979908461e-13
0.002502512562814,367558.6376618056,-12987.591034049183,2.28742138744307e-19
0.002502512562814,376163.7007254393,-13519.685944541056,2.482011044958948e-26
0.002502512562814,384970.22038059775,-14064.237942940672,9.308581399596883e-34
0.002502512562814,393982.9130085527,-14621.538667142151,1.139085207976466e-41
0.002502512562814,403206.6054076735,-15191.886582691566,4.280885402365164e-50
0.002502512562814,412646.2373784472,-15775.587142631923,4.636678331600158e-59
0.002502512562814,422306.8643690161,-16372.95295109021,1.353887772171792e-68
0.002502512562814,432193.66018265294,-16984.303930694427,9.936068374786462e-79
0.002502512562814,442311.9197486164,-17609.967493909662,1.7026811818438917e-89
0.002502512562814,452667.061957886,-18250.27871838606,6.306266114888378e-101
0.002502512562814,463264.632565276,-18905.58052641131,4.654680269534353e-113
0.002502512562814,474110.3071594974,-19576.22386856473,6.287648207089034e-126
0.002502512562814,485209.89420274814,-20262.56791167059,1.4214393498883553e-139
0.002502512562814,496569.3381414728,-20964.98023115228,4.8959907742985986e-154
0.002502512562814,508194.7225899414,-21683.837007889182,2.3282607953796792e-169
0.002502512562814,520092.2735883635,-22419.523229682498,1.3784355342440097e-185
0.002502512562814,532268.3629372799,-23172.43289743767,9.115198130725576e-203
0.002502512562814,544729.5116100167,-23942.969236173798,6.00759065748355e-221
0.002502512562814,557482.3932450257,-24731.544910972872,3.50167021367327e-240
0.002502512562814,570533.8377199951,-25538.582247985247,1.5922660118280243e-260
0.002502512562814,583890.8348096249,-26364.51346060853,4.951783042778897e-282
0.002502512562814,597560.5379290428,-27209.78088096207,9.173592330367288e-305
0.002502512562814,611550.2679648503,-28074.837196780056,0.0
0.002502512562814,625867.5171958727,-28960.14569385152,0.0
0.002502512562814,640519.9533056867,-29866.180504135304,0.0
0.002502512562814,655515.4234890919,-30793.426859684172,0.0
0.002502512562814,670861.9586547212,-31742.381352513614,0.0
0.002502512562814,686567.7777260399,-32713.552200554557,0.0
0.002502512562814,702641.2920430313,-33707.45951983199,0.0
0.002502512562814,719091.1098669455,-34724.63560301656,0.0
0.002502512562814,735926.0409904969,-35765.62520449663,0.0
0.002502512562814,753155.1014560008,-36830.98583212464,0.0
0.002502512562814,770787.5183839604,-37921.28804579328,0.0
0.002502512562814,788832.7349147112,-39037.115763002555,0.0
0.002502512562814,807300.4152657436,-40179.06657157985,0.0
0.002502512562814,826200.4499074288,-41347.752049721385,0.0
0.002502512562814,845542.9608599177,-42543.7980935265,0.0
0.002502512562814,865338.3071140461,-43767.845252199884,0.0
0.002502512562814,885597.0901791448,-45020.54907110089,0.0
0.002502512562814,906330.1597607476,-46302.58044282523,0.0
0.002502512562814,927548.6195712056,-47614.625966504806,0.0
0.002502512562814,949263.8332763468,-48957.38831552003,0.0
0.002502512562814,971487.4305813428,-50331.58661381999,0.0
0.002502512562814,994231.3134590756,-51737.95682105409,0.0
0.002502512562814,1017507.6625242984,-53177.25212671886,0.0
0.002502512562814,1041328.943557034,-54650.24335353305,0.0
0.002502512562814,1065707.914178694,-56157.71937025598,0.0
0.002502512562814,1090657.630684497,-57700.487514170876,0.0
0.002502512562814,1116191.4550358322,-59279.37402345832,0.0
0.002502512562814,1142323.0620163465,-60895.224479693556,0.0
0.002502512562814,1169066.4465555456,-62548.90426070215,0.0
0.002502512562814,1196435.9312238502,-64241.29900401744,0.0
0.002502512562814,1224446.1739031435,-65973.31508118963,0.0
0.002502512562814,1253112.175636873,-67745.88008319761,0.0
0.002502512562814,1282449.2886639466,-69559.94331722567,0.0
0.002502512562814,1312473.22464071,-71416.47631507026,0.0
0.002502512562814,1343200.063055414,-73316.47335344944,0.0
0.002502512562814,1374646.2598396766,-75260.95198649347,0.0
0.002502512562814,1406828.65618154,-77250.95359070096,0.0
0.002502512562814,1439764.4875448796,-79287.54392265505,0.0
0.002502512562814,1473471.392899947,-81371.8136897948,0.0
0.002502512562814,1507967.424170009,-83504.87913454909,0.0
0.002502512562814,1543271.055899177,-85687.88263214777,0.0
0.002502512562814,1579401.1951465392,-87921.99330242636,0.0
0.002502512562814,1616377.1916119475,-90208.4076359549,0.0
0.002502512562814,1654218.8479988573,-92548.35013482536,0.0
0.002502512562814,1692946.4306197772,-94943.07396844053,0.0
0.002502512562814,1732580.6802500114,-97393.86164465616,0.0
0.002502512562814,1773142.8232354831,-99902.02569663458,0.0
0.002502512562814,1814654.5828606468,-102468.90938578028,0.0
0.002502512562814,1857138.190982504,-105095.88742113074,0.0
0.002502512562814,1900616.3999369885,-107784.36669558876,0.0
0.002502512562814,1945112.4947241312,-110535.7870393933,0.0
0.002502512562814,1990650.305478458,-113351.62199122773,0.0
0.002502512562814,2037254.2202313568,-116233.37958738218,0.0
0.002502512562814,2084949.1979722236,-119182.60316939063,0.0
0.002502512562814,2133760.782015392,-122200.87221057637,0.0
0.002502512562814,2183715.113680004,-125289.803161948,0.0
0.002502512562814,2234838.9462901214,-128451.05031789793,0.0
0.002502512562814,2287159.659502645,-131686.30670217052,0.0
0.002502512562814,2340705.273970637,-134997.30497456982,0.0
0.002502512562814,2395504.466349918,-138385.81835889444,0.0
0.002502512562814,2451586.584657044,-141853.66159259918,0.0
0.002502512562814,2508981.6639867835,-145402.69189868687,0.0
0.002502512562814,2567720.4425975857,-149034.8099803548,0.0
0.002502512562814,2627834.378373629,-152751.96103892717,0.0
0.002502512562814,2689355.6656722664,-156556.13581561847,0.0
0.002502512562814,2752317.252565903,-160449.3716576867,0.0
0.002502512562814,2816752.858487498,-164433.7536095445,0.0
0.002502512562814,2882696.992289233,-168511.41552941906,0.0
0.002502512562814,2950184.970723901,-172684.54123215016,0.0
0.002502512562814,3019252.937358981,-176955.36565874424,0.0
0.002502512562814,3089937.881933562,-181326.17607331104,0.0
0.002502512562814,3162277.6601683795,-185799.31328802,0.0
0.0040050251256281,31622.776601683792,5631.100127740117,8.570391757283869e+63
0.0040050251256281,32363.110140396715,5534.89488271418,1.4065810344910423e+64
0.0040050251256281,33120.7759252766,5436.437338012287,2.142627241943631e+64
0.0040050251256281,33896.17972850792,5335.674764141053,3.04360031871146e+64
0.0040050251256281,34689.73682197071,5232.553197135748,4.0660078156349843e+64
0.0040050251256281,35501.872199642195,5127.017409659538,5.169124314144383e+64
0.0040050251256281,36333.02080520441,5019.010881426207,6.332261992506212e+64
0.0040050251256281,37183.62776498083,4908.4757689303915,7.535964481961528e+64
0.0040050251256281,38054.14862632636,4795.352874469154,8.703437689683421e+64
0.0040050251256281,38945.04960159794,4679.5816144383625,9.645097254509868e+64
0.0040050251256281,39856.80781783776,4561.099986886735,1.0075284653613915e+65
0.0040050251256281,40789.91157230091,4439.844538310388,9.734320064913226e+64
0.0040050251256281,41744.8605939659,4315.750329669943,8.55885551020955e+64
0.0040050251256281,42722.16631116739,4188.750901612048,6.773198787532491e+64
0.0040050251256281,43722.35212549416,4058.7782388767378,4.8088883406668916e+64
0.0040050251256281,44745.9536921003,3925.7627338714146,3.0940336049554277e+64
0.0040050251256281,45793.51920657803,3789.6331493921525,1.8649609817696022e+64
0.0040050251256281,46865.609698547,3650.316580472198,1.1239498593695033e+64
0.0040050251256281,47962.799332116985,3507.7384153372936,7.323687184187221e+63
0.0040050251256281,49085.67571338431,3361.8222954469716,5.334443529445598e+63
0.0040050251256281,50234.84020512821,3212.490074600229,4.201088679177639e+63
0.0040050251256281,51410.90824887363,3059.6617770839434,3.402844871579574e+63
0.0040050251256281,52614.50969449455,2903.255554841412,2.752841922653988e+63
0.0040050251256281,53846.28913753371,2743.1876436381517,2.202969006007173e+63
0.0040050251256281,55106.90626441898,2579.372318201547,1.7456648185413788e+63
0.0040050251256281,56397.03620576279,2411.7218463101085,1.3797113054546801e+63
0.0040050251256281,57717.36989793168,2240.1464418080513,1.1008903152904401e+63
0.0040050251256281,59068.61445308131,2064.554216519792,8.995848143948172e+62
0.0040050251256281,60451.49353785448,1884.8511310387012,7.608308848558413e+62
0.0040050251256281,61866.74776094437,1700.9409443638385,6.664270661264746e+62
0.0040050251256281,63315.13506973245,1512.7251623574418,5.985785613744081e+62
0.0040050251256281,64797.431156211016,1320.1029849958995,5.434843117832699e+62
0.0040050251256281,66314.42987240946,1122.9712523857206,4.930913530862554e+62
0.0040050251256281,67866.94365554642,921.224389515641,4.44426662646269e+62
0.0040050251256281,69455.80396313453,714.7543497154138,3.974722708389691e+62
