MJD,PHASE,COLOR_OBS,DCOLOR_OBS,INST,COLOR_TEMP,DCOLOR_TEMP
58856.66963125,0.4587878765014466,0.36510000000000054,0.01835262283707699,lcogt,-0.09712611617234299,0.026574722583738785
58857.67359119792,1.4627478244219674,0.27440000000000053,0.022044421062935665,lcogt,-0.08240741741994215,0.025619338262218204
58859.021936001154,2.8110926276567625,0.3411999999999994,0.014790493196644914,lcogt,-0.05317338856560536,0.026749821081479858
58859.67755554977,3.466712176275905,0.361100000000001,0.01761788568472386,lcogt,-0.03455204507429383,0.0301371101044417
58861.016655300926,4.805811927428294,0.44140000000000035,0.022885600822351217,lcogt,0.012845756599201195,0.03751621259781973
58862.01430579861,5.8034624251158675,0.40159999999999896,0.01740524759950289,lcogt,0.04726834134921471,0.029944094188821015
58866.34160060185,10.130757228354923,0.4744000000000016,0.011718087941298276,lcogt,0.14986484571352723,0.021937302542359326
58867.42397730324,11.213133929741161,0.4963000000000003,0.011116972609483215,lcogt,0.16641787501637625,0.021494433035129417
58869.326499999996,13.115656626498094,0.5629999999999994,0.009899494936611667,Swope,0.18910656626498096,0.020210608433741603
58869.638282853004,13.427439479506575,0.5156999999999995,0.011898345179057466,lcogt,0.19214901900326312,0.01994380765282928
58871.301999999996,15.09115662649856,0.5879999999999997,0.009899494936611667,Swope,0.2056846650601902,0.018381658072296397
58872.3235,16.11265662650112,0.6000000000000002,0.009219544457292887,Swope,0.21201761144575615,0.01741123590361897
58872.33126310185,16.120419728351408,0.5209999999999996,0.011607239335862773,lcogt,0.21206030850593272,0.017404093849916705
58873.32993304977,17.11908967627096,0.5891999999999987,0.12103382750289275,lcogt,0.2170123945755922,0.016533377362220523
58874.322,18.111156626502634,0.5510000000000007,0.05474486277268398,Swope,0.22088033253010897,0.01580087662650826
58875.30862195023,19.0977785767318,0.5332999999999993,0.011016707902091262,lcogt,0.2238244464418295,0.015239124068936055
