MJD,PHASE,COLOR_OBS,DCOLOR_OBS,INST,COLOR_TEMP,DCOLOR_TEMP
58855.50619034722,0.6206481785484357,0.8077999999999989,0.012184933729815684,lcogt,0.11659105438817975,0.028069221816416155
58856.66863429977,1.7830921310960548,0.7707,0.02595111483154433,lcogt,0.17683418406272144,0.029065697973717976
58857.67224515046,2.7867029817862203,0.9207000000000004,0.0361102270831963,lcogt,0.23499613039806633,0.030056185892332634
58859.020596250004,4.1350540813291445,0.9862000000000023,0.018812984877472273,lcogt,0.3198192898782615,0.03186390119323108
58861.015316498844,6.129774330169312,0.9478999999999992,0.03244691973053841,lcogt,0.45183370065720846,0.041417196717408886
58862.01296685185,7.127424683174468,1.001,0.024968814549353326,lcogt,0.5170189046598008,0.048464781750830896
58866.34026259838,11.454720429705048,1.1444999999999994,0.01643947991878089,lcogt,0.7573725161101963,0.05077526234990282
58867.42263390047,12.537091731792316,1.1914000000000002,0.014813946536963095,lcogt,0.8043103041544665,0.04961218968752569
58869.327000000005,14.441457831329899,1.3299999999999987,0.013038404810405297,Swope,0.858886231325396,0.02554370987951536
58869.6369291493,14.751386980628013,1.221900000000002,0.016635842329139804,lcogt,0.8648663204435554,0.02564282571469613
58871.3025,16.41695783132309,1.3569999999999998,0.0147648230602334,Swope,0.8865740373493786,0.027100287590361843
58872.32399999999,17.438457831318374,1.3980000000000001,0.013038404810405297,Swope,0.8931571060240645,0.026190340722901544
58872.329925850696,17.444383682020998,1.2328999999999994,0.01736880562963387,lcogt,0.8931843649372966,0.026181807497889766
58874.324,19.43845783132565,1.452999999999998,0.012727922061357855,Swope,0.8964647253012046,0.022550685060240345
